engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,L3,namedgraphs,B,00,1,0.010340000000000127,200
fuseki,10M,L3,namedgraphs,B,01,1,0.010392999999999597,200
fuseki,10M,L3,namedgraphs,B,02,1,0.010317000000000187,200
fuseki,10M,L3,namedgraphs,B,03,1,0.01040599999999986,200
fuseki,10M,L3,namedgraphs,B,04,1,0.010538000000000158,200
fuseki,10M,L3,namedgraphs,B,05,1,0.010869999999999547,200
fuseki,10M,L3,namedgraphs,B,06,1,0.010412000000000032,200
fuseki,10M,L3,namedgraphs,B,07,1,0.010585999999999596,200
fuseki,10M,L3,namedgraphs,B,08,1,0.011220999999999481,200
fuseki,10M,L3,namedgraphs,B,09,1,0.010412999999999617,200
fuseki,10M,L3,namedgraphs,B,10,1,0.010468000000000477,400
fuseki,10M,L3,namedgraphs,B,00,2,0.010471999999999926,200
fuseki,10M,L3,namedgraphs,B,01,2,0.010346999999999995,200
fuseki,10M,L3,namedgraphs,B,02,2,0.010569999999999913,200
fuseki,10M,L3,namedgraphs,B,03,2,0.01067999999999969,200
fuseki,10M,L3,namedgraphs,B,04,2,0.010308000000000095,200
fuseki,10M,L3,namedgraphs,B,05,2,0.01057999999999959,200
fuseki,10M,L3,namedgraphs,B,06,2,0.010476000000000207,200
fuseki,10M,L3,namedgraphs,B,07,2,0.010275000000000034,200
fuseki,10M,L3,namedgraphs,B,08,2,0.01099700000000009,200
fuseki,10M,L3,namedgraphs,B,09,2,0.010833999999999067,200
fuseki,10M,L3,namedgraphs,B,10,2,0.010343000000000047,400
fuseki,10M,L3,namedgraphs,B,00,3,0.011075000000000224,200
fuseki,10M,L3,namedgraphs,B,01,3,0.01088899999999976,200
fuseki,10M,L3,namedgraphs,B,02,3,0.011052000000000395,200
fuseki,10M,L3,namedgraphs,B,03,3,0.010676000000000407,200
fuseki,10M,L3,namedgraphs,B,04,3,0.010420999999999903,200
fuseki,10M,L3,namedgraphs,B,05,3,0.010733000000000548,200
fuseki,10M,L3,namedgraphs,B,06,3,0.010624999999999996,200
fuseki,10M,L3,namedgraphs,B,07,3,0.010605999999999782,200
fuseki,10M,L3,namedgraphs,B,08,3,0.010456000000000354,200
fuseki,10M,L3,namedgraphs,B,09,3,0.010737000000000274,200
fuseki,10M,L3,namedgraphs,B,10,3,0.010293999999999692,400
fuseki,10M,L3,namedgraphs,B,00,4,0.010790000000000188,200
fuseki,10M,L3,namedgraphs,B,01,4,0.010323000000000304,200
fuseki,10M,L3,namedgraphs,B,02,4,0.010274999999999479,200
fuseki,10M,L3,namedgraphs,B,03,4,0.010282000000000069,200
fuseki,10M,L3,namedgraphs,B,04,4,0.010509000000000879,200
fuseki,10M,L3,namedgraphs,B,05,4,0.0104559999999993,200
fuseki,10M,L3,namedgraphs,B,06,4,0.010508000000000517,200
fuseki,10M,L3,namedgraphs,B,07,4,0.010931000000000524,200
fuseki,10M,L3,namedgraphs,B,08,4,0.010462999999999334,200
fuseki,10M,L3,namedgraphs,B,09,4,0.010574000000000194,200
fuseki,10M,L3,namedgraphs,B,10,4,0.01093800000000017,400
fuseki,10M,L3,namedgraphs,B,00,5,0.01068399999999975,200
fuseki,10M,L3,namedgraphs,B,01,5,0.010646999999999962,200
fuseki,10M,L3,namedgraphs,B,02,5,0.010240000000000526,200
fuseki,10M,L3,namedgraphs,B,03,5,0.010859999999999814,200
fuseki,10M,L3,namedgraphs,B,04,5,0.01109100000000085,200
fuseki,10M,L3,namedgraphs,B,05,5,0.01058999999999971,200
fuseki,10M,L3,namedgraphs,B,06,5,0.010182999999999776,200
fuseki,10M,L3,namedgraphs,B,07,5,0.010462000000000637,200
fuseki,10M,L3,namedgraphs,B,08,5,0.010198999999999792,200
fuseki,10M,L3,namedgraphs,B,09,5,0.010364000000000595,200
fuseki,10M,L3,namedgraphs,B,10,5,0.010302000000000089,400
