engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,L3,namedgraphs,P,00,1,0.3280978202819824,200
fuseki,10M,L3,namedgraphs,P,01,1,0.4671890791505575,200
fuseki,10M,L3,namedgraphs,P,02,1,0.3235919922590256,200
fuseki,10M,L3,namedgraphs,P,03,1,0.31726231053471565,200
fuseki,10M,L3,namedgraphs,P,04,1,0.31657071970403194,200
fuseki,10M,L3,namedgraphs,P,05,1,0.33581164106726646,200
fuseki,10M,L3,namedgraphs,P,06,1,0.31160285882651806,200
fuseki,10M,L3,namedgraphs,P,07,1,0.31339592300355434,200
fuseki,10M,L3,namedgraphs,P,08,1,0.5252662375569344,200
fuseki,10M,L3,namedgraphs,P,09,1,0.3001477736979723,200
fuseki,10M,L3,namedgraphs,P,00,2,0.3836069852113724,200
fuseki,10M,L3,namedgraphs,P,01,2,0.368511863052845,200
fuseki,10M,L3,namedgraphs,P,02,2,0.3567546680569649,200
fuseki,10M,L3,namedgraphs,P,03,2,0.4207902383059263,200
fuseki,10M,L3,namedgraphs,P,04,2,0.30688251554965973,200
fuseki,10M,L3,namedgraphs,P,05,2,0.35014403983950615,200
fuseki,10M,L3,namedgraphs,P,06,2,0.3419988378882408,200
fuseki,10M,L3,namedgraphs,P,07,2,0.31473792158067226,200
fuseki,10M,L3,namedgraphs,P,08,2,0.3283865861594677,200
fuseki,10M,L3,namedgraphs,P,09,2,0.33232395350933075,200
fuseki,10M,L3,namedgraphs,P,00,3,0.315972451120615,200
fuseki,10M,L3,namedgraphs,P,01,3,0.3922385163605213,200
fuseki,10M,L3,namedgraphs,P,02,3,0.3608282543718815,200
fuseki,10M,L3,namedgraphs,P,03,3,0.43687370233237743,200
fuseki,10M,L3,namedgraphs,P,04,3,0.4250238239765167,200
fuseki,10M,L3,namedgraphs,P,05,3,0.3088863883167505,200
fuseki,10M,L3,namedgraphs,P,06,3,0.3739483095705509,200
fuseki,10M,L3,namedgraphs,P,07,3,0.3070182017982006,200
fuseki,10M,L3,namedgraphs,P,08,3,0.3047644719481468,200
fuseki,10M,L3,namedgraphs,P,09,3,0.31247358210384846,200
fuseki,10M,L3,namedgraphs,P,00,4,0.3115396723151207,200
fuseki,10M,L3,namedgraphs,P,01,4,0.308852544054389,200
fuseki,10M,L3,namedgraphs,P,02,4,0.32393826730549335,200
fuseki,10M,L3,namedgraphs,P,03,4,0.3346922677010298,200
fuseki,10M,L3,namedgraphs,P,04,4,0.3110525533556938,200
fuseki,10M,L3,namedgraphs,P,05,4,0.40117463283240795,200
fuseki,10M,L3,namedgraphs,P,06,4,0.3804452046751976,200
fuseki,10M,L3,namedgraphs,P,07,4,0.41564681753516197,200
fuseki,10M,L3,namedgraphs,P,08,4,0.3552843760699034,200
fuseki,10M,L3,namedgraphs,P,09,4,0.3023374918848276,200
fuseki,10M,L3,namedgraphs,P,00,5,0.37657415121793747,200
fuseki,10M,L3,namedgraphs,P,01,5,0.30789029598236084,200
fuseki,10M,L3,namedgraphs,P,02,5,0.30512634478509426,200
fuseki,10M,L3,namedgraphs,P,03,5,0.3267777506262064,200
fuseki,10M,L3,namedgraphs,P,04,5,0.3000642266124487,200
fuseki,10M,L3,namedgraphs,P,05,5,0.3107464648783207,200
fuseki,10M,L3,namedgraphs,P,06,5,0.3813578709959984,200
fuseki,10M,L3,namedgraphs,P,07,5,0.3396609406918287,200
fuseki,10M,L3,namedgraphs,P,08,5,0.3879623208194971,200
fuseki,10M,L3,namedgraphs,P,09,5,0.37121490202844143,200
