engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,L3,rdf,B,00,1,0.02063404768705368,200
fuseki,10M,L3,rdf,B,01,1,0.021061837673187256,200
fuseki,10M,L3,rdf,B,02,1,0.019519738852977753,200
fuseki,10M,L3,rdf,B,03,1,0.01915777660906315,200
fuseki,10M,L3,rdf,B,04,1,0.018516026437282562,200
fuseki,10M,L3,rdf,B,05,1,0.02185818739235401,200
fuseki,10M,L3,rdf,B,06,1,0.02179855667054653,200
fuseki,10M,L3,rdf,B,07,1,0.0225086472928524,200
fuseki,10M,L3,rdf,B,08,1,0.018811862915754318,200
fuseki,10M,L3,rdf,B,09,1,0.018649889156222343,200
fuseki,10M,L3,rdf,B,00,2,0.018293607980012894,200
fuseki,10M,L3,rdf,B,01,2,0.021940825507044792,200
fuseki,10M,L3,rdf,B,02,2,0.019868988543748856,200
fuseki,10M,L3,rdf,B,03,2,0.022147655487060547,200
fuseki,10M,L3,rdf,B,04,2,0.017765698954463005,200
fuseki,10M,L3,rdf,B,05,2,0.018421998247504234,200
fuseki,10M,L3,rdf,B,06,2,0.017906246706843376,200
fuseki,10M,L3,rdf,B,07,2,0.019302180036902428,200
fuseki,10M,L3,rdf,B,08,2,0.02267645113170147,200
fuseki,10M,L3,rdf,B,09,2,0.018560441210865974,200
fuseki,10M,L3,rdf,B,00,3,0.018082506954669952,200
fuseki,10M,L3,rdf,B,01,3,0.019168265163898468,200
fuseki,10M,L3,rdf,B,02,3,0.018843291327357292,200
fuseki,10M,L3,rdf,B,03,3,0.021148622035980225,200
fuseki,10M,L3,rdf,B,04,3,0.01840929687023163,200
fuseki,10M,L3,rdf,B,05,3,0.018833203241229057,200
fuseki,10M,L3,rdf,B,06,3,0.019072122871875763,200
fuseki,10M,L3,rdf,B,07,3,0.018275441601872444,200
fuseki,10M,L3,rdf,B,08,3,0.017663609236478806,200
fuseki,10M,L3,rdf,B,09,3,0.018100352957844734,200
fuseki,10M,L3,rdf,B,00,4,0.018611395731568336,200
fuseki,10M,L3,rdf,B,01,4,0.022053124383091927,200
fuseki,10M,L3,rdf,B,02,4,0.02870098128914833,200
fuseki,10M,L3,rdf,B,03,4,0.021708546206355095,200
fuseki,10M,L3,rdf,B,04,4,0.018827183172106743,200
fuseki,10M,L3,rdf,B,05,4,0.019484244287014008,200
fuseki,10M,L3,rdf,B,06,4,0.019475866109132767,200
fuseki,10M,L3,rdf,B,07,4,0.020549502223730087,200
fuseki,10M,L3,rdf,B,08,4,0.02164112962782383,200
fuseki,10M,L3,rdf,B,09,4,0.019905947148799896,200
fuseki,10M,L3,rdf,B,00,5,0.01885140873491764,200
fuseki,10M,L3,rdf,B,01,5,0.018110079690814018,200
fuseki,10M,L3,rdf,B,02,5,0.02084261365234852,200
fuseki,10M,L3,rdf,B,03,5,0.02017965167760849,200
fuseki,10M,L3,rdf,B,04,5,0.01875758357346058,200
fuseki,10M,L3,rdf,B,05,5,0.020612148568034172,200
fuseki,10M,L3,rdf,B,06,5,0.02124400995671749,200
fuseki,10M,L3,rdf,B,07,5,0.017970478162169456,200
fuseki,10M,L3,rdf,B,08,5,0.026297466829419136,200
fuseki,10M,L3,rdf,B,09,5,0.021023644134402275,200
