engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,L3,wikidata,B,00,1,0.021641608327627182,200
fuseki,10M,L3,wikidata,B,01,1,0.0223610270768404,200
fuseki,10M,L3,wikidata,B,02,1,0.021538343280553818,200
fuseki,10M,L3,wikidata,B,03,1,0.020196912810206413,200
fuseki,10M,L3,wikidata,B,04,1,0.022331420332193375,200
fuseki,10M,L3,wikidata,B,05,1,0.020959261804819107,200
fuseki,10M,L3,wikidata,B,06,1,0.02418704703450203,200
fuseki,10M,L3,wikidata,B,07,1,0.026357892900705338,200
fuseki,10M,L3,wikidata,B,08,1,0.020153513178229332,200
fuseki,10M,L3,wikidata,B,09,1,0.018533235415816307,200
fuseki,10M,L3,wikidata,B,00,2,0.019952572882175446,200
fuseki,10M,L3,wikidata,B,01,2,0.01997159793972969,200
fuseki,10M,L3,wikidata,B,02,2,0.02354314550757408,200
fuseki,10M,L3,wikidata,B,03,2,0.01961357332766056,200
fuseki,10M,L3,wikidata,B,04,2,0.019040102139115334,200
fuseki,10M,L3,wikidata,B,05,2,0.01977834291756153,200
fuseki,10M,L3,wikidata,B,06,2,0.018480386584997177,200
fuseki,10M,L3,wikidata,B,07,2,0.019184984266757965,200
fuseki,10M,L3,wikidata,B,08,2,0.022906644269824028,200
fuseki,10M,L3,wikidata,B,09,2,0.01871197298169136,200
fuseki,10M,L3,wikidata,B,00,3,0.022957760840654373,200
fuseki,10M,L3,wikidata,B,01,3,0.020587492734193802,200
fuseki,10M,L3,wikidata,B,02,3,0.023416073992848396,200
fuseki,10M,L3,wikidata,B,03,3,0.02181152068078518,200
fuseki,10M,L3,wikidata,B,04,3,0.021641656756401062,200
fuseki,10M,L3,wikidata,B,05,3,0.022565651684999466,200
fuseki,10M,L3,wikidata,B,06,3,0.01941636949777603,200
fuseki,10M,L3,wikidata,B,07,3,0.019547509029507637,200
fuseki,10M,L3,wikidata,B,08,3,0.022537728771567345,200
fuseki,10M,L3,wikidata,B,09,3,0.020755095407366753,200
fuseki,10M,L3,wikidata,B,00,4,0.01929500326514244,200
fuseki,10M,L3,wikidata,B,01,4,0.02293698862195015,200
fuseki,10M,L3,wikidata,B,02,4,0.019949397072196007,200
fuseki,10M,L3,wikidata,B,03,4,0.021800195798277855,200
fuseki,10M,L3,wikidata,B,04,4,0.01828685961663723,200
fuseki,10M,L3,wikidata,B,05,4,0.01849423348903656,200
fuseki,10M,L3,wikidata,B,06,4,0.021267201751470566,200
fuseki,10M,L3,wikidata,B,07,4,0.018152207136154175,200
fuseki,10M,L3,wikidata,B,08,4,0.018807273358106613,200
fuseki,10M,L3,wikidata,B,09,4,0.017843663692474365,200
fuseki,10M,L3,wikidata,B,00,5,0.01892653852701187,200
fuseki,10M,L3,wikidata,B,01,5,0.027551325038075447,200
fuseki,10M,L3,wikidata,B,02,5,0.019001109525561333,200
fuseki,10M,L3,wikidata,B,03,5,0.01803947612643242,200
fuseki,10M,L3,wikidata,B,04,5,0.018234621733427048,200
fuseki,10M,L3,wikidata,B,05,5,0.018616996705532074,200
fuseki,10M,L3,wikidata,B,06,5,0.018436554819345474,200
fuseki,10M,L3,wikidata,B,07,5,0.018297944217920303,200
fuseki,10M,L3,wikidata,B,08,5,0.02150900848209858,200
fuseki,10M,L3,wikidata,B,09,5,0.01788369007408619,200
