engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,S2,rdf,B,00,1,0.021173886954784393,200
fuseki,10M,S2,rdf,B,01,1,0.022281425073742867,200
fuseki,10M,S2,rdf,B,02,1,0.021361008286476135,200
fuseki,10M,S2,rdf,B,03,1,0.021961862221360207,200
fuseki,10M,S2,rdf,B,04,1,0.057452570647001266,200
fuseki,10M,S2,rdf,B,05,1,0.025406157597899437,200
fuseki,10M,S2,rdf,B,06,1,0.028071824461221695,200
fuseki,10M,S2,rdf,B,07,1,0.03268885426223278,200
fuseki,10M,S2,rdf,B,08,1,0.023967323824763298,200
fuseki,10M,S2,rdf,B,09,1,0.026366790756583214,200
fuseki,10M,S2,rdf,B,00,2,0.019314298406243324,200
fuseki,10M,S2,rdf,B,01,2,0.02151358686387539,200
fuseki,10M,S2,rdf,B,02,2,0.020644977688789368,200
fuseki,10M,S2,rdf,B,03,2,0.026377171277999878,200
fuseki,10M,S2,rdf,B,04,2,0.02440670318901539,200
fuseki,10M,S2,rdf,B,05,2,0.020102307200431824,200
fuseki,10M,S2,rdf,B,06,2,0.02779456414282322,200
fuseki,10M,S2,rdf,B,07,2,0.02514250949025154,200
fuseki,10M,S2,rdf,B,08,2,0.02156452275812626,200
fuseki,10M,S2,rdf,B,09,2,0.021844862028956413,200
fuseki,10M,S2,rdf,B,00,3,0.019263824447989464,200
fuseki,10M,S2,rdf,B,01,3,0.019207285717129707,200
fuseki,10M,S2,rdf,B,02,3,0.019937222823500633,200
fuseki,10M,S2,rdf,B,03,3,0.024589527398347855,200
fuseki,10M,S2,rdf,B,04,3,0.026272021234035492,200
fuseki,10M,S2,rdf,B,05,3,0.019202155992388725,200
fuseki,10M,S2,rdf,B,06,3,0.030339373275637627,200
fuseki,10M,S2,rdf,B,07,3,0.029871881008148193,200
fuseki,10M,S2,rdf,B,08,3,0.024764409288764,200
fuseki,10M,S2,rdf,B,09,3,0.02158786542713642,200
fuseki,10M,S2,rdf,B,00,4,0.01937553472816944,200
fuseki,10M,S2,rdf,B,01,4,0.019453369081020355,200
fuseki,10M,S2,rdf,B,02,4,0.019925132393836975,200
fuseki,10M,S2,rdf,B,03,4,0.021220123395323753,200
fuseki,10M,S2,rdf,B,04,4,0.025478465482592583,200
fuseki,10M,S2,rdf,B,05,4,0.020358959212899208,200
fuseki,10M,S2,rdf,B,06,4,0.03286171890795231,200
fuseki,10M,S2,rdf,B,07,4,0.02424801141023636,200
fuseki,10M,S2,rdf,B,08,4,0.02056477777659893,200
fuseki,10M,S2,rdf,B,09,4,0.02098405733704567,200
fuseki,10M,S2,rdf,B,00,5,0.01840965263545513,200
fuseki,10M,S2,rdf,B,01,5,0.020477883517742157,200
fuseki,10M,S2,rdf,B,02,5,0.019525405019521713,200
fuseki,10M,S2,rdf,B,03,5,0.020403623580932617,200
fuseki,10M,S2,rdf,B,04,5,0.04859880544245243,200
fuseki,10M,S2,rdf,B,05,5,0.018734073266386986,200
fuseki,10M,S2,rdf,B,06,5,0.023219754919409752,200
fuseki,10M,S2,rdf,B,07,5,0.022159457206726074,200
fuseki,10M,S2,rdf,B,08,5,0.01953139714896679,200
fuseki,10M,S2,rdf,B,09,5,0.020061178132891655,200
