engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,S5,namedgraphs,P,00,1,0.010475000000000123,200
fuseki,10M,S5,namedgraphs,P,01,1,0.010499999999998455,200
fuseki,10M,S5,namedgraphs,P,00,2,0.010236999999999552,200
fuseki,10M,S5,namedgraphs,P,01,2,0.010475000000004286,200
fuseki,10M,S5,namedgraphs,P,00,3,0.010461000000002496,200
fuseki,10M,S5,namedgraphs,P,01,3,0.010578999999997285,200
fuseki,10M,S5,namedgraphs,P,00,4,0.01052599999999887,200
fuseki,10M,S5,namedgraphs,P,01,4,0.010402000000000966,200
fuseki,10M,S5,namedgraphs,P,00,5,0.010814000000002377,200
fuseki,10M,S5,namedgraphs,P,01,5,0.010736999999998997,200
