engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,S5,wikidata,P,00,1,0.07674811594188213,200
fuseki,10M,S5,wikidata,P,01,1,0.07153734005987644,200
fuseki,10M,S5,wikidata,P,00,2,0.07180824130773544,200
fuseki,10M,S5,wikidata,P,01,2,0.06686271354556084,200
fuseki,10M,S5,wikidata,P,00,3,0.08971450105309486,200
fuseki,10M,S5,wikidata,P,01,3,0.046898139640688896,200
fuseki,10M,S5,wikidata,P,00,4,0.049342311918735504,200
fuseki,10M,S5,wikidata,P,01,4,0.07618745043873787,200
fuseki,10M,S5,wikidata,P,00,5,0.04939050227403641,200
fuseki,10M,S5,wikidata,P,01,5,0.04549243673682213,200
