engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,S6,rdf,P,00,1,0.11502878181636333,200
fuseki,10M,S6,rdf,P,01,1,0.10448668152093887,200
fuseki,10M,S6,rdf,P,02,1,0.10348876751959324,200
fuseki,10M,S6,rdf,P,03,1,0.10294964350759983,200
fuseki,10M,S6,rdf,P,04,1,0.1033028494566679,200
fuseki,10M,S6,rdf,P,05,1,0.10685405507683754,200
fuseki,10M,S6,rdf,P,06,1,0.0813905019313097,200
fuseki,10M,S6,rdf,P,07,1,0.07555246166884899,200
fuseki,10M,S6,rdf,P,08,1,0.07262793555855751,200
fuseki,10M,S6,rdf,P,09,1,0.08029439486563206,200
fuseki,10M,S6,rdf,P,00,2,0.08215078338980675,200
fuseki,10M,S6,rdf,P,01,2,0.10318513587117195,200
fuseki,10M,S6,rdf,P,02,2,0.1041807159781456,200
fuseki,10M,S6,rdf,P,03,2,0.0786647330969572,200
fuseki,10M,S6,rdf,P,04,2,0.07763679139316082,200
fuseki,10M,S6,rdf,P,05,2,0.07782449573278427,200
fuseki,10M,S6,rdf,P,06,2,0.07155507057905197,200
fuseki,10M,S6,rdf,P,07,2,0.07928910851478577,200
fuseki,10M,S6,rdf,P,08,2,0.08396832458674908,200
fuseki,10M,S6,rdf,P,09,2,0.07252227701246738,200
fuseki,10M,S6,rdf,P,00,3,0.07405192404985428,200
fuseki,10M,S6,rdf,P,01,3,0.07203693129122257,200
fuseki,10M,S6,rdf,P,02,3,0.09606662020087242,200
fuseki,10M,S6,rdf,P,03,3,0.07947308756411076,200
fuseki,10M,S6,rdf,P,04,3,0.07369611971080303,200
fuseki,10M,S6,rdf,P,05,3,0.07657991908490658,200
fuseki,10M,S6,rdf,P,06,3,0.0782037116587162,200
fuseki,10M,S6,rdf,P,07,3,0.07246650196611881,200
fuseki,10M,S6,rdf,P,08,3,0.07779057510197163,200
fuseki,10M,S6,rdf,P,09,3,0.08967594802379608,200
fuseki,10M,S6,rdf,P,00,4,0.09703205153346062,200
fuseki,10M,S6,rdf,P,01,4,0.09335208125412464,200
fuseki,10M,S6,rdf,P,02,4,0.0971702616661787,200
fuseki,10M,S6,rdf,P,03,4,0.09874267689883709,200
fuseki,10M,S6,rdf,P,04,4,0.10443779081106186,200
fuseki,10M,S6,rdf,P,05,4,0.11116790026426315,200
fuseki,10M,S6,rdf,P,06,4,0.07220543920993805,200
fuseki,10M,S6,rdf,P,07,4,0.07844230905175209,200
fuseki,10M,S6,rdf,P,08,4,0.08679504506289959,200
fuseki,10M,S6,rdf,P,09,4,0.09296746738255024,200
fuseki,10M,S6,rdf,P,00,5,0.09372212924063206,200
fuseki,10M,S6,rdf,P,01,5,0.08955850824713707,200
fuseki,10M,S6,rdf,P,02,5,0.0953888650983572,200
fuseki,10M,S6,rdf,P,03,5,0.07266190834343433,200
fuseki,10M,S6,rdf,P,04,5,0.07202927581965923,200
fuseki,10M,S6,rdf,P,05,5,0.07773102074861526,200
fuseki,10M,S6,rdf,P,06,5,0.08486363105475903,200
fuseki,10M,S6,rdf,P,07,5,0.0842746626585722,200
fuseki,10M,S6,rdf,P,08,5,0.07833060063421726,200
fuseki,10M,S6,rdf,P,09,5,0.09586812555789948,200
