engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,S6,wikidata,B,00,1,0.02660452388226986,200
fuseki,10M,S6,wikidata,B,01,1,0.024512730538845062,200
fuseki,10M,S6,wikidata,B,02,1,0.022517768666148186,200
fuseki,10M,S6,wikidata,B,03,1,0.021577652543783188,200
fuseki,10M,S6,wikidata,B,04,1,0.022488992661237717,200
fuseki,10M,S6,wikidata,B,05,1,0.018687622621655464,200
fuseki,10M,S6,wikidata,B,06,1,0.01812492497265339,200
fuseki,10M,S6,wikidata,B,07,1,0.028788045048713684,200
fuseki,10M,S6,wikidata,B,08,1,0.01925140805542469,200
fuseki,10M,S6,wikidata,B,09,1,0.02057996392250061,200
fuseki,10M,S6,wikidata,B,00,2,0.06695308163762093,200
fuseki,10M,S6,wikidata,B,01,2,0.022006215527653694,200
fuseki,10M,S6,wikidata,B,02,2,0.021524494513869286,200
fuseki,10M,S6,wikidata,B,03,2,0.02420196495950222,200
fuseki,10M,S6,wikidata,B,04,2,0.02221154049038887,200
fuseki,10M,S6,wikidata,B,05,2,0.021877650171518326,200
fuseki,10M,S6,wikidata,B,06,2,0.01822693645954132,200
fuseki,10M,S6,wikidata,B,07,2,0.025765802711248398,200
fuseki,10M,S6,wikidata,B,08,2,0.021460862830281258,200
fuseki,10M,S6,wikidata,B,09,2,0.02080168016254902,200
fuseki,10M,S6,wikidata,B,00,3,0.02693897671997547,200
fuseki,10M,S6,wikidata,B,01,3,0.02024962194263935,200
fuseki,10M,S6,wikidata,B,02,3,0.023878294974565506,200
fuseki,10M,S6,wikidata,B,03,3,0.020903604105114937,200
fuseki,10M,S6,wikidata,B,04,3,0.025195540860295296,200
fuseki,10M,S6,wikidata,B,05,3,0.020816870033740997,200
fuseki,10M,S6,wikidata,B,06,3,0.021674446761608124,200
fuseki,10M,S6,wikidata,B,07,3,0.023753216490149498,200
fuseki,10M,S6,wikidata,B,08,3,0.019200440496206284,200
fuseki,10M,S6,wikidata,B,09,3,0.017976652830839157,200
fuseki,10M,S6,wikidata,B,00,4,0.026430757716298103,200
fuseki,10M,S6,wikidata,B,01,4,0.02276584692299366,200
fuseki,10M,S6,wikidata,B,02,4,0.02101484313607216,200
fuseki,10M,S6,wikidata,B,03,4,0.020689912140369415,200
fuseki,10M,S6,wikidata,B,04,4,0.021664999425411224,200
fuseki,10M,S6,wikidata,B,05,4,0.01815173588693142,200
fuseki,10M,S6,wikidata,B,06,4,0.018559996038675308,200
fuseki,10M,S6,wikidata,B,07,4,0.02337564527988434,200
fuseki,10M,S6,wikidata,B,08,4,0.018615178763866425,200
fuseki,10M,S6,wikidata,B,09,4,0.01813162863254547,200
fuseki,10M,S6,wikidata,B,00,5,0.02553662098944187,200
fuseki,10M,S6,wikidata,B,01,5,0.02324882708489895,200
fuseki,10M,S6,wikidata,B,02,5,0.019745221361517906,200
fuseki,10M,S6,wikidata,B,03,5,0.021427450701594353,200
fuseki,10M,S6,wikidata,B,04,5,0.02165323868393898,200
fuseki,10M,S6,wikidata,B,05,5,0.01974804326891899,200
fuseki,10M,S6,wikidata,B,06,5,0.019265875220298767,200
fuseki,10M,S6,wikidata,B,07,5,0.025272121652960777,200
fuseki,10M,S6,wikidata,B,08,5,0.021172070875763893,200
fuseki,10M,S6,wikidata,B,09,5,0.01888902485370636,200
