engine,size,template,scheme,mode,query_id,repetition,time,status
tripleprov,10M,S2,namedgraphs,T,00,1,0.039687,200
tripleprov,10M,S2,namedgraphs,T,00,2,0.023149,200
tripleprov,10M,S2,namedgraphs,T,00,3,0.023429,200
tripleprov,10M,S2,namedgraphs,T,00,4,0.02379,200
tripleprov,10M,S2,namedgraphs,T,00,5,0.02351,200
tripleprov,10M,S2,namedgraphs,T,01,1,0.037017,200
tripleprov,10M,S2,namedgraphs,T,01,2,0.024281,200
tripleprov,10M,S2,namedgraphs,T,01,3,0.035577,200
tripleprov,10M,S2,namedgraphs,T,01,4,0.024148,200
tripleprov,10M,S2,namedgraphs,T,01,5,0.024303,200
tripleprov,10M,S2,namedgraphs,T,02,1,0.033288,200
tripleprov,10M,S2,namedgraphs,T,02,2,0.021737,200
tripleprov,10M,S2,namedgraphs,T,02,3,0.02158,200
tripleprov,10M,S2,namedgraphs,T,02,4,0.021584,200
tripleprov,10M,S2,namedgraphs,T,02,5,0.021524,200
tripleprov,10M,S2,namedgraphs,T,03,1,0.053934,200
tripleprov,10M,S2,namedgraphs,T,03,2,0.043113,200
tripleprov,10M,S2,namedgraphs,T,03,3,0.042318,200
tripleprov,10M,S2,namedgraphs,T,03,4,0.042134,200
tripleprov,10M,S2,namedgraphs,T,03,5,0.042895,200
tripleprov,10M,S2,namedgraphs,T,04,1,0.091136,200
tripleprov,10M,S2,namedgraphs,T,04,2,0.072393,200
tripleprov,10M,S2,namedgraphs,T,04,3,0.073159,200
tripleprov,10M,S2,namedgraphs,T,04,4,0.073563,200
tripleprov,10M,S2,namedgraphs,T,04,5,0.074129,200
tripleprov,10M,S2,namedgraphs,T,05,1,0.041369,200
tripleprov,10M,S2,namedgraphs,T,05,2,0.028672,200
tripleprov,10M,S2,namedgraphs,T,05,3,0.028382,200
tripleprov,10M,S2,namedgraphs,T,05,4,0.028804,200
tripleprov,10M,S2,namedgraphs,T,05,5,0.02903,200
tripleprov,10M,S2,namedgraphs,T,06,1,0.135906,200
tripleprov,10M,S2,namedgraphs,T,06,2,0.12206,200
tripleprov,10M,S2,namedgraphs,T,06,3,0.123357,200
tripleprov,10M,S2,namedgraphs,T,06,4,0.124442,200
tripleprov,10M,S2,namedgraphs,T,06,5,0.123693,200
tripleprov,10M,S2,namedgraphs,T,07,1,0.113506,200
tripleprov,10M,S2,namedgraphs,T,07,2,0.099328,200
tripleprov,10M,S2,namedgraphs,T,07,3,0.095805,200
tripleprov,10M,S2,namedgraphs,T,07,4,0.097852,200
tripleprov,10M,S2,namedgraphs,T,07,5,0.097924,200
tripleprov,10M,S2,namedgraphs,T,08,1,0.053896,200
tripleprov,10M,S2,namedgraphs,T,08,2,0.041014,200
tripleprov,10M,S2,namedgraphs,T,08,3,0.04114,200
tripleprov,10M,S2,namedgraphs,T,08,4,0.040054,200
tripleprov,10M,S2,namedgraphs,T,08,5,0.04025,200
tripleprov,10M,S2,namedgraphs,T,09,1,0.061181,200
tripleprov,10M,S2,namedgraphs,T,09,2,0.056697,200
tripleprov,10M,S2,namedgraphs,T,09,3,0.047991,200
tripleprov,10M,S2,namedgraphs,T,09,4,0.047934,200
tripleprov,10M,S2,namedgraphs,T,09,5,0.048778,200
