engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,10M,L3,namedgraphs,P,00,1,0.010747000000000062,200
virtuoso,10M,L3,namedgraphs,P,01,1,0.010667999999996236,200
virtuoso,10M,L3,namedgraphs,P,02,1,0.01039199999999596,200
virtuoso,10M,L3,namedgraphs,P,03,1,0.01034800000000069,200
virtuoso,10M,L3,namedgraphs,P,04,1,0.010514999999996721,200
virtuoso,10M,L3,namedgraphs,P,05,1,0.010214999999994534,200
virtuoso,10M,L3,namedgraphs,P,06,1,0.010411000000005055,200
virtuoso,10M,L3,namedgraphs,P,07,1,0.010273000000004417,200
virtuoso,10M,L3,namedgraphs,P,08,1,0.010477999999995768,200
virtuoso,10M,L3,namedgraphs,P,09,1,0.010382000000001557,200
virtuoso,10M,L3,namedgraphs,P,00,2,0.01041800000000459,200
virtuoso,10M,L3,namedgraphs,P,01,2,0.010671999999996351,200
virtuoso,10M,L3,namedgraphs,P,02,2,0.010496000000005834,200
virtuoso,10M,L3,namedgraphs,P,03,2,0.010603000000005913,200
virtuoso,10M,L3,namedgraphs,P,04,2,0.01054299999999797,200
virtuoso,10M,L3,namedgraphs,P,05,2,0.01010799999999834,200
virtuoso,10M,L3,namedgraphs,P,06,2,0.01030799999999732,200
virtuoso,10M,L3,namedgraphs,P,07,2,0.010142999999999347,200
virtuoso,10M,L3,namedgraphs,P,08,2,0.010156000000002052,200
virtuoso,10M,L3,namedgraphs,P,09,2,0.01009599999999633,200
virtuoso,10M,L3,namedgraphs,P,00,3,0.010201999999999156,200
virtuoso,10M,L3,namedgraphs,P,01,3,0.010286999999999269,200
virtuoso,10M,L3,namedgraphs,P,02,3,0.010188000000000086,200
virtuoso,10M,L3,namedgraphs,P,03,3,0.010385999999999007,200
virtuoso,10M,L3,namedgraphs,P,04,3,0.010411000000002169,200
virtuoso,10M,L3,namedgraphs,P,05,3,0.01030899999999757,200
virtuoso,10M,L3,namedgraphs,P,06,3,0.010440999999999923,200
virtuoso,10M,L3,namedgraphs,P,07,3,0.01018299999999539,200
virtuoso,10M,L3,namedgraphs,P,08,3,0.010534000000000932,200
virtuoso,10M,L3,namedgraphs,P,09,3,0.01037700000000541,200
virtuoso,10M,L3,namedgraphs,P,00,4,0.010835999999998847,200
virtuoso,10M,L3,namedgraphs,P,01,4,0.010466999999997117,200
virtuoso,10M,L3,namedgraphs,P,02,4,0.010070000000003132,200
virtuoso,10M,L3,namedgraphs,P,03,4,0.010482000000000768,200
virtuoso,10M,L3,namedgraphs,P,04,4,0.010496999999996759,200
virtuoso,10M,L3,namedgraphs,P,05,4,0.010257000000005068,200
virtuoso,10M,L3,namedgraphs,P,06,4,0.010518999999999723,200
virtuoso,10M,L3,namedgraphs,P,07,4,0.010338999999994991,200
virtuoso,10M,L3,namedgraphs,P,08,4,0.010302999999999063,200
virtuoso,10M,L3,namedgraphs,P,09,4,0.010205000000002462,200
virtuoso,10M,L3,namedgraphs,P,00,5,0.010217999999998062,200
virtuoso,10M,L3,namedgraphs,P,01,5,0.010172000000006398,200
virtuoso,10M,L3,namedgraphs,P,02,5,0.010694999999999566,200
virtuoso,10M,L3,namedgraphs,P,03,5,0.010312999999997907,200
virtuoso,10M,L3,namedgraphs,P,04,5,0.01074599999999526,200
virtuoso,10M,L3,namedgraphs,P,05,5,0.01087300000000535,200
virtuoso,10M,L3,namedgraphs,P,06,5,0.010874000000005601,200
virtuoso,10M,L3,namedgraphs,P,07,5,0.01058500000000373,200
virtuoso,10M,L3,namedgraphs,P,08,5,0.010309999999998598,200
virtuoso,10M,L3,namedgraphs,P,09,5,0.010137000000006613,200
