engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,10M,L3,wikidata,B,00,1,0.011126236990094185,200
virtuoso,10M,L3,wikidata,B,01,1,0.011133762076497078,200
virtuoso,10M,L3,wikidata,B,02,1,0.011350400745868683,200
virtuoso,10M,L3,wikidata,B,03,1,0.011102251708507538,200
virtuoso,10M,L3,wikidata,B,04,1,0.011523015797138214,200
virtuoso,10M,L3,wikidata,B,05,1,0.011563662439584732,200
virtuoso,10M,L3,wikidata,B,06,1,0.011179156601428986,200
virtuoso,10M,L3,wikidata,B,07,1,0.01107240654528141,200
virtuoso,10M,L3,wikidata,B,08,1,0.011483419686555862,200
virtuoso,10M,L3,wikidata,B,09,1,0.011415204033255577,200
virtuoso,10M,L3,wikidata,B,00,2,0.011409079656004906,200
virtuoso,10M,L3,wikidata,B,01,2,0.011146768927574158,200
virtuoso,10M,L3,wikidata,B,02,2,0.011991819366812706,200
virtuoso,10M,L3,wikidata,B,03,2,0.011498108506202698,200
virtuoso,10M,L3,wikidata,B,04,2,0.01142931915819645,200
virtuoso,10M,L3,wikidata,B,05,2,0.011162502691149712,200
virtuoso,10M,L3,wikidata,B,06,2,0.011120468378067017,200
virtuoso,10M,L3,wikidata,B,07,2,0.011131344363093376,200
virtuoso,10M,L3,wikidata,B,08,2,0.011394161731004715,200
virtuoso,10M,L3,wikidata,B,09,2,0.011689417064189911,200
virtuoso,10M,L3,wikidata,B,00,3,0.011240214109420776,200
virtuoso,10M,L3,wikidata,B,01,3,0.011076431721448898,200
virtuoso,10M,L3,wikidata,B,02,3,0.01140124723315239,200
virtuoso,10M,L3,wikidata,B,03,3,0.010823115706443787,200
virtuoso,10M,L3,wikidata,B,04,3,0.011554153636097908,200
virtuoso,10M,L3,wikidata,B,05,3,0.010895561426877975,200
virtuoso,10M,L3,wikidata,B,06,3,0.01181875355541706,200
virtuoso,10M,L3,wikidata,B,07,3,0.01120787300169468,200
virtuoso,10M,L3,wikidata,B,08,3,0.011636318638920784,200
virtuoso,10M,L3,wikidata,B,09,3,0.011199632659554482,200
virtuoso,10M,L3,wikidata,B,00,4,0.011711299419403076,200
virtuoso,10M,L3,wikidata,B,01,4,0.01124870777130127,200
virtuoso,10M,L3,wikidata,B,02,4,0.011255942285060883,200
virtuoso,10M,L3,wikidata,B,03,4,0.011249428614974022,200
virtuoso,10M,L3,wikidata,B,04,4,0.011079689487814903,200
virtuoso,10M,L3,wikidata,B,05,4,0.01125410757958889,200
virtuoso,10M,L3,wikidata,B,06,4,0.011242395266890526,200
virtuoso,10M,L3,wikidata,B,07,4,0.01117844507098198,200
virtuoso,10M,L3,wikidata,B,08,4,0.01113557443022728,200
virtuoso,10M,L3,wikidata,B,09,4,0.011533133685588837,200
virtuoso,10M,L3,wikidata,B,00,5,0.011419650167226791,200
virtuoso,10M,L3,wikidata,B,01,5,0.01137709990143776,200
virtuoso,10M,L3,wikidata,B,02,5,0.011798467487096786,200
virtuoso,10M,L3,wikidata,B,03,5,0.010978929698467255,200
virtuoso,10M,L3,wikidata,B,04,5,0.011128852143883705,200
virtuoso,10M,L3,wikidata,B,05,5,0.011399602517485619,200
virtuoso,10M,L3,wikidata,B,06,5,0.011406537145376205,200
virtuoso,10M,L3,wikidata,B,07,5,0.011536842212080956,200
virtuoso,10M,L3,wikidata,B,08,5,0.01158551499247551,200
virtuoso,10M,L3,wikidata,B,09,5,0.011344991624355316,200
