engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,10M,L3,wikidata,P,00,1,0.0134504996240139,200
virtuoso,10M,L3,wikidata,P,01,1,0.01313197985291481,200
virtuoso,10M,L3,wikidata,P,02,1,0.013920508325099945,200
virtuoso,10M,L3,wikidata,P,03,1,0.012039568275213242,200
virtuoso,10M,L3,wikidata,P,04,1,0.012743357568979263,200
virtuoso,10M,L3,wikidata,P,05,1,0.012037035077810287,200
virtuoso,10M,L3,wikidata,P,06,1,0.013049924746155739,200
virtuoso,10M,L3,wikidata,P,07,1,0.012326551601290703,200
virtuoso,10M,L3,wikidata,P,08,1,0.012402104213833809,200
virtuoso,10M,L3,wikidata,P,09,1,0.011702155694365501,200
virtuoso,10M,L3,wikidata,P,00,2,0.013220667839050293,200
virtuoso,10M,L3,wikidata,P,01,2,0.013256866484880447,200
virtuoso,10M,L3,wikidata,P,02,2,0.013528289273381233,200
virtuoso,10M,L3,wikidata,P,03,2,0.011894075199961662,200
virtuoso,10M,L3,wikidata,P,04,2,0.012525416910648346,200
virtuoso,10M,L3,wikidata,P,05,2,0.012228686362504959,200
virtuoso,10M,L3,wikidata,P,06,2,0.013164252042770386,200
virtuoso,10M,L3,wikidata,P,07,2,0.012486191466450691,200
virtuoso,10M,L3,wikidata,P,08,2,0.012825611978769302,200
virtuoso,10M,L3,wikidata,P,09,2,0.012140290811657906,200
virtuoso,10M,L3,wikidata,P,00,3,0.013449478894472122,200
virtuoso,10M,L3,wikidata,P,01,3,0.013368155807256699,200
virtuoso,10M,L3,wikidata,P,02,3,0.013746790587902069,200
virtuoso,10M,L3,wikidata,P,03,3,0.012553812935948372,200
virtuoso,10M,L3,wikidata,P,04,3,0.012378919869661331,200
virtuoso,10M,L3,wikidata,P,05,3,0.01198594830930233,200
virtuoso,10M,L3,wikidata,P,06,3,0.012959446758031845,200
virtuoso,10M,L3,wikidata,P,07,3,0.012691901996731758,200
virtuoso,10M,L3,wikidata,P,08,3,0.012349693104624748,200
virtuoso,10M,L3,wikidata,P,09,3,0.011604126542806625,200
virtuoso,10M,L3,wikidata,P,00,4,0.013452183455228806,200
virtuoso,10M,L3,wikidata,P,01,4,0.013029167428612709,200
virtuoso,10M,L3,wikidata,P,02,4,0.014026487246155739,200
virtuoso,10M,L3,wikidata,P,03,4,0.012085884809494019,200
virtuoso,10M,L3,wikidata,P,04,4,0.012489767745137215,200
virtuoso,10M,L3,wikidata,P,05,4,0.01226687990128994,200
virtuoso,10M,L3,wikidata,P,06,4,0.013287592679262161,200
virtuoso,10M,L3,wikidata,P,07,4,0.01237008161842823,200
virtuoso,10M,L3,wikidata,P,08,4,0.012805236503481865,200
virtuoso,10M,L3,wikidata,P,09,4,0.01164926402270794,200
virtuoso,10M,L3,wikidata,P,00,5,0.013084258884191513,200
virtuoso,10M,L3,wikidata,P,01,5,0.013163307681679726,200
virtuoso,10M,L3,wikidata,P,02,5,0.01399066112935543,200
virtuoso,10M,L3,wikidata,P,03,5,0.0119387898594141,200
virtuoso,10M,L3,wikidata,P,04,5,0.012606719508767128,200
virtuoso,10M,L3,wikidata,P,05,5,0.01248977892100811,200
virtuoso,10M,L3,wikidata,P,06,5,0.012864124029874802,200
virtuoso,10M,L3,wikidata,P,07,5,0.012577243149280548,200
virtuoso,10M,L3,wikidata,P,08,5,0.012379230931401253,200
virtuoso,10M,L3,wikidata,P,09,5,0.011603286489844322,200
