engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,10M,S2,rdf,P,00,1,0.01963178813457489,200
virtuoso,10M,S2,rdf,P,01,1,0.01925109140574932,200
virtuoso,10M,S2,rdf,P,02,1,0.018786534667015076,200
virtuoso,10M,S2,rdf,P,03,1,0.025429366156458855,200
virtuoso,10M,S2,rdf,P,04,1,0.03537745960056782,200
virtuoso,10M,S2,rdf,P,05,1,0.022237807512283325,200
virtuoso,10M,S2,rdf,P,06,1,0.05050583556294441,200
virtuoso,10M,S2,rdf,P,07,1,0.040346574038267136,200
virtuoso,10M,S2,rdf,P,08,1,0.024621572345495224,200
virtuoso,10M,S2,rdf,P,09,1,0.028583277016878128,200
virtuoso,10M,S2,rdf,P,00,2,0.01963430643081665,200
virtuoso,10M,S2,rdf,P,01,2,0.01889403909444809,200
virtuoso,10M,S2,rdf,P,02,2,0.018783211708068848,200
virtuoso,10M,S2,rdf,P,03,2,0.02601548098027706,200
virtuoso,10M,S2,rdf,P,04,2,0.03549464978277683,200
virtuoso,10M,S2,rdf,P,05,2,0.02159244753420353,200
virtuoso,10M,S2,rdf,P,06,2,0.05119210667908192,200
virtuoso,10M,S2,rdf,P,07,2,0.0402973797172308,200
virtuoso,10M,S2,rdf,P,08,2,0.024799998849630356,200
virtuoso,10M,S2,rdf,P,09,2,0.027666084468364716,200
virtuoso,10M,S2,rdf,P,00,3,0.01945711113512516,200
virtuoso,10M,S2,rdf,P,01,3,0.018700454384088516,200
virtuoso,10M,S2,rdf,P,02,3,0.01876704767346382,200
virtuoso,10M,S2,rdf,P,03,3,0.026797465980052948,200
virtuoso,10M,S2,rdf,P,04,3,0.03485587611794472,200
virtuoso,10M,S2,rdf,P,05,3,0.021849382668733597,200
virtuoso,10M,S2,rdf,P,06,3,0.055511727929115295,200
virtuoso,10M,S2,rdf,P,07,3,0.04171113669872284,200
virtuoso,10M,S2,rdf,P,08,3,0.02441956102848053,200
virtuoso,10M,S2,rdf,P,09,3,0.0274665467441082,200
virtuoso,10M,S2,rdf,P,00,4,0.019488882273435593,200
virtuoso,10M,S2,rdf,P,01,4,0.01868284121155739,200
virtuoso,10M,S2,rdf,P,02,4,0.018772028386592865,200
virtuoso,10M,S2,rdf,P,03,4,0.030699634924530983,200
virtuoso,10M,S2,rdf,P,04,4,0.035918502137064934,200
virtuoso,10M,S2,rdf,P,05,4,0.02151150442659855,200
virtuoso,10M,S2,rdf,P,06,4,0.04924736171960831,200
virtuoso,10M,S2,rdf,P,07,4,0.0405932180583477,200
virtuoso,10M,S2,rdf,P,08,4,0.024631502106785774,200
virtuoso,10M,S2,rdf,P,09,4,0.02854771725833416,200
virtuoso,10M,S2,rdf,P,00,5,0.019532762467861176,200
virtuoso,10M,S2,rdf,P,01,5,0.019555844366550446,200
virtuoso,10M,S2,rdf,P,02,5,0.019694657996296883,200
virtuoso,10M,S2,rdf,P,03,5,0.02629520744085312,200
virtuoso,10M,S2,rdf,P,04,5,0.03588424436748028,200
virtuoso,10M,S2,rdf,P,05,5,0.021747298538684845,200
virtuoso,10M,S2,rdf,P,06,5,0.050797367468476295,200
virtuoso,10M,S2,rdf,P,07,5,0.04030354134738445,200
virtuoso,10M,S2,rdf,P,08,5,0.02456878125667572,200
virtuoso,10M,S2,rdf,P,09,5,0.027716107666492462,200
