engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,10M,S6,rdf,B,00,1,0.011070143431425095,200
virtuoso,10M,S6,rdf,B,01,1,0.011196240782737732,200
virtuoso,10M,S6,rdf,B,02,1,0.011403311043977737,200
virtuoso,10M,S6,rdf,B,03,1,0.01209244318306446,200
virtuoso,10M,S6,rdf,B,04,1,0.011316025629639626,200
virtuoso,10M,S6,rdf,B,05,1,0.011425161734223366,200
virtuoso,10M,S6,rdf,B,06,1,0.011148152872920036,200
virtuoso,10M,S6,rdf,B,07,1,0.011298071593046188,200
virtuoso,10M,S6,rdf,B,08,1,0.011329684406518936,200
virtuoso,10M,S6,rdf,B,09,1,0.010961528867483139,200
virtuoso,10M,S6,rdf,B,00,2,0.011242927983403206,200
virtuoso,10M,S6,rdf,B,01,2,0.011141197755932808,200
virtuoso,10M,S6,rdf,B,02,2,0.010953463613986969,200
virtuoso,10M,S6,rdf,B,03,2,0.011236416175961494,200
virtuoso,10M,S6,rdf,B,04,2,0.011687908321619034,200
virtuoso,10M,S6,rdf,B,05,2,0.010892929509282112,200
virtuoso,10M,S6,rdf,B,06,2,0.01078241877257824,200
virtuoso,10M,S6,rdf,B,07,2,0.01090363971889019,200
virtuoso,10M,S6,rdf,B,08,2,0.01091795600950718,200
virtuoso,10M,S6,rdf,B,09,2,0.01088772900402546,200
virtuoso,10M,S6,rdf,B,00,3,0.010783761739730835,200
virtuoso,10M,S6,rdf,B,01,3,0.011044856160879135,200
virtuoso,10M,S6,rdf,B,02,3,0.011218460276722908,200
virtuoso,10M,S6,rdf,B,03,3,0.011171305552124977,200
virtuoso,10M,S6,rdf,B,04,3,0.010901127010583878,200
virtuoso,10M,S6,rdf,B,05,3,0.011081073433160782,200
virtuoso,10M,S6,rdf,B,06,3,0.010865828022360802,200
virtuoso,10M,S6,rdf,B,07,3,0.010999487712979317,200
virtuoso,10M,S6,rdf,B,08,3,0.010770086199045181,200
virtuoso,10M,S6,rdf,B,09,3,0.011844301596283913,200
virtuoso,10M,S6,rdf,B,00,4,0.01124320738017559,200
virtuoso,10M,S6,rdf,B,01,4,0.011445751413702965,200
virtuoso,10M,S6,rdf,B,02,4,0.011205319315195084,200
virtuoso,10M,S6,rdf,B,03,4,0.01165374368429184,200
virtuoso,10M,S6,rdf,B,04,4,0.011048203334212303,200
virtuoso,10M,S6,rdf,B,05,4,0.01126985065639019,200
virtuoso,10M,S6,rdf,B,06,4,0.01119871623814106,200
virtuoso,10M,S6,rdf,B,07,4,0.011202996596693993,200
virtuoso,10M,S6,rdf,B,08,4,0.011344138532876968,200
virtuoso,10M,S6,rdf,B,09,4,0.010961918160319328,200
virtuoso,10M,S6,rdf,B,00,5,0.011403732001781464,200
virtuoso,10M,S6,rdf,B,01,5,0.011447625234723091,200
virtuoso,10M,S6,rdf,B,02,5,0.011409932747483253,200
virtuoso,10M,S6,rdf,B,03,5,0.011437946930527687,200
virtuoso,10M,S6,rdf,B,04,5,0.010921621695160866,200
virtuoso,10M,S6,rdf,B,05,5,0.011666527017951012,200
virtuoso,10M,S6,rdf,B,06,5,0.011395476758480072,200
virtuoso,10M,S6,rdf,B,07,5,0.011344213038682938,200
virtuoso,10M,S6,rdf,B,08,5,0.011752979829907417,200
virtuoso,10M,S6,rdf,B,09,5,0.011360382661223412,200
