engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,F1,rdf,P,00,1,300.001059,100
fuseki,100M,F1,rdf,P,01,1,299.999793,100
fuseki,100M,F1,rdf,P,02,1,299.999994,100
fuseki,100M,F1,rdf,P,03,1,300.001448,100
fuseki,100M,F1,rdf,P,04,1,299.999694,100
fuseki,100M,F1,rdf,P,05,1,299.999636,100
fuseki,100M,F1,rdf,P,06,1,300.001057,100
fuseki,100M,F1,rdf,P,07,1,300.000670,100
fuseki,100M,F1,rdf,P,08,1,299.999808,100
fuseki,100M,F1,rdf,P,09,1,299.999795,100
fuseki,100M,F1,rdf,P,00,2,300.000752,100
fuseki,100M,F1,rdf,P,01,2,300.001414,100
fuseki,100M,F1,rdf,P,02,2,299.999753,100
fuseki,100M,F1,rdf,P,03,2,300.000429,100
fuseki,100M,F1,rdf,P,04,2,300.000675,100
fuseki,100M,F1,rdf,P,05,2,300.000853,100
fuseki,100M,F1,rdf,P,06,2,299.999816,100
fuseki,100M,F1,rdf,P,07,2,299.999793,100
fuseki,100M,F1,rdf,P,08,2,300.000772,100
fuseki,100M,F1,rdf,P,09,2,299.999809,100
fuseki,100M,F1,rdf,P,00,3,299.999573,100
fuseki,100M,F1,rdf,P,01,3,300.001400,100
fuseki,100M,F1,rdf,P,02,3,300.001370,100
fuseki,100M,F1,rdf,P,03,3,299.999898,100
fuseki,100M,F1,rdf,P,04,3,300.000026,100
fuseki,100M,F1,rdf,P,05,3,300.001101,100
fuseki,100M,F1,rdf,P,06,3,300.001240,100
fuseki,100M,F1,rdf,P,07,3,300.000259,100
fuseki,100M,F1,rdf,P,08,3,299.999838,100
fuseki,100M,F1,rdf,P,09,3,300.000873,100
fuseki,100M,F1,rdf,P,00,4,299.999711,100
fuseki,100M,F1,rdf,P,01,4,299.999894,100
fuseki,100M,F1,rdf,P,02,4,300.001430,100
fuseki,100M,F1,rdf,P,03,4,300.000869,100
fuseki,100M,F1,rdf,P,04,4,300.000229,100
fuseki,100M,F1,rdf,P,05,4,299.999964,100
fuseki,100M,F1,rdf,P,06,4,300.000796,100
fuseki,100M,F1,rdf,P,07,4,300.000586,100
fuseki,100M,F1,rdf,P,08,4,299.999930,100
fuseki,100M,F1,rdf,P,09,4,299.999721,100
fuseki,100M,F1,rdf,P,00,5,300.001304,100
fuseki,100M,F1,rdf,P,01,5,300.001341,100
fuseki,100M,F1,rdf,P,02,5,300.000007,100
fuseki,100M,F1,rdf,P,03,5,299.999970,100
fuseki,100M,F1,rdf,P,04,5,300.000695,100
fuseki,100M,F1,rdf,P,05,5,300.001258,100
fuseki,100M,F1,rdf,P,06,5,300.000324,100
fuseki,100M,F1,rdf,P,07,5,300.000370,100
fuseki,100M,F1,rdf,P,08,5,300.000755,100
fuseki,100M,F1,rdf,P,09,5,300.000470,100
