engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,F1,rdf,R,00,1,300,100
fuseki,100M,F1,rdf,R,01,1,300,100
fuseki,100M,F1,rdf,R,02,1,300,100
fuseki,100M,F1,rdf,R,03,1,300,100
fuseki,100M,F1,rdf,R,04,1,300,100
fuseki,100M,F1,rdf,R,05,1,300,100
fuseki,100M,F1,rdf,R,06,1,300,100
fuseki,100M,F1,rdf,R,07,1,300,100
fuseki,100M,F1,rdf,R,08,1,300,100
fuseki,100M,F1,rdf,R,09,1,300,100
fuseki,100M,F1,rdf,R,00,2,300,100
fuseki,100M,F1,rdf,R,01,2,300,100
fuseki,100M,F1,rdf,R,02,2,300,100
fuseki,100M,F1,rdf,R,03,2,300,100
fuseki,100M,F1,rdf,R,04,2,300,100
fuseki,100M,F1,rdf,R,05,2,300,100
fuseki,100M,F1,rdf,R,06,2,300,100
fuseki,100M,F1,rdf,R,07,2,300,100
fuseki,100M,F1,rdf,R,08,2,300,100
fuseki,100M,F1,rdf,R,09,2,300,100
fuseki,100M,F1,rdf,R,00,3,300,100
fuseki,100M,F1,rdf,R,01,3,300,100
fuseki,100M,F1,rdf,R,02,3,300,100
fuseki,100M,F1,rdf,R,03,3,300,100
fuseki,100M,F1,rdf,R,04,3,300,100
fuseki,100M,F1,rdf,R,05,3,300,100
fuseki,100M,F1,rdf,R,06,3,300,100
fuseki,100M,F1,rdf,R,07,3,300,100
fuseki,100M,F1,rdf,R,08,3,300,100
fuseki,100M,F1,rdf,R,09,3,300,100
fuseki,100M,F1,rdf,R,00,4,300,100
fuseki,100M,F1,rdf,R,01,4,300,100
fuseki,100M,F1,rdf,R,02,4,300,100
fuseki,100M,F1,rdf,R,03,4,300,100
fuseki,100M,F1,rdf,R,04,4,300,100
fuseki,100M,F1,rdf,R,05,4,300,100
fuseki,100M,F1,rdf,R,06,4,300,100
fuseki,100M,F1,rdf,R,07,4,300,100
fuseki,100M,F1,rdf,R,08,4,300,100
fuseki,100M,F1,rdf,R,09,4,300,100
fuseki,100M,F1,rdf,R,00,5,300,100
fuseki,100M,F1,rdf,R,01,5,300,100
fuseki,100M,F1,rdf,R,02,5,300,100
fuseki,100M,F1,rdf,R,03,5,300,100
fuseki,100M,F1,rdf,R,04,5,300,100
fuseki,100M,F1,rdf,R,05,5,300,100
fuseki,100M,F1,rdf,R,06,5,300,100
fuseki,100M,F1,rdf,R,07,5,300,100
fuseki,100M,F1,rdf,R,08,5,300,100
fuseki,100M,F1,rdf,R,09,5,300,100
