engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,F1,wikidata,R,00,1,0.18509631603956223,200
fuseki,100M,F1,wikidata,R,01,1,0.1602433193475008,200
fuseki,100M,F1,wikidata,R,02,1,0.1479256097227335,200
fuseki,100M,F1,wikidata,R,03,1,0.15206265822052956,200
fuseki,100M,F1,wikidata,R,04,1,0.20381022803485394,200
fuseki,100M,F1,wikidata,R,05,1,0.145728494040668,200
fuseki,100M,F1,wikidata,R,06,1,0.13027251977473497,200
fuseki,100M,F1,wikidata,R,07,1,0.20238946564495564,200
fuseki,100M,F1,wikidata,R,08,1,0.1637640530243516,200
fuseki,100M,F1,wikidata,R,09,1,0.13983825407922268,200
fuseki,100M,F1,wikidata,R,00,2,0.22817346081137657,200
fuseki,100M,F1,wikidata,R,01,2,0.1710557248443365,200
fuseki,100M,F1,wikidata,R,02,2,0.14042931888252497,200
fuseki,100M,F1,wikidata,R,03,2,0.13262820523232222,200
fuseki,100M,F1,wikidata,R,04,2,0.1356646865606308,200
fuseki,100M,F1,wikidata,R,05,2,0.14715816918760538,200
fuseki,100M,F1,wikidata,R,06,2,0.13878312148153782,200
fuseki,100M,F1,wikidata,R,07,2,0.18892488069832325,200
fuseki,100M,F1,wikidata,R,08,2,0.18639240972697735,200
fuseki,100M,F1,wikidata,R,09,2,0.17237179726362228,200
fuseki,100M,F1,wikidata,R,00,3,0.15663572680205107,200
fuseki,100M,F1,wikidata,R,01,3,0.1454203575849533,200
fuseki,100M,F1,wikidata,R,02,3,0.13140842225402594,200
fuseki,100M,F1,wikidata,R,03,3,0.12305978406220675,200
fuseki,100M,F1,wikidata,R,04,3,0.1322027500718832,200
fuseki,100M,F1,wikidata,R,05,3,0.14037724863737822,200
fuseki,100M,F1,wikidata,R,06,3,0.14910421054810286,200
fuseki,100M,F1,wikidata,R,07,3,0.23637588787823915,200
fuseki,100M,F1,wikidata,R,08,3,0.17363041080534458,200
fuseki,100M,F1,wikidata,R,09,3,0.1603393843397498,200
fuseki,100M,F1,wikidata,R,00,4,0.20568898785859346,200
fuseki,100M,F1,wikidata,R,01,4,0.18228735029697418,200
fuseki,100M,F1,wikidata,R,02,4,0.1705793421715498,200
fuseki,100M,F1,wikidata,R,03,4,0.16952256672084332,200
fuseki,100M,F1,wikidata,R,04,4,0.18914083391427994,200
fuseki,100M,F1,wikidata,R,05,4,0.18765653297305107,200
fuseki,100M,F1,wikidata,R,06,4,0.15461700409650803,200
fuseki,100M,F1,wikidata,R,07,4,0.19482942018657923,200
fuseki,100M,F1,wikidata,R,08,4,0.14277353137731552,200
fuseki,100M,F1,wikidata,R,09,4,0.12953630648553371,200
fuseki,100M,F1,wikidata,R,00,5,0.18038311414420605,200
fuseki,100M,F1,wikidata,R,01,5,0.16066648066043854,200
fuseki,100M,F1,wikidata,R,02,5,0.15669719874858856,200
fuseki,100M,F1,wikidata,R,03,5,0.17628906574100256,200
fuseki,100M,F1,wikidata,R,04,5,0.13870370667427778,200
fuseki,100M,F1,wikidata,R,05,5,0.14599880669265985,200
fuseki,100M,F1,wikidata,R,06,5,0.1281769396737218,200
fuseki,100M,F1,wikidata,R,07,5,0.20499737933278084,200
fuseki,100M,F1,wikidata,R,08,5,0.22054356150329113,200
fuseki,100M,F1,wikidata,R,09,5,0.19061641674488783,200
