engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,F2,wikidata,P,00,1,0.18496732134371996,200
fuseki,100M,F2,wikidata,P,01,1,0.22712316270917654,200
fuseki,100M,F2,wikidata,P,02,1,0.12095220014452934,200
fuseki,100M,F2,wikidata,P,03,1,0.028137695975601673,200
fuseki,100M,F2,wikidata,P,04,1,0.13452516682446003,200
fuseki,100M,F2,wikidata,P,05,1,0.18170941062271595,200
fuseki,100M,F2,wikidata,P,06,1,0.19439217541366816,200
fuseki,100M,F2,wikidata,P,07,1,0.1836531776934862,200
fuseki,100M,F2,wikidata,P,08,1,0.15225252322852612,200
fuseki,100M,F2,wikidata,P,09,1,0.1244357330724597,200
fuseki,100M,F2,wikidata,P,00,2,0.19279609248042107,200
fuseki,100M,F2,wikidata,P,01,2,0.247990433126688,200
fuseki,100M,F2,wikidata,P,02,2,0.1240679882466793,200
fuseki,100M,F2,wikidata,P,03,2,0.03278712090104818,200
fuseki,100M,F2,wikidata,P,04,2,0.15271292999386787,200
fuseki,100M,F2,wikidata,P,05,2,0.19695968832820654,200
fuseki,100M,F2,wikidata,P,06,2,0.1943037649616599,200
fuseki,100M,F2,wikidata,P,07,2,0.20082057546824217,200
fuseki,100M,F2,wikidata,P,08,2,0.19989377539604902,200
fuseki,100M,F2,wikidata,P,09,2,0.18070173356682062,200
fuseki,100M,F2,wikidata,P,00,3,0.2718701073899865,200
fuseki,100M,F2,wikidata,P,01,3,0.2661924175918102,200
fuseki,100M,F2,wikidata,P,02,3,0.1299548363313079,200
fuseki,100M,F2,wikidata,P,03,3,0.025163761340081692,200
fuseki,100M,F2,wikidata,P,04,3,0.12662562169134617,200
fuseki,100M,F2,wikidata,P,05,3,0.1813110401853919,200
fuseki,100M,F2,wikidata,P,06,3,0.16695152875036,200
fuseki,100M,F2,wikidata,P,07,3,0.20358303375542164,200
fuseki,100M,F2,wikidata,P,08,3,0.20651093032211065,200
fuseki,100M,F2,wikidata,P,09,3,0.13563970290124416,200
fuseki,100M,F2,wikidata,P,00,4,0.17736290767788887,200
fuseki,100M,F2,wikidata,P,01,4,0.20179734285920858,200
fuseki,100M,F2,wikidata,P,02,4,0.13045248296111822,200
fuseki,100M,F2,wikidata,P,03,4,0.027431380935013294,200
fuseki,100M,F2,wikidata,P,04,4,0.1438109539449215,200
fuseki,100M,F2,wikidata,P,05,4,0.23486763332039118,200
fuseki,100M,F2,wikidata,P,06,4,0.18219932448118925,200
fuseki,100M,F2,wikidata,P,07,4,0.19979323726147413,200
fuseki,100M,F2,wikidata,P,08,4,0.19308304321020842,200
fuseki,100M,F2,wikidata,P,09,4,0.16471995320171118,200
fuseki,100M,F2,wikidata,P,00,5,0.23325540870428085,200
fuseki,100M,F2,wikidata,P,01,5,0.23368311766535044,200
fuseki,100M,F2,wikidata,P,02,5,0.13468085136264563,200
fuseki,100M,F2,wikidata,P,03,5,0.029347486793994904,200
fuseki,100M,F2,wikidata,P,04,5,0.16121240239590406,200
fuseki,100M,F2,wikidata,P,05,5,0.2147975219413638,200
fuseki,100M,F2,wikidata,P,06,5,0.1588293556123972,200
fuseki,100M,F2,wikidata,P,07,5,0.18940535001456738,200
fuseki,100M,F2,wikidata,P,08,5,0.18199107702821493,200
fuseki,100M,F2,wikidata,P,09,5,0.16708298958837986,200
