engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,F3,namedgraphs,R,00,1,299.999557,000
fuseki,100M,F3,namedgraphs,R,01,1,300.000443,000
fuseki,100M,F3,namedgraphs,R,02,1,300.001087,000
fuseki,100M,F3,namedgraphs,R,03,1,300.001073,000
fuseki,100M,F3,namedgraphs,R,04,1,300.000430,000
fuseki,100M,F3,namedgraphs,R,05,1,299.999788,000
fuseki,100M,F3,namedgraphs,R,06,1,300.001078,000
fuseki,100M,F3,namedgraphs,R,07,1,299.999684,000
fuseki,100M,F3,namedgraphs,R,08,1,300.000186,000
fuseki,100M,F3,namedgraphs,R,09,1,300.000859,000
