engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,F3,wikidata,B,00,1,0.09039392415434122,200
fuseki,100M,F3,wikidata,B,01,1,0.11223488673567772,200
fuseki,100M,F3,wikidata,B,02,1,0.09305844269692898,200
fuseki,100M,F3,wikidata,B,03,1,0.06588206347078085,200
fuseki,100M,F3,wikidata,B,04,1,0.08518449496477842,200
fuseki,100M,F3,wikidata,B,05,1,0.16695804242044687,200
fuseki,100M,F3,wikidata,B,06,1,0.10883407946676016,200
fuseki,100M,F3,wikidata,B,07,1,0.04322428070008755,200
fuseki,100M,F3,wikidata,B,08,1,0.1308157555758953,200
fuseki,100M,F3,wikidata,B,09,1,0.08094997331500053,200
fuseki,100M,F3,wikidata,B,00,2,0.10402465425431728,200
fuseki,100M,F3,wikidata,B,01,2,0.08067886345088482,200
fuseki,100M,F3,wikidata,B,02,2,0.11403768789023161,200
fuseki,100M,F3,wikidata,B,03,2,0.05663765035569668,200
fuseki,100M,F3,wikidata,B,04,2,0.08151025138795376,200
fuseki,100M,F3,wikidata,B,05,2,0.12215016409754753,200
fuseki,100M,F3,wikidata,B,06,2,0.11805938463658094,200
fuseki,100M,F3,wikidata,B,07,2,0.04157505836337805,200
fuseki,100M,F3,wikidata,B,08,2,0.14761679619550705,200
fuseki,100M,F3,wikidata,B,09,2,0.08632274251431227,200
fuseki,100M,F3,wikidata,B,00,3,0.1126971086487174,200
fuseki,100M,F3,wikidata,B,01,3,0.11751343496143818,200
fuseki,100M,F3,wikidata,B,02,3,0.09262682683765888,200
fuseki,100M,F3,wikidata,B,03,3,0.06579818297177553,200
fuseki,100M,F3,wikidata,B,04,3,0.09676546603441238,200
fuseki,100M,F3,wikidata,B,05,3,0.11325325630605221,200
fuseki,100M,F3,wikidata,B,06,3,0.08108376618474722,200
fuseki,100M,F3,wikidata,B,07,3,0.03564504813402891,200
fuseki,100M,F3,wikidata,B,08,3,0.12652678228914738,200
fuseki,100M,F3,wikidata,B,09,3,0.08518573641777039,200
fuseki,100M,F3,wikidata,B,00,4,0.112945013679564,200
fuseki,100M,F3,wikidata,B,01,4,0.10895730089396238,200
fuseki,100M,F3,wikidata,B,02,4,0.0821205722168088,200
fuseki,100M,F3,wikidata,B,03,4,0.06266124546527863,200
fuseki,100M,F3,wikidata,B,04,4,0.0866170460358262,200
fuseki,100M,F3,wikidata,B,05,4,0.12340856716036797,200
fuseki,100M,F3,wikidata,B,06,4,0.08082315325737,200
fuseki,100M,F3,wikidata,B,07,4,0.046181658282876015,200
fuseki,100M,F3,wikidata,B,08,4,0.1240098811686039,200
fuseki,100M,F3,wikidata,B,09,4,0.08121409080922604,200
fuseki,100M,F3,wikidata,B,00,5,0.09180472418665886,200
fuseki,100M,F3,wikidata,B,01,5,0.0840016407892108,200
fuseki,100M,F3,wikidata,B,02,5,0.09025651309639215,200
fuseki,100M,F3,wikidata,B,03,5,0.07382007874548435,200
fuseki,100M,F3,wikidata,B,04,5,0.10223511420190334,200
fuseki,100M,F3,wikidata,B,05,5,0.15626058354973793,200
fuseki,100M,F3,wikidata,B,06,5,0.0926985302940011,200
fuseki,100M,F3,wikidata,B,07,5,0.0356835313141346,200
fuseki,100M,F3,wikidata,B,08,5,0.10852372087538242,200
fuseki,100M,F3,wikidata,B,09,5,0.07504919823259115,200
