engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,F4,namedgraphs,P,00,1,1.2604091726243496,200
fuseki,100M,F4,namedgraphs,P,01,1,1.2529146149754524,200
fuseki,100M,F4,namedgraphs,P,02,1,1.2576985508203506,200
fuseki,100M,F4,namedgraphs,P,03,1,1.2221040278673172,200
fuseki,100M,F4,namedgraphs,P,04,1,1.278556203469634,200
fuseki,100M,F4,namedgraphs,P,05,1,1.2344296174123883,200
fuseki,100M,F4,namedgraphs,P,06,1,1.3648473350331187,200
fuseki,100M,F4,namedgraphs,P,07,1,1.5614959234371781,200
fuseki,100M,F4,namedgraphs,P,08,1,1.582095431163907,200
fuseki,100M,F4,namedgraphs,P,09,1,1.3317175228148699,200
fuseki,100M,F4,namedgraphs,P,00,2,1.3293420607224107,200
fuseki,100M,F4,namedgraphs,P,01,2,1.2336145285516977,200
fuseki,100M,F4,namedgraphs,P,02,2,1.2331002000719309,200
fuseki,100M,F4,namedgraphs,P,03,2,1.2065270245075226,200
fuseki,100M,F4,namedgraphs,P,04,2,1.252741388976574,200
fuseki,100M,F4,namedgraphs,P,05,2,1.2449351837858558,200
fuseki,100M,F4,namedgraphs,P,06,2,1.4079212043434381,200
fuseki,100M,F4,namedgraphs,P,07,2,1.2077994449064136,200
fuseki,100M,F4,namedgraphs,P,08,2,1.4019621834158897,200
fuseki,100M,F4,namedgraphs,P,09,2,1.5953040961176157,200
fuseki,100M,F4,namedgraphs,P,00,3,1.2713244818150997,200
fuseki,100M,F4,namedgraphs,P,01,3,1.2233454287052155,200
fuseki,100M,F4,namedgraphs,P,02,3,1.2302857208997011,200
fuseki,100M,F4,namedgraphs,P,03,3,1.2077578669413924,200
fuseki,100M,F4,namedgraphs,P,04,3,1.202229417860508,200
fuseki,100M,F4,namedgraphs,P,05,3,1.182634936645627,200
fuseki,100M,F4,namedgraphs,P,06,3,1.2293999204412103,200
fuseki,100M,F4,namedgraphs,P,07,3,1.2104923445731401,200
fuseki,100M,F4,namedgraphs,P,08,3,1.1785661224275827,200
fuseki,100M,F4,namedgraphs,P,09,3,1.2171267801895738,200
fuseki,100M,F4,namedgraphs,P,00,4,1.1870798114687204,200
fuseki,100M,F4,namedgraphs,P,01,4,1.1882058456540108,200
fuseki,100M,F4,namedgraphs,P,02,4,1.1716797817498446,200
fuseki,100M,F4,namedgraphs,P,03,4,1.1686017364263535,200
fuseki,100M,F4,namedgraphs,P,04,4,1.200211021117866,200
fuseki,100M,F4,namedgraphs,P,05,4,1.4002967225387692,200
fuseki,100M,F4,namedgraphs,P,06,4,1.318856912665069,200
fuseki,100M,F4,namedgraphs,P,07,4,1.2072512609884143,200
fuseki,100M,F4,namedgraphs,P,08,4,1.2233886504545808,200
fuseki,100M,F4,namedgraphs,P,09,4,1.236931687220931,200
fuseki,100M,F4,namedgraphs,P,00,5,1.3290499486029148,200
fuseki,100M,F4,namedgraphs,P,01,5,1.2813515262678266,200
fuseki,100M,F4,namedgraphs,P,02,5,1.3486812096089125,200
fuseki,100M,F4,namedgraphs,P,03,5,1.197626305744052,200
fuseki,100M,F4,namedgraphs,P,04,5,1.1994789894670248,200
fuseki,100M,F4,namedgraphs,P,05,5,1.2529446920379996,200
fuseki,100M,F4,namedgraphs,P,06,5,1.2340813903138041,200
fuseki,100M,F4,namedgraphs,P,07,5,1.2492633676156402,200
fuseki,100M,F4,namedgraphs,P,08,5,1.1870438531041145,200
fuseki,100M,F4,namedgraphs,P,09,5,1.183732115663588,200
