engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,F4,rdf,B,00,1,0.055505,200
fuseki,100M,F4,rdf,B,01,1,0.045223,200
fuseki,100M,F4,rdf,B,02,1,0.051283,200
fuseki,100M,F4,rdf,B,03,1,0.053282,200
fuseki,100M,F4,rdf,B,04,1,0.052653,200
fuseki,100M,F4,rdf,B,05,1,0.055410,200
fuseki,100M,F4,rdf,B,06,1,0.072881,200
fuseki,100M,F4,rdf,B,07,1,0.047756,200
fuseki,100M,F4,rdf,B,08,1,0.044981,200
fuseki,100M,F4,rdf,B,09,1,0.043159,200
fuseki,100M,F4,rdf,B,00,2,0.044717,200
fuseki,100M,F4,rdf,B,01,2,0.047687,200
fuseki,100M,F4,rdf,B,02,2,0.059297,200
fuseki,100M,F4,rdf,B,03,2,0.046449,200
fuseki,100M,F4,rdf,B,04,2,0.063049,200
fuseki,100M,F4,rdf,B,05,2,0.065813,200
fuseki,100M,F4,rdf,B,06,2,0.045525,200
fuseki,100M,F4,rdf,B,07,2,0.040877,200
fuseki,100M,F4,rdf,B,08,2,0.051658,200
fuseki,100M,F4,rdf,B,09,2,0.044987,200
fuseki,100M,F4,rdf,B,00,3,0.042862,200
fuseki,100M,F4,rdf,B,01,3,0.047685,200
fuseki,100M,F4,rdf,B,02,3,0.057264,200
fuseki,100M,F4,rdf,B,03,3,0.065598,200
fuseki,100M,F4,rdf,B,04,3,0.059140,200
fuseki,100M,F4,rdf,B,05,3,0.078715,200
fuseki,100M,F4,rdf,B,06,3,0.062245,200
fuseki,100M,F4,rdf,B,07,3,0.061774,200
fuseki,100M,F4,rdf,B,08,3,0.049325,200
fuseki,100M,F4,rdf,B,09,3,0.049708,200
fuseki,100M,F4,rdf,B,00,4,0.053082,200
fuseki,100M,F4,rdf,B,01,4,0.070612,200
fuseki,100M,F4,rdf,B,02,4,0.056501,200
fuseki,100M,F4,rdf,B,03,4,0.055308,200
fuseki,100M,F4,rdf,B,04,4,0.069328,200
fuseki,100M,F4,rdf,B,05,4,0.072940,200
fuseki,100M,F4,rdf,B,06,4,0.072647,200
fuseki,100M,F4,rdf,B,07,4,0.056898,200
fuseki,100M,F4,rdf,B,08,4,0.064336,200
fuseki,100M,F4,rdf,B,09,4,0.065109,200
fuseki,100M,F4,rdf,B,00,5,0.075728,200
fuseki,100M,F4,rdf,B,01,5,0.069613,200
fuseki,100M,F4,rdf,B,02,5,0.050173,200
fuseki,100M,F4,rdf,B,03,5,0.062375,200
fuseki,100M,F4,rdf,B,04,5,0.052493,200
fuseki,100M,F4,rdf,B,05,5,0.050144,200
fuseki,100M,F4,rdf,B,06,5,0.042527,200
fuseki,100M,F4,rdf,B,07,5,0.048357,200
fuseki,100M,F4,rdf,B,08,5,0.045646,200
fuseki,100M,F4,rdf,B,09,5,0.044042,200
