engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,L3,namedgraphs,B,00,1,0.011490,200
fuseki,100M,L3,namedgraphs,B,01,1,0.012367,200
fuseki,100M,L3,namedgraphs,B,02,1,0.014829,200
fuseki,100M,L3,namedgraphs,B,03,1,0.010505,200
fuseki,100M,L3,namedgraphs,B,04,1,0.008964,200
fuseki,100M,L3,namedgraphs,B,05,1,0.010819,200
fuseki,100M,L3,namedgraphs,B,06,1,0.009819,200
fuseki,100M,L3,namedgraphs,B,07,1,0.015721,200
fuseki,100M,L3,namedgraphs,B,08,1,0.009955,200
fuseki,100M,L3,namedgraphs,B,09,1,0.011278,200
fuseki,100M,L3,namedgraphs,B,00,2,0.009984,200
fuseki,100M,L3,namedgraphs,B,01,2,0.012699,200
fuseki,100M,L3,namedgraphs,B,02,2,0.012887,200
fuseki,100M,L3,namedgraphs,B,03,2,0.012516,200
fuseki,100M,L3,namedgraphs,B,04,2,0.009899,200
fuseki,100M,L3,namedgraphs,B,05,2,0.010782,200
fuseki,100M,L3,namedgraphs,B,06,2,0.009532,200
fuseki,100M,L3,namedgraphs,B,07,2,0.008531,200
fuseki,100M,L3,namedgraphs,B,08,2,0.012751,200
fuseki,100M,L3,namedgraphs,B,09,2,0.009928,200
fuseki,100M,L3,namedgraphs,B,00,3,0.009019,200
fuseki,100M,L3,namedgraphs,B,01,3,0.009985,200
fuseki,100M,L3,namedgraphs,B,02,3,0.012524,200
fuseki,100M,L3,namedgraphs,B,03,3,0.009717,200
fuseki,100M,L3,namedgraphs,B,04,3,0.008635,200
fuseki,100M,L3,namedgraphs,B,05,3,0.012023,200
fuseki,100M,L3,namedgraphs,B,06,3,0.009100,200
fuseki,100M,L3,namedgraphs,B,07,3,0.009398,200
fuseki,100M,L3,namedgraphs,B,08,3,0.009843,200
fuseki,100M,L3,namedgraphs,B,09,3,0.009698,200
fuseki,100M,L3,namedgraphs,B,00,4,0.008389,200
fuseki,100M,L3,namedgraphs,B,01,4,0.008358,200
fuseki,100M,L3,namedgraphs,B,02,4,0.016738,200
fuseki,100M,L3,namedgraphs,B,03,4,0.009929,200
fuseki,100M,L3,namedgraphs,B,04,4,0.011026,200
fuseki,100M,L3,namedgraphs,B,05,4,0.009507,200
fuseki,100M,L3,namedgraphs,B,06,4,0.011138,200
fuseki,100M,L3,namedgraphs,B,07,4,0.008467,200
fuseki,100M,L3,namedgraphs,B,08,4,0.008929,200
fuseki,100M,L3,namedgraphs,B,09,4,0.008356,200
fuseki,100M,L3,namedgraphs,B,00,5,0.012192,200
fuseki,100M,L3,namedgraphs,B,01,5,0.010821,200
fuseki,100M,L3,namedgraphs,B,02,5,0.008698,200
fuseki,100M,L3,namedgraphs,B,03,5,0.008112,200
fuseki,100M,L3,namedgraphs,B,04,5,0.008129,200
fuseki,100M,L3,namedgraphs,B,05,5,0.008615,200
fuseki,100M,L3,namedgraphs,B,06,5,0.009284,200
fuseki,100M,L3,namedgraphs,B,07,5,0.013656,200
fuseki,100M,L3,namedgraphs,B,08,5,0.008204,200
fuseki,100M,L3,namedgraphs,B,09,5,0.008178,200
