engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,L3,namedgraphs,R,00,1,3.3864653950440697,200
fuseki,100M,L3,namedgraphs,R,01,1,3.469215752033051,200
fuseki,100M,L3,namedgraphs,R,02,1,3.1754587219911627,200
fuseki,100M,L3,namedgraphs,R,03,1,3.2506108040106483,200
fuseki,100M,L3,namedgraphs,R,04,1,3.2178564189816825,200
fuseki,100M,L3,namedgraphs,R,05,1,3.5757292170310393,200
fuseki,100M,L3,namedgraphs,R,06,1,3.1325157720129937,200
fuseki,100M,L3,namedgraphs,R,07,1,3.2280166249838658,200
fuseki,100M,L3,namedgraphs,R,08,1,3.7801421190379187,200
fuseki,100M,L3,namedgraphs,R,09,1,3.19509495398961,200
fuseki,100M,L3,namedgraphs,R,00,2,3.6468642589752562,200
fuseki,100M,L3,namedgraphs,R,01,2,3.1222635549493134,200
fuseki,100M,L3,namedgraphs,R,02,2,3.140650566027034,200
fuseki,100M,L3,namedgraphs,R,03,2,3.63354527001502,200
fuseki,100M,L3,namedgraphs,R,04,2,3.127239084977191,200
fuseki,100M,L3,namedgraphs,R,05,2,3.153718415007461,200
fuseki,100M,L3,namedgraphs,R,06,2,3.3347038120264187,200
fuseki,100M,L3,namedgraphs,R,07,2,3.471495634992607,200
fuseki,100M,L3,namedgraphs,R,08,2,3.0930849779979326,200
fuseki,100M,L3,namedgraphs,R,09,2,3.447118464973755,200
fuseki,100M,L3,namedgraphs,R,00,3,3.402281906979624,200
fuseki,100M,L3,namedgraphs,R,01,3,3.1094652530155145,200
fuseki,100M,L3,namedgraphs,R,02,3,3.1794685049680993,200
fuseki,100M,L3,namedgraphs,R,03,3,3.644340977014508,200
fuseki,100M,L3,namedgraphs,R,04,3,3.145794724987354,200
fuseki,100M,L3,namedgraphs,R,05,3,3.1096725910319947,200
fuseki,100M,L3,namedgraphs,R,06,3,3.195169818995055,200
fuseki,100M,L3,namedgraphs,R,07,3,3.0841014710022137,200
fuseki,100M,L3,namedgraphs,R,08,3,3.3419615169987082,200
fuseki,100M,L3,namedgraphs,R,09,3,3.3790843469905667,200
fuseki,100M,L3,namedgraphs,R,00,4,3.2771872730227187,200
fuseki,100M,L3,namedgraphs,R,01,4,3.140252358978614,200
fuseki,100M,L3,namedgraphs,R,02,4,3.213749398011714,200
fuseki,100M,L3,namedgraphs,R,03,4,3.3040732180234045,200
fuseki,100M,L3,namedgraphs,R,04,4,3.1428804619936273,200
fuseki,100M,L3,namedgraphs,R,05,4,3.090639011003077,200
fuseki,100M,L3,namedgraphs,R,06,4,3.206767299969215,200
fuseki,100M,L3,namedgraphs,R,07,4,3.061567861994263,200
fuseki,100M,L3,namedgraphs,R,08,4,3.079560259007849,200
fuseki,100M,L3,namedgraphs,R,09,4,3.1404833080014214,200
fuseki,100M,L3,namedgraphs,R,00,5,3.145507621986326,200
fuseki,100M,L3,namedgraphs,R,01,5,3.1290263640112244,200
fuseki,100M,L3,namedgraphs,R,02,5,3.132980177993886,200
fuseki,100M,L3,namedgraphs,R,03,5,3.146759130002465,200
fuseki,100M,L3,namedgraphs,R,04,5,3.681997223990038,200
fuseki,100M,L3,namedgraphs,R,05,5,3.1355841060285456,200
fuseki,100M,L3,namedgraphs,R,06,5,3.1610713750123978,200
fuseki,100M,L3,namedgraphs,R,07,5,3.0666082000243478,200
fuseki,100M,L3,namedgraphs,R,08,5,3.1162465100060217,200
fuseki,100M,L3,namedgraphs,R,09,5,3.131466227991041,200
