engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,L3,rdf,P,00,1,266.839705210994,200
fuseki,100M,L3,rdf,P,01,1,268.1047660400218,200
fuseki,100M,L3,rdf,P,02,1,268.54081514000427,200
fuseki,100M,L3,rdf,P,03,1,270.37476921698544,200
fuseki,100M,L3,rdf,P,04,1,272.4944267910032,200
fuseki,100M,L3,rdf,P,05,1,271.65137957202387,200
fuseki,100M,L3,rdf,P,06,1,272.24820945301326,200
fuseki,100M,L3,rdf,P,07,1,273.4106603199907,200
fuseki,100M,L3,rdf,P,08,1,270.070540523011,200
fuseki,100M,L3,rdf,P,09,1,273.69263322401093,200
fuseki,100M,L3,rdf,P,00,2,271.5311273149855,200
fuseki,100M,L3,rdf,P,01,2,271.36790368898073,200
fuseki,100M,L3,rdf,P,02,2,271.20819719397696,200
fuseki,100M,L3,rdf,P,03,2,268.8316976799979,200
fuseki,100M,L3,rdf,P,04,2,270.1396183409961,200
fuseki,100M,L3,rdf,P,05,2,268.6105454880162,200
fuseki,100M,L3,rdf,P,06,2,270.2139147249982,200
fuseki,100M,L3,rdf,P,07,2,267.8860073630058,200
fuseki,100M,L3,rdf,P,08,2,272.9398431449954,200
fuseki,100M,L3,rdf,P,09,2,274.0071584369871,200
fuseki,100M,L3,rdf,P,00,3,273.20945429900894,200
fuseki,100M,L3,rdf,P,01,3,273.5121137590031,200
fuseki,100M,L3,rdf,P,02,3,271.9484346669924,200
fuseki,100M,L3,rdf,P,03,3,272.55094555797405,200
fuseki,100M,L3,rdf,P,04,3,274.25284434700734,200
fuseki,100M,L3,rdf,P,05,3,274.40877407902735,200
fuseki,100M,L3,rdf,P,06,3,275.9453885850089,200
fuseki,100M,L3,rdf,P,07,3,271.69158278699615,200
fuseki,100M,L3,rdf,P,08,3,269.86337247799383,200
fuseki,100M,L3,rdf,P,09,3,272.14921531200525,200
fuseki,100M,L3,rdf,P,00,4,272.568940304016,200
fuseki,100M,L3,rdf,P,01,4,271.55957377000595,200
fuseki,100M,L3,rdf,P,02,4,269.8876483349886,200
fuseki,100M,L3,rdf,P,03,4,271.0680937390134,200
fuseki,100M,L3,rdf,P,04,4,268.77043367299484,200
fuseki,100M,L3,rdf,P,05,4,273.4613947280159,200
fuseki,100M,L3,rdf,P,06,4,271.0464750219835,200
fuseki,100M,L3,rdf,P,07,4,267.21850176001317,200
fuseki,100M,L3,rdf,P,08,4,268.77788481797324,200
fuseki,100M,L3,rdf,P,09,4,270.94575953498133,200
fuseki,100M,L3,rdf,P,00,5,273.23059766500955,200
fuseki,100M,L3,rdf,P,01,5,272.52817582301213,200
fuseki,100M,L3,rdf,P,02,5,269.39398910000455,200
fuseki,100M,L3,rdf,P,03,5,268.4692324170028,200
fuseki,100M,L3,rdf,P,04,5,271.1000171400083,200
fuseki,100M,L3,rdf,P,05,5,273.83568913000636,200
fuseki,100M,L3,rdf,P,06,5,271.52673600800335,200
fuseki,100M,L3,rdf,P,07,5,273.9999250760011,200
fuseki,100M,L3,rdf,P,08,5,275.4586088260112,200
fuseki,100M,L3,rdf,P,09,5,276.891795212985,200
