engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,L4,namedgraphs,P,00,1,0.09500811994075775,200
fuseki,100M,L4,namedgraphs,P,01,1,0.09110758546739817,200
fuseki,100M,L4,namedgraphs,P,02,1,0.0800052797421813,200
fuseki,100M,L4,namedgraphs,P,03,1,0.08354491274803877,200
fuseki,100M,L4,namedgraphs,P,04,1,0.09763308055698872,200
fuseki,100M,L4,namedgraphs,P,05,1,0.0725383386015892,200
fuseki,100M,L4,namedgraphs,P,06,1,0.08060529176145792,200
fuseki,100M,L4,namedgraphs,P,07,1,0.07400519400835037,200
fuseki,100M,L4,namedgraphs,P,08,1,0.0806827861815691,200
fuseki,100M,L4,namedgraphs,P,09,1,0.08964036870747805,200
fuseki,100M,L4,namedgraphs,P,00,2,0.07788243610411882,200
fuseki,100M,L4,namedgraphs,P,01,2,0.07655862998217344,200
fuseki,100M,L4,namedgraphs,P,02,2,0.0781642273068428,200
fuseki,100M,L4,namedgraphs,P,03,2,0.07341959979385138,200
fuseki,100M,L4,namedgraphs,P,04,2,0.09283521305769682,200
fuseki,100M,L4,namedgraphs,P,05,2,0.09974540304392576,200
fuseki,100M,L4,namedgraphs,P,06,2,0.11298930831253529,200
fuseki,100M,L4,namedgraphs,P,07,2,0.07517321594059467,200
fuseki,100M,L4,namedgraphs,P,08,2,0.0734897330403328,200
fuseki,100M,L4,namedgraphs,P,09,2,0.07611767668277025,200
fuseki,100M,L4,namedgraphs,P,00,3,0.07490495126694441,200
fuseki,100M,L4,namedgraphs,P,01,3,0.08428324572741985,200
fuseki,100M,L4,namedgraphs,P,02,3,0.08743209391832352,200
fuseki,100M,L4,namedgraphs,P,03,3,0.08849585894495249,200
fuseki,100M,L4,namedgraphs,P,04,3,0.08161141816526651,200
fuseki,100M,L4,namedgraphs,P,05,3,0.09121565893292427,200
fuseki,100M,L4,namedgraphs,P,06,3,0.09286200255155563,200
fuseki,100M,L4,namedgraphs,P,07,3,0.09144537150859833,200
fuseki,100M,L4,namedgraphs,P,08,3,0.07537684962153435,200
fuseki,100M,L4,namedgraphs,P,09,3,0.07270463090389967,200
fuseki,100M,L4,namedgraphs,P,00,4,0.07932086754590273,200
fuseki,100M,L4,namedgraphs,P,01,4,0.07658132165670395,200
fuseki,100M,L4,namedgraphs,P,02,4,0.07183886878192425,200
fuseki,100M,L4,namedgraphs,P,03,4,0.06784461624920368,200
fuseki,100M,L4,namedgraphs,P,04,4,0.07515753712505102,200
fuseki,100M,L4,namedgraphs,P,05,4,0.07529919408261776,200
fuseki,100M,L4,namedgraphs,P,06,4,0.08396129962056875,200
fuseki,100M,L4,namedgraphs,P,07,4,0.07715626619756222,200
fuseki,100M,L4,namedgraphs,P,08,4,0.07588016055524349,200
fuseki,100M,L4,namedgraphs,P,09,4,0.08957701921463013,200
fuseki,100M,L4,namedgraphs,P,00,5,0.09884108789265156,200
fuseki,100M,L4,namedgraphs,P,01,5,0.09762387257069349,200
fuseki,100M,L4,namedgraphs,P,02,5,0.09515553805977106,200
fuseki,100M,L4,namedgraphs,P,03,5,0.09477352816611528,200
fuseki,100M,L4,namedgraphs,P,04,5,0.070573422126472,200
fuseki,100M,L4,namedgraphs,P,05,5,0.08133237063884735,200
fuseki,100M,L4,namedgraphs,P,06,5,0.07769183535128832,200
fuseki,100M,L4,namedgraphs,P,07,5,0.0724263172596693,200
fuseki,100M,L4,namedgraphs,P,08,5,0.07299602031707764,200
fuseki,100M,L4,namedgraphs,P,09,5,0.07385021168738604,200
