engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,L4,rdf,B,00,1,0.0547475703060627,200
fuseki,100M,L4,rdf,B,01,1,0.044888284988701344,200
fuseki,100M,L4,rdf,B,02,1,0.048697035759687424,200
fuseki,100M,L4,rdf,B,03,1,0.06245073489844799,200
fuseki,100M,L4,rdf,B,04,1,0.05094302538782358,200
fuseki,100M,L4,rdf,B,05,1,0.04434310458600521,200
fuseki,100M,L4,rdf,B,06,1,0.04396066348999739,200
fuseki,100M,L4,rdf,B,07,1,0.0543250422924757,200
fuseki,100M,L4,rdf,B,08,1,0.04919810127466917,200
fuseki,100M,L4,rdf,B,09,1,0.04359019361436367,200
fuseki,100M,L4,rdf,B,00,2,0.0650971494615078,200
fuseki,100M,L4,rdf,B,01,2,0.04279942996799946,200
fuseki,100M,L4,rdf,B,02,2,0.042691304348409176,200
fuseki,100M,L4,rdf,B,03,2,0.04200389701873064,200
fuseki,100M,L4,rdf,B,04,2,0.04455112665891647,200
fuseki,100M,L4,rdf,B,05,2,0.04457438085228205,200
fuseki,100M,L4,rdf,B,06,2,0.04534400347620249,200
fuseki,100M,L4,rdf,B,07,2,0.05318136140704155,200
fuseki,100M,L4,rdf,B,08,2,0.06795610580593348,200
fuseki,100M,L4,rdf,B,09,2,0.04294996336102486,200
fuseki,100M,L4,rdf,B,00,3,0.04788137320429087,200
fuseki,100M,L4,rdf,B,01,3,0.04593868646770716,200
fuseki,100M,L4,rdf,B,02,3,0.043888033367693424,200
fuseki,100M,L4,rdf,B,03,3,0.04265036713331938,200
fuseki,100M,L4,rdf,B,04,3,0.04400397278368473,200
fuseki,100M,L4,rdf,B,05,3,0.04444093722850084,200
fuseki,100M,L4,rdf,B,06,3,0.05368944816291332,200
fuseki,100M,L4,rdf,B,07,3,0.07559124007821083,200
fuseki,100M,L4,rdf,B,08,3,0.04535321891307831,200
fuseki,100M,L4,rdf,B,09,3,0.05175878293812275,200
fuseki,100M,L4,rdf,B,00,4,0.04746721964329481,200
fuseki,100M,L4,rdf,B,01,4,0.04515292029827833,200
fuseki,100M,L4,rdf,B,02,4,0.04761141166090965,200
fuseki,100M,L4,rdf,B,03,4,0.05048106983304024,200
fuseki,100M,L4,rdf,B,04,4,0.04454697668552399,200
fuseki,100M,L4,rdf,B,05,4,0.04771711118519306,200
fuseki,100M,L4,rdf,B,06,4,0.046820067800581455,200
fuseki,100M,L4,rdf,B,07,4,0.04511463735252619,200
fuseki,100M,L4,rdf,B,08,4,0.054401800967752934,200
fuseki,100M,L4,rdf,B,09,4,0.055039044469594955,200
fuseki,100M,L4,rdf,B,00,5,0.08807114977389574,200
fuseki,100M,L4,rdf,B,01,5,0.04473986942321062,200
fuseki,100M,L4,rdf,B,02,5,0.04181825276464224,200
fuseki,100M,L4,rdf,B,03,5,0.04757250752300024,200
fuseki,100M,L4,rdf,B,04,5,0.0548088988289237,200
fuseki,100M,L4,rdf,B,05,5,0.04911418724805117,200
fuseki,100M,L4,rdf,B,06,5,0.05817982368171215,200
fuseki,100M,L4,rdf,B,07,5,0.04871727805584669,200
fuseki,100M,L4,rdf,B,08,5,0.05702734738588333,200
fuseki,100M,L4,rdf,B,09,5,0.06029519625008106,200
