engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,L4,wikidata,B,00,1,0.05613750498741865,200
fuseki,100M,L4,wikidata,B,01,1,0.05898738373070955,200
fuseki,100M,L4,wikidata,B,02,1,0.05977699253708124,200
fuseki,100M,L4,wikidata,B,03,1,0.0655284458771348,200
fuseki,100M,L4,wikidata,B,04,1,0.04847782105207443,200
fuseki,100M,L4,wikidata,B,05,1,0.04481539037078619,200
fuseki,100M,L4,wikidata,B,06,1,0.043314636684954166,200
fuseki,100M,L4,wikidata,B,07,1,0.05234914645552635,200
fuseki,100M,L4,wikidata,B,08,1,0.05232013016939163,200
fuseki,100M,L4,wikidata,B,09,1,0.05369813088327646,200
fuseki,100M,L4,wikidata,B,00,2,0.06240180600434542,200
fuseki,100M,L4,wikidata,B,01,2,0.04482986591756344,200
fuseki,100M,L4,wikidata,B,02,2,0.04069562442600727,200
fuseki,100M,L4,wikidata,B,03,2,0.043429674580693245,200
fuseki,100M,L4,wikidata,B,04,2,0.04273874964565039,200
fuseki,100M,L4,wikidata,B,05,2,0.043468767777085304,200
fuseki,100M,L4,wikidata,B,06,2,0.04219229891896248,200
fuseki,100M,L4,wikidata,B,07,2,0.04887037072330713,200
fuseki,100M,L4,wikidata,B,08,2,0.07623469922691584,200
fuseki,100M,L4,wikidata,B,09,2,0.04237936157733202,200
fuseki,100M,L4,wikidata,B,00,3,0.04297968465834856,200
fuseki,100M,L4,wikidata,B,01,3,0.04716429114341736,200
fuseki,100M,L4,wikidata,B,02,3,0.04178597126156092,200
fuseki,100M,L4,wikidata,B,03,3,0.03985197190195322,200
fuseki,100M,L4,wikidata,B,04,3,0.040734908543527126,200
fuseki,100M,L4,wikidata,B,05,3,0.03987158928066492,200
fuseki,100M,L4,wikidata,B,06,3,0.04366055969148874,200
fuseki,100M,L4,wikidata,B,07,3,0.05198224261403084,200
fuseki,100M,L4,wikidata,B,08,3,0.062235030345618725,200
fuseki,100M,L4,wikidata,B,09,3,0.04274252709001303,200
fuseki,100M,L4,wikidata,B,00,4,0.04527387395501137,200
fuseki,100M,L4,wikidata,B,01,4,0.04724408220499754,200
fuseki,100M,L4,wikidata,B,02,4,0.04104782920330763,200
fuseki,100M,L4,wikidata,B,03,4,0.04030175041407347,200
fuseki,100M,L4,wikidata,B,04,4,0.048134260810911655,200
fuseki,100M,L4,wikidata,B,05,4,0.0421930905431509,200
fuseki,100M,L4,wikidata,B,06,4,0.040792507119476795,200
fuseki,100M,L4,wikidata,B,07,4,0.04113843943923712,200
fuseki,100M,L4,wikidata,B,08,4,0.04808390699326992,200
fuseki,100M,L4,wikidata,B,09,4,0.05018703453242779,200
fuseki,100M,L4,wikidata,B,00,5,0.05168267711997032,200
fuseki,100M,L4,wikidata,B,01,5,0.06736775580793619,200
fuseki,100M,L4,wikidata,B,02,5,0.04048219043761492,200
fuseki,100M,L4,wikidata,B,03,5,0.04412395320832729,200
fuseki,100M,L4,wikidata,B,04,5,0.04132951982319355,200
fuseki,100M,L4,wikidata,B,05,5,0.04668429400771856,200
fuseki,100M,L4,wikidata,B,06,5,0.044193643145263195,200
fuseki,100M,L4,wikidata,B,07,5,0.048864759504795074,200
fuseki,100M,L4,wikidata,B,08,5,0.04508012719452381,200
fuseki,100M,L4,wikidata,B,09,5,0.052961139008402824,200
