engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,O1,namedgraphs,P,00,1,0.018720,200
fuseki,100M,O1,namedgraphs,P,01,1,0.020352,200
fuseki,100M,O1,namedgraphs,P,02,1,0.019110,200
fuseki,100M,O1,namedgraphs,P,03,1,0.022409,200
fuseki,100M,O1,namedgraphs,P,04,1,0.021447,200
fuseki,100M,O1,namedgraphs,P,05,1,0.017112,200
fuseki,100M,O1,namedgraphs,P,06,1,0.024336,200
fuseki,100M,O1,namedgraphs,P,07,1,0.017184,200
fuseki,100M,O1,namedgraphs,P,08,1,0.063131,200
fuseki,100M,O1,namedgraphs,P,09,1,0.016369,200
fuseki,100M,O1,namedgraphs,P,00,2,0.016602,200
fuseki,100M,O1,namedgraphs,P,01,2,0.013557,200
fuseki,100M,O1,namedgraphs,P,02,2,0.022414,200
fuseki,100M,O1,namedgraphs,P,03,2,0.016595,200
fuseki,100M,O1,namedgraphs,P,04,2,0.017895,200
fuseki,100M,O1,namedgraphs,P,05,2,0.015801,200
fuseki,100M,O1,namedgraphs,P,06,2,0.014466,200
fuseki,100M,O1,namedgraphs,P,07,2,0.018948,200
fuseki,100M,O1,namedgraphs,P,08,2,0.025427,200
fuseki,100M,O1,namedgraphs,P,09,2,0.018265,200
fuseki,100M,O1,namedgraphs,P,00,3,0.019624,200
fuseki,100M,O1,namedgraphs,P,01,3,0.019351,200
fuseki,100M,O1,namedgraphs,P,02,3,0.015456,200
fuseki,100M,O1,namedgraphs,P,03,3,0.014452,200
fuseki,100M,O1,namedgraphs,P,04,3,0.021810,200
fuseki,100M,O1,namedgraphs,P,05,3,0.014549,200
fuseki,100M,O1,namedgraphs,P,06,3,0.015150,200
fuseki,100M,O1,namedgraphs,P,07,3,0.014756,200
fuseki,100M,O1,namedgraphs,P,08,3,0.021731,200
fuseki,100M,O1,namedgraphs,P,09,3,0.012926,200
fuseki,100M,O1,namedgraphs,P,00,4,0.014097,200
fuseki,100M,O1,namedgraphs,P,01,4,0.012382,200
fuseki,100M,O1,namedgraphs,P,02,4,0.014673,200
fuseki,100M,O1,namedgraphs,P,03,4,0.019027,200
fuseki,100M,O1,namedgraphs,P,04,4,0.014183,200
fuseki,100M,O1,namedgraphs,P,05,4,0.017081,200
fuseki,100M,O1,namedgraphs,P,06,4,0.019197,200
fuseki,100M,O1,namedgraphs,P,07,4,0.022792,200
fuseki,100M,O1,namedgraphs,P,08,4,0.021581,200
fuseki,100M,O1,namedgraphs,P,09,4,0.012880,200
fuseki,100M,O1,namedgraphs,P,00,5,0.016186,200
fuseki,100M,O1,namedgraphs,P,01,5,0.016945,200
fuseki,100M,O1,namedgraphs,P,02,5,0.013495,200
fuseki,100M,O1,namedgraphs,P,03,5,0.012974,200
fuseki,100M,O1,namedgraphs,P,04,5,0.019934,200
fuseki,100M,O1,namedgraphs,P,05,5,0.018453,200
fuseki,100M,O1,namedgraphs,P,06,5,0.014072,200
fuseki,100M,O1,namedgraphs,P,07,5,0.015237,200
fuseki,100M,O1,namedgraphs,P,08,5,0.019428,200
fuseki,100M,O1,namedgraphs,P,09,5,0.012923,200
