engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,O1,wikidata,R,00,1,0.013101,200
fuseki,100M,O1,wikidata,R,01,1,0.013550,200
fuseki,100M,O1,wikidata,R,02,1,0.013678,200
fuseki,100M,O1,wikidata,R,03,1,0.012888,200
fuseki,100M,O1,wikidata,R,04,1,0.014644,200
fuseki,100M,O1,wikidata,R,05,1,0.012679,200
fuseki,100M,O1,wikidata,R,06,1,0.016848,200
fuseki,100M,O1,wikidata,R,07,1,0.016672,200
fuseki,100M,O1,wikidata,R,08,1,0.014696,200
fuseki,100M,O1,wikidata,R,09,1,0.012358,200
fuseki,100M,O1,wikidata,R,00,2,0.012370,200
fuseki,100M,O1,wikidata,R,01,2,0.010111,200
fuseki,100M,O1,wikidata,R,02,2,0.011919,200
fuseki,100M,O1,wikidata,R,03,2,0.013514,200
fuseki,100M,O1,wikidata,R,04,2,0.013590,200
fuseki,100M,O1,wikidata,R,05,2,0.010126,200
fuseki,100M,O1,wikidata,R,06,2,0.010340,200
fuseki,100M,O1,wikidata,R,07,2,0.010336,200
fuseki,100M,O1,wikidata,R,08,2,0.012074,200
fuseki,100M,O1,wikidata,R,09,2,0.044758,200
fuseki,100M,O1,wikidata,R,00,3,0.009807,200
fuseki,100M,O1,wikidata,R,01,3,0.010739,200
fuseki,100M,O1,wikidata,R,02,3,0.010391,200
fuseki,100M,O1,wikidata,R,03,3,0.009610,200
fuseki,100M,O1,wikidata,R,04,3,0.012242,200
fuseki,100M,O1,wikidata,R,05,3,0.009421,200
fuseki,100M,O1,wikidata,R,06,3,0.009762,200
fuseki,100M,O1,wikidata,R,07,3,0.009554,200
fuseki,100M,O1,wikidata,R,08,3,0.011629,200
fuseki,100M,O1,wikidata,R,09,3,0.009026,200
fuseki,100M,O1,wikidata,R,00,4,0.009181,200
fuseki,100M,O1,wikidata,R,01,4,0.008715,200
fuseki,100M,O1,wikidata,R,02,4,0.010534,200
fuseki,100M,O1,wikidata,R,03,4,0.010511,200
fuseki,100M,O1,wikidata,R,04,4,0.011499,200
fuseki,100M,O1,wikidata,R,05,4,0.010461,200
fuseki,100M,O1,wikidata,R,06,4,0.010177,200
fuseki,100M,O1,wikidata,R,07,4,0.009482,200
fuseki,100M,O1,wikidata,R,08,4,0.011343,200
fuseki,100M,O1,wikidata,R,09,4,0.008329,200
fuseki,100M,O1,wikidata,R,00,5,0.009217,200
fuseki,100M,O1,wikidata,R,01,5,0.014853,200
fuseki,100M,O1,wikidata,R,02,5,0.012047,200
fuseki,100M,O1,wikidata,R,03,5,0.008729,200
fuseki,100M,O1,wikidata,R,04,5,0.009661,200
fuseki,100M,O1,wikidata,R,05,5,0.008970,200
fuseki,100M,O1,wikidata,R,06,5,0.013955,200
fuseki,100M,O1,wikidata,R,07,5,0.009960,200
fuseki,100M,O1,wikidata,R,08,5,0.010288,200
fuseki,100M,O1,wikidata,R,09,5,0.008270,200
