engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,O2,namedgraphs,B,00,1,1.071493,200
fuseki,100M,O2,namedgraphs,B,01,1,2.324833,200
fuseki,100M,O2,namedgraphs,B,02,1,1.624329,200
fuseki,100M,O2,namedgraphs,B,03,1,1.809819,200
fuseki,100M,O2,namedgraphs,B,04,1,1.454037,200
fuseki,100M,O2,namedgraphs,B,05,1,0.404119,200
fuseki,100M,O2,namedgraphs,B,06,1,1.946549,200
fuseki,100M,O2,namedgraphs,B,07,1,1.696555,200
fuseki,100M,O2,namedgraphs,B,08,1,1.375275,200
fuseki,100M,O2,namedgraphs,B,09,1,0.542036,200
