engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,O2,namedgraphs,R,00,1,0.013427,200
fuseki,100M,O2,namedgraphs,R,01,1,0.013222,200
fuseki,100M,O2,namedgraphs,R,02,1,0.014760,200
fuseki,100M,O2,namedgraphs,R,03,1,0.012176,200
fuseki,100M,O2,namedgraphs,R,04,1,0.015344,200
fuseki,100M,O2,namedgraphs,R,05,1,0.011712,200
fuseki,100M,O2,namedgraphs,R,06,1,0.012052,200
fuseki,100M,O2,namedgraphs,R,07,1,0.019001,200
fuseki,100M,O2,namedgraphs,R,08,1,0.014143,200
fuseki,100M,O2,namedgraphs,R,09,1,0.014902,200
fuseki,100M,O2,namedgraphs,R,00,2,0.009404,200
fuseki,100M,O2,namedgraphs,R,01,2,0.010761,200
fuseki,100M,O2,namedgraphs,R,02,2,0.010955,200
fuseki,100M,O2,namedgraphs,R,03,2,0.013548,200
fuseki,100M,O2,namedgraphs,R,04,2,0.010076,200
fuseki,100M,O2,namedgraphs,R,05,2,0.011418,200
fuseki,100M,O2,namedgraphs,R,06,2,0.010432,200
fuseki,100M,O2,namedgraphs,R,07,2,0.010338,200
fuseki,100M,O2,namedgraphs,R,08,2,0.009800,200
fuseki,100M,O2,namedgraphs,R,09,2,0.010445,200
fuseki,100M,O2,namedgraphs,R,00,3,0.009319,200
fuseki,100M,O2,namedgraphs,R,01,3,0.010267,200
fuseki,100M,O2,namedgraphs,R,02,3,0.009203,200
fuseki,100M,O2,namedgraphs,R,03,3,0.009794,200
fuseki,100M,O2,namedgraphs,R,04,3,0.009840,200
fuseki,100M,O2,namedgraphs,R,05,3,0.010884,200
fuseki,100M,O2,namedgraphs,R,06,3,0.009596,200
fuseki,100M,O2,namedgraphs,R,07,3,0.009286,200
fuseki,100M,O2,namedgraphs,R,08,3,0.010247,200
fuseki,100M,O2,namedgraphs,R,09,3,0.010127,200
fuseki,100M,O2,namedgraphs,R,00,4,0.009887,200
fuseki,100M,O2,namedgraphs,R,01,4,0.009319,200
fuseki,100M,O2,namedgraphs,R,02,4,0.012845,200
fuseki,100M,O2,namedgraphs,R,03,4,0.009261,200
fuseki,100M,O2,namedgraphs,R,04,4,0.013450,200
fuseki,100M,O2,namedgraphs,R,05,4,0.009850,200
fuseki,100M,O2,namedgraphs,R,06,4,0.010980,200
fuseki,100M,O2,namedgraphs,R,07,4,0.008820,200
fuseki,100M,O2,namedgraphs,R,08,4,0.009837,200
fuseki,100M,O2,namedgraphs,R,09,4,0.009528,200
fuseki,100M,O2,namedgraphs,R,00,5,0.008784,200
fuseki,100M,O2,namedgraphs,R,01,5,0.016196,200
fuseki,100M,O2,namedgraphs,R,02,5,0.009166,200
fuseki,100M,O2,namedgraphs,R,03,5,0.009022,200
fuseki,100M,O2,namedgraphs,R,04,5,0.008842,200
fuseki,100M,O2,namedgraphs,R,05,5,0.009535,200
fuseki,100M,O2,namedgraphs,R,06,5,0.008931,200
fuseki,100M,O2,namedgraphs,R,07,5,0.008843,200
fuseki,100M,O2,namedgraphs,R,08,5,0.008452,200
fuseki,100M,O2,namedgraphs,R,09,5,0.008378,200
