engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,O2,rdf,B,00,1,0.014635,200
fuseki,100M,O2,rdf,B,01,1,0.020514,200
fuseki,100M,O2,rdf,B,02,1,0.014689,200
fuseki,100M,O2,rdf,B,03,1,0.012341,200
fuseki,100M,O2,rdf,B,04,1,0.012303,200
fuseki,100M,O2,rdf,B,05,1,0.015312,200
fuseki,100M,O2,rdf,B,06,1,0.011915,200
fuseki,100M,O2,rdf,B,07,1,0.017421,200
fuseki,100M,O2,rdf,B,08,1,0.011311,200
fuseki,100M,O2,rdf,B,09,1,0.011060,200
fuseki,100M,O2,rdf,B,00,2,0.012722,200
fuseki,100M,O2,rdf,B,01,2,0.009264,200
fuseki,100M,O2,rdf,B,02,2,0.010654,200
fuseki,100M,O2,rdf,B,03,2,0.010807,200
fuseki,100M,O2,rdf,B,04,2,0.010807,200
fuseki,100M,O2,rdf,B,05,2,0.011504,200
fuseki,100M,O2,rdf,B,06,2,0.010093,200
fuseki,100M,O2,rdf,B,07,2,0.010241,200
fuseki,100M,O2,rdf,B,08,2,0.009069,200
fuseki,100M,O2,rdf,B,09,2,0.010242,200
fuseki,100M,O2,rdf,B,00,3,0.010041,200
fuseki,100M,O2,rdf,B,01,3,0.010443,200
fuseki,100M,O2,rdf,B,02,3,0.010964,200
fuseki,100M,O2,rdf,B,03,3,0.011893,200
fuseki,100M,O2,rdf,B,04,3,0.010112,200
fuseki,100M,O2,rdf,B,05,3,0.009439,200
fuseki,100M,O2,rdf,B,06,3,0.009934,200
fuseki,100M,O2,rdf,B,07,3,0.010424,200
fuseki,100M,O2,rdf,B,08,3,0.010066,200
fuseki,100M,O2,rdf,B,09,3,0.011080,200
fuseki,100M,O2,rdf,B,00,4,0.009638,200
fuseki,100M,O2,rdf,B,01,4,0.008839,200
fuseki,100M,O2,rdf,B,02,4,0.010358,200
fuseki,100M,O2,rdf,B,03,4,0.009960,200
fuseki,100M,O2,rdf,B,04,4,0.012812,200
fuseki,100M,O2,rdf,B,05,4,0.010416,200
fuseki,100M,O2,rdf,B,06,4,0.010252,200
fuseki,100M,O2,rdf,B,07,4,0.009978,200
fuseki,100M,O2,rdf,B,08,4,0.009192,200
fuseki,100M,O2,rdf,B,09,4,0.009799,200
fuseki,100M,O2,rdf,B,00,5,0.011483,200
fuseki,100M,O2,rdf,B,01,5,0.013855,200
fuseki,100M,O2,rdf,B,02,5,0.009249,200
fuseki,100M,O2,rdf,B,03,5,0.008926,200
fuseki,100M,O2,rdf,B,04,5,0.008061,200
fuseki,100M,O2,rdf,B,05,5,0.009102,200
fuseki,100M,O2,rdf,B,06,5,0.012089,200
fuseki,100M,O2,rdf,B,07,5,0.009060,200
fuseki,100M,O2,rdf,B,08,5,0.009698,200
fuseki,100M,O2,rdf,B,09,5,0.008759,200
