engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,O2,rdf,R,00,1,4.297319,200
fuseki,100M,O2,rdf,R,01,1,4.040948,200
fuseki,100M,O2,rdf,R,02,1,4.226182,200
fuseki,100M,O2,rdf,R,03,1,4.429981,200
fuseki,100M,O2,rdf,R,04,1,3.946074,200
fuseki,100M,O2,rdf,R,05,1,3.924065,200
fuseki,100M,O2,rdf,R,06,1,3.969295,200
fuseki,100M,O2,rdf,R,07,1,4.209926,200
fuseki,100M,O2,rdf,R,08,1,3.792668,200
fuseki,100M,O2,rdf,R,09,1,3.780489,200
fuseki,100M,O2,rdf,R,00,2,4.271158,200
fuseki,100M,O2,rdf,R,01,2,4.131820,200
fuseki,100M,O2,rdf,R,02,2,3.828162,200
fuseki,100M,O2,rdf,R,03,2,3.755671,200
fuseki,100M,O2,rdf,R,04,2,3.706373,200
fuseki,100M,O2,rdf,R,05,2,3.756556,200
fuseki,100M,O2,rdf,R,06,2,4.589287,200
fuseki,100M,O2,rdf,R,07,2,3.767635,200
fuseki,100M,O2,rdf,R,08,2,3.753176,200
fuseki,100M,O2,rdf,R,09,2,3.716803,200
fuseki,100M,O2,rdf,R,00,3,4.309204,200
fuseki,100M,O2,rdf,R,01,3,3.710092,200
fuseki,100M,O2,rdf,R,02,3,3.686217,200
fuseki,100M,O2,rdf,R,03,3,3.971424,200
fuseki,100M,O2,rdf,R,04,3,4.136437,200
fuseki,100M,O2,rdf,R,05,3,3.665413,200
fuseki,100M,O2,rdf,R,06,3,3.675821,200
fuseki,100M,O2,rdf,R,07,3,3.905881,200
fuseki,100M,O2,rdf,R,08,3,3.689306,200
fuseki,100M,O2,rdf,R,09,3,4.116533,200
fuseki,100M,O2,rdf,R,00,4,3.571397,200
fuseki,100M,O2,rdf,R,01,4,3.777508,200
fuseki,100M,O2,rdf,R,02,4,3.599430,200
fuseki,100M,O2,rdf,R,03,4,3.860895,200
fuseki,100M,O2,rdf,R,04,4,4.018802,200
fuseki,100M,O2,rdf,R,05,4,3.709194,200
fuseki,100M,O2,rdf,R,06,4,3.649328,200
fuseki,100M,O2,rdf,R,07,4,3.617642,200
fuseki,100M,O2,rdf,R,08,4,3.644834,200
fuseki,100M,O2,rdf,R,09,4,3.670073,200
fuseki,100M,O2,rdf,R,00,5,3.628206,200
fuseki,100M,O2,rdf,R,01,5,3.606111,200
fuseki,100M,O2,rdf,R,02,5,3.623122,200
fuseki,100M,O2,rdf,R,03,5,3.691380,200
fuseki,100M,O2,rdf,R,04,5,3.647054,200
fuseki,100M,O2,rdf,R,05,5,3.622061,200
fuseki,100M,O2,rdf,R,06,5,3.681277,200
fuseki,100M,O2,rdf,R,07,5,3.945520,200
fuseki,100M,O2,rdf,R,08,5,4.056365,200
fuseki,100M,O2,rdf,R,09,5,3.601516,200
