engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,O2,wikidata,B,00,1,0.017339,200
fuseki,100M,O2,wikidata,B,01,1,0.012954,200
fuseki,100M,O2,wikidata,B,02,1,0.012861,200
fuseki,100M,O2,wikidata,B,03,1,0.010854,200
fuseki,100M,O2,wikidata,B,04,1,0.010456,200
fuseki,100M,O2,wikidata,B,05,1,0.010257,200
fuseki,100M,O2,wikidata,B,06,1,0.009179,200
fuseki,100M,O2,wikidata,B,07,1,0.016841,200
fuseki,100M,O2,wikidata,B,08,1,0.011220,200
fuseki,100M,O2,wikidata,B,09,1,0.009750,200
fuseki,100M,O2,wikidata,B,00,2,0.009437,200
fuseki,100M,O2,wikidata,B,01,2,0.009670,200
fuseki,100M,O2,wikidata,B,02,2,0.009215,200
fuseki,100M,O2,wikidata,B,03,2,0.010824,200
fuseki,100M,O2,wikidata,B,04,2,0.010528,200
fuseki,100M,O2,wikidata,B,05,2,0.009125,200
fuseki,100M,O2,wikidata,B,06,2,0.012343,200
fuseki,100M,O2,wikidata,B,07,2,0.008979,200
fuseki,100M,O2,wikidata,B,08,2,0.010126,200
fuseki,100M,O2,wikidata,B,09,2,0.009133,200
fuseki,100M,O2,wikidata,B,00,3,0.008190,200
fuseki,100M,O2,wikidata,B,01,3,0.008222,200
fuseki,100M,O2,wikidata,B,02,3,0.008190,200
fuseki,100M,O2,wikidata,B,03,3,0.008875,200
fuseki,100M,O2,wikidata,B,04,3,0.008907,200
fuseki,100M,O2,wikidata,B,05,3,0.009540,200
fuseki,100M,O2,wikidata,B,06,3,0.011230,200
fuseki,100M,O2,wikidata,B,07,3,0.008753,200
fuseki,100M,O2,wikidata,B,08,3,0.009473,200
fuseki,100M,O2,wikidata,B,09,3,0.009227,200
fuseki,100M,O2,wikidata,B,00,4,0.009099,200
fuseki,100M,O2,wikidata,B,01,4,0.010047,200
fuseki,100M,O2,wikidata,B,02,4,0.010962,200
fuseki,100M,O2,wikidata,B,03,4,0.008298,200
fuseki,100M,O2,wikidata,B,04,4,0.007602,200
fuseki,100M,O2,wikidata,B,05,4,0.009779,200
fuseki,100M,O2,wikidata,B,06,4,0.008673,200
fuseki,100M,O2,wikidata,B,07,4,0.009765,200
fuseki,100M,O2,wikidata,B,08,4,0.009602,200
fuseki,100M,O2,wikidata,B,09,4,0.009466,200
fuseki,100M,O2,wikidata,B,00,5,0.008221,200
fuseki,100M,O2,wikidata,B,01,5,0.016069,200
fuseki,100M,O2,wikidata,B,02,5,0.007884,200
fuseki,100M,O2,wikidata,B,03,5,0.008510,200
fuseki,100M,O2,wikidata,B,04,5,0.007813,200
fuseki,100M,O2,wikidata,B,05,5,0.007913,200
fuseki,100M,O2,wikidata,B,06,5,0.007355,200
fuseki,100M,O2,wikidata,B,07,5,0.007424,200
fuseki,100M,O2,wikidata,B,08,5,0.008902,200
fuseki,100M,O2,wikidata,B,09,5,0.007665,200
