engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,O2,wikidata,P,00,1,0.027312,200
fuseki,100M,O2,wikidata,P,01,1,0.029279,200
fuseki,100M,O2,wikidata,P,02,1,0.029174,200
fuseki,100M,O2,wikidata,P,03,1,0.021517,200
fuseki,100M,O2,wikidata,P,04,1,0.027844,200
fuseki,100M,O2,wikidata,P,05,1,0.028100,200
fuseki,100M,O2,wikidata,P,06,1,0.016525,200
fuseki,100M,O2,wikidata,P,07,1,0.018980,200
fuseki,100M,O2,wikidata,P,08,1,0.022551,200
fuseki,100M,O2,wikidata,P,09,1,0.024604,200
fuseki,100M,O2,wikidata,P,00,2,0.014818,200
fuseki,100M,O2,wikidata,P,01,2,0.023888,200
fuseki,100M,O2,wikidata,P,02,2,0.018651,200
fuseki,100M,O2,wikidata,P,03,2,0.015826,200
fuseki,100M,O2,wikidata,P,04,2,0.029035,200
fuseki,100M,O2,wikidata,P,05,2,0.025043,200
fuseki,100M,O2,wikidata,P,06,2,0.014380,200
fuseki,100M,O2,wikidata,P,07,2,0.015872,200
fuseki,100M,O2,wikidata,P,08,2,0.018251,200
fuseki,100M,O2,wikidata,P,09,2,0.018344,200
fuseki,100M,O2,wikidata,P,00,3,0.020033,200
fuseki,100M,O2,wikidata,P,01,3,0.029632,200
fuseki,100M,O2,wikidata,P,02,3,0.052331,200
fuseki,100M,O2,wikidata,P,03,3,0.013979,200
fuseki,100M,O2,wikidata,P,04,3,0.013884,200
fuseki,100M,O2,wikidata,P,05,3,0.020974,200
fuseki,100M,O2,wikidata,P,06,3,0.012868,200
fuseki,100M,O2,wikidata,P,07,3,0.019600,200
fuseki,100M,O2,wikidata,P,08,3,0.015217,200
fuseki,100M,O2,wikidata,P,09,3,0.015265,200
fuseki,100M,O2,wikidata,P,00,4,0.012494,200
fuseki,100M,O2,wikidata,P,01,4,0.019237,200
fuseki,100M,O2,wikidata,P,02,4,0.015412,200
fuseki,100M,O2,wikidata,P,03,4,0.012956,200
fuseki,100M,O2,wikidata,P,04,4,0.015410,200
fuseki,100M,O2,wikidata,P,05,4,0.025285,200
fuseki,100M,O2,wikidata,P,06,4,0.013049,200
fuseki,100M,O2,wikidata,P,07,4,0.015782,200
fuseki,100M,O2,wikidata,P,08,4,0.014188,200
fuseki,100M,O2,wikidata,P,09,4,0.027798,200
fuseki,100M,O2,wikidata,P,00,5,0.012237,200
fuseki,100M,O2,wikidata,P,01,5,0.018491,200
fuseki,100M,O2,wikidata,P,02,5,0.014464,200
fuseki,100M,O2,wikidata,P,03,5,0.011030,200
fuseki,100M,O2,wikidata,P,04,5,0.013293,200
fuseki,100M,O2,wikidata,P,05,5,0.019221,200
fuseki,100M,O2,wikidata,P,06,5,0.010838,200
fuseki,100M,O2,wikidata,P,07,5,0.012405,200
fuseki,100M,O2,wikidata,P,08,5,0.012385,200
fuseki,100M,O2,wikidata,P,09,5,0.013593,200
