engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,O4,rdf,P,00,1,6.093704,200
fuseki,100M,O4,rdf,P,01,1,34.202192,200
fuseki,100M,O4,rdf,P,02,1,32.448005,200
fuseki,100M,O4,rdf,P,03,1,18.901829,200
fuseki,100M,O4,rdf,P,04,1,5.003371,200
fuseki,100M,O4,rdf,P,05,1,11.827163,200
fuseki,100M,O4,rdf,P,06,1,33.924427,200
fuseki,100M,O4,rdf,P,07,1,32.572694,200
fuseki,100M,O4,rdf,P,08,1,32.901960,200
fuseki,100M,O4,rdf,P,09,1,17.978713,200
fuseki,100M,O4,rdf,P,00,2,5.946060,200
fuseki,100M,O4,rdf,P,01,2,32.395628,200
fuseki,100M,O4,rdf,P,02,2,32.494678,200
fuseki,100M,O4,rdf,P,03,2,16.855307,200
fuseki,100M,O4,rdf,P,04,2,5.761403,200
fuseki,100M,O4,rdf,P,05,2,12.353163,200
fuseki,100M,O4,rdf,P,06,2,33.542217,200
fuseki,100M,O4,rdf,P,07,2,32.293222,200
fuseki,100M,O4,rdf,P,08,2,32.852730,200
fuseki,100M,O4,rdf,P,09,2,17.398592,200
fuseki,100M,O4,rdf,P,00,3,6.574799,200
fuseki,100M,O4,rdf,P,01,3,32.597044,200
fuseki,100M,O4,rdf,P,02,3,32.583977,200
fuseki,100M,O4,rdf,P,03,3,17.869344,200
fuseki,100M,O4,rdf,P,04,3,4.888840,200
fuseki,100M,O4,rdf,P,05,3,11.789785,200
fuseki,100M,O4,rdf,P,06,3,33.048758,200
fuseki,100M,O4,rdf,P,07,3,34.707490,200
fuseki,100M,O4,rdf,P,08,3,32.838940,200
fuseki,100M,O4,rdf,P,09,3,17.295839,200
fuseki,100M,O4,rdf,P,00,4,5.934363,200
fuseki,100M,O4,rdf,P,01,4,32.735928,200
fuseki,100M,O4,rdf,P,02,4,34.334787,200
fuseki,100M,O4,rdf,P,03,4,16.968358,200
fuseki,100M,O4,rdf,P,04,4,4.965985,200
fuseki,100M,O4,rdf,P,05,4,11.848304,200
fuseki,100M,O4,rdf,P,06,4,33.091645,200
fuseki,100M,O4,rdf,P,07,4,32.979580,200
fuseki,100M,O4,rdf,P,08,4,32.445725,200
fuseki,100M,O4,rdf,P,09,4,17.196837,200
fuseki,100M,O4,rdf,P,00,5,5.874934,200
fuseki,100M,O4,rdf,P,01,5,32.534821,200
fuseki,100M,O4,rdf,P,02,5,32.688605,200
fuseki,100M,O4,rdf,P,03,5,17.802359,200
fuseki,100M,O4,rdf,P,04,5,4.832776,200
fuseki,100M,O4,rdf,P,05,5,11.723359,200
fuseki,100M,O4,rdf,P,06,5,32.988955,200
fuseki,100M,O4,rdf,P,07,5,32.742618,200
fuseki,100M,O4,rdf,P,08,5,33.286464,200
fuseki,100M,O4,rdf,P,09,5,17.168940,200
