engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,S1,namedgraphs,R,00,1,3.023697,200
fuseki,100M,S1,namedgraphs,R,01,1,3.677675,200
fuseki,100M,S1,namedgraphs,R,02,1,3.075165,200
fuseki,100M,S1,namedgraphs,R,03,1,3.271825,200
fuseki,100M,S1,namedgraphs,R,04,1,3.487281,200
fuseki,100M,S1,namedgraphs,R,05,1,2.779708,200
fuseki,100M,S1,namedgraphs,R,06,1,3.595870,200
fuseki,100M,S1,namedgraphs,R,07,1,3.878046,200
fuseki,100M,S1,namedgraphs,R,08,1,2.879073,200
fuseki,100M,S1,namedgraphs,R,09,1,3.664739,200
fuseki,100M,S1,namedgraphs,R,00,2,3.096523,200
fuseki,100M,S1,namedgraphs,R,01,2,3.125675,200
fuseki,100M,S1,namedgraphs,R,02,2,2.958942,200
fuseki,100M,S1,namedgraphs,R,03,2,3.475219,200
fuseki,100M,S1,namedgraphs,R,04,2,3.120990,200
fuseki,100M,S1,namedgraphs,R,05,2,3.715339,200
fuseki,100M,S1,namedgraphs,R,06,2,3.058667,200
fuseki,100M,S1,namedgraphs,R,07,2,3.072518,200
fuseki,100M,S1,namedgraphs,R,08,2,3.032959,200
fuseki,100M,S1,namedgraphs,R,09,2,3.040474,200
fuseki,100M,S1,namedgraphs,R,00,3,3.063035,200
fuseki,100M,S1,namedgraphs,R,01,3,3.170394,200
fuseki,100M,S1,namedgraphs,R,02,3,3.125751,200
fuseki,100M,S1,namedgraphs,R,03,3,3.197593,200
fuseki,100M,S1,namedgraphs,R,04,3,3.228224,200
fuseki,100M,S1,namedgraphs,R,05,3,3.077560,200
fuseki,100M,S1,namedgraphs,R,06,3,3.068122,200
fuseki,100M,S1,namedgraphs,R,07,3,3.054051,200
fuseki,100M,S1,namedgraphs,R,08,3,3.021598,200
fuseki,100M,S1,namedgraphs,R,09,3,3.253357,200
fuseki,100M,S1,namedgraphs,R,00,4,3.018990,200
fuseki,100M,S1,namedgraphs,R,01,4,3.078480,200
fuseki,100M,S1,namedgraphs,R,02,4,3.276326,200
fuseki,100M,S1,namedgraphs,R,03,4,3.046793,200
fuseki,100M,S1,namedgraphs,R,04,4,3.050478,200
fuseki,100M,S1,namedgraphs,R,05,4,2.992967,200
fuseki,100M,S1,namedgraphs,R,06,4,3.056686,200
fuseki,100M,S1,namedgraphs,R,07,4,3.039222,200
fuseki,100M,S1,namedgraphs,R,08,4,3.103983,200
fuseki,100M,S1,namedgraphs,R,09,4,2.877740,200
fuseki,100M,S1,namedgraphs,R,00,5,3.117939,200
fuseki,100M,S1,namedgraphs,R,01,5,3.489289,200
fuseki,100M,S1,namedgraphs,R,02,5,3.199158,200
fuseki,100M,S1,namedgraphs,R,03,5,3.093337,200
fuseki,100M,S1,namedgraphs,R,04,5,3.123504,200
fuseki,100M,S1,namedgraphs,R,05,5,3.005509,200
fuseki,100M,S1,namedgraphs,R,06,5,3.082835,200
fuseki,100M,S1,namedgraphs,R,07,5,3.059802,200
fuseki,100M,S1,namedgraphs,R,08,5,2.791958,200
fuseki,100M,S1,namedgraphs,R,09,5,2.672840,200
