engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,S2,rdf,R,00,1,97.185999,200
fuseki,100M,S2,rdf,R,01,1,94.613773,200
fuseki,100M,S2,rdf,R,02,1,93.964352,200
fuseki,100M,S2,rdf,R,03,1,97.532479,200
fuseki,100M,S2,rdf,R,04,1,95.291731,200
fuseki,100M,S2,rdf,R,05,1,95.432546,200
fuseki,100M,S2,rdf,R,06,1,96.388282,200
fuseki,100M,S2,rdf,R,07,1,97.188445,200
fuseki,100M,S2,rdf,R,08,1,96.063476,200
fuseki,100M,S2,rdf,R,09,1,97.036841,200
fuseki,100M,S2,rdf,R,00,2,93.426112,200
fuseki,100M,S2,rdf,R,01,2,93.997628,200
fuseki,100M,S2,rdf,R,02,2,91.952075,200
fuseki,100M,S2,rdf,R,03,2,96.336534,200
fuseki,100M,S2,rdf,R,04,2,96.007423,200
fuseki,100M,S2,rdf,R,05,2,94.705245,200
fuseki,100M,S2,rdf,R,06,2,96.941608,200
fuseki,100M,S2,rdf,R,07,2,94.910398,200
fuseki,100M,S2,rdf,R,08,2,93.674582,200
fuseki,100M,S2,rdf,R,09,2,95.491069,200
fuseki,100M,S2,rdf,R,00,3,95.935172,200
fuseki,100M,S2,rdf,R,01,3,95.078970,200
fuseki,100M,S2,rdf,R,02,3,92.778306,200
fuseki,100M,S2,rdf,R,03,3,95.817357,200
fuseki,100M,S2,rdf,R,04,3,96.594432,200
fuseki,100M,S2,rdf,R,05,3,96.770243,200
fuseki,100M,S2,rdf,R,06,3,96.433502,200
fuseki,100M,S2,rdf,R,07,3,97.680384,200
fuseki,100M,S2,rdf,R,08,3,94.368212,200
fuseki,100M,S2,rdf,R,09,3,95.160047,200
fuseki,100M,S2,rdf,R,00,4,94.452066,200
fuseki,100M,S2,rdf,R,01,4,94.201636,200
fuseki,100M,S2,rdf,R,02,4,95.352439,200
fuseki,100M,S2,rdf,R,03,4,94.756952,200
fuseki,100M,S2,rdf,R,04,4,97.714890,200
fuseki,100M,S2,rdf,R,05,4,94.655226,200
fuseki,100M,S2,rdf,R,06,4,96.664589,200
fuseki,100M,S2,rdf,R,07,4,95.573360,200
fuseki,100M,S2,rdf,R,08,4,93.348600,200
fuseki,100M,S2,rdf,R,09,4,94.336385,200
fuseki,100M,S2,rdf,R,00,5,96.324405,200
fuseki,100M,S2,rdf,R,01,5,95.790061,200
fuseki,100M,S2,rdf,R,02,5,96.538208,200
fuseki,100M,S2,rdf,R,03,5,95.205720,200
fuseki,100M,S2,rdf,R,04,5,95.217431,200
fuseki,100M,S2,rdf,R,05,5,94.723259,200
fuseki,100M,S2,rdf,R,06,5,97.334601,200
fuseki,100M,S2,rdf,R,07,5,94.889104,200
fuseki,100M,S2,rdf,R,08,5,93.635373,200
fuseki,100M,S2,rdf,R,09,5,96.627770,200
