engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,S4,rdf,B,00,1,0.545736,200
fuseki,100M,S4,rdf,B,01,1,0.629432,200
fuseki,100M,S4,rdf,B,02,1,0.653938,200
fuseki,100M,S4,rdf,B,03,1,0.579890,200
fuseki,100M,S4,rdf,B,04,1,0.756865,200
fuseki,100M,S4,rdf,B,05,1,0.455229,200
fuseki,100M,S4,rdf,B,06,1,0.460645,200
fuseki,100M,S4,rdf,B,07,1,0.210116,200
fuseki,100M,S4,rdf,B,08,1,0.567072,200
fuseki,100M,S4,rdf,B,09,1,0.470820,200
fuseki,100M,S4,rdf,B,00,2,0.572534,200
fuseki,100M,S4,rdf,B,01,2,0.843589,200
fuseki,100M,S4,rdf,B,02,2,0.656986,200
fuseki,100M,S4,rdf,B,03,2,0.672333,200
fuseki,100M,S4,rdf,B,04,2,0.618318,200
fuseki,100M,S4,rdf,B,05,2,0.349543,200
fuseki,100M,S4,rdf,B,06,2,0.350424,200
fuseki,100M,S4,rdf,B,07,2,0.154796,200
fuseki,100M,S4,rdf,B,08,2,0.632604,200
fuseki,100M,S4,rdf,B,09,2,0.350867,200
fuseki,100M,S4,rdf,B,00,3,0.519990,200
fuseki,100M,S4,rdf,B,01,3,0.585060,200
fuseki,100M,S4,rdf,B,02,3,0.603239,200
fuseki,100M,S4,rdf,B,03,3,0.521656,200
fuseki,100M,S4,rdf,B,04,3,0.526635,200
fuseki,100M,S4,rdf,B,05,3,0.396603,200
fuseki,100M,S4,rdf,B,06,3,0.439811,200
fuseki,100M,S4,rdf,B,07,3,0.198604,200
fuseki,100M,S4,rdf,B,08,3,0.576367,200
fuseki,100M,S4,rdf,B,09,3,0.417931,200
fuseki,100M,S4,rdf,B,00,4,0.785122,200
fuseki,100M,S4,rdf,B,01,4,0.631405,200
fuseki,100M,S4,rdf,B,02,4,0.651976,200
fuseki,100M,S4,rdf,B,03,4,0.603488,200
fuseki,100M,S4,rdf,B,04,4,0.565755,200
fuseki,100M,S4,rdf,B,05,4,0.413967,200
fuseki,100M,S4,rdf,B,06,4,0.394009,200
fuseki,100M,S4,rdf,B,07,4,0.190991,200
fuseki,100M,S4,rdf,B,08,4,0.592502,200
fuseki,100M,S4,rdf,B,09,4,0.360948,200
fuseki,100M,S4,rdf,B,00,5,0.579453,200
fuseki,100M,S4,rdf,B,01,5,0.587674,200
fuseki,100M,S4,rdf,B,02,5,0.833873,200
fuseki,100M,S4,rdf,B,03,5,0.683485,200
fuseki,100M,S4,rdf,B,04,5,0.663927,200
fuseki,100M,S4,rdf,B,05,5,0.379946,200
fuseki,100M,S4,rdf,B,06,5,0.368325,200
fuseki,100M,S4,rdf,B,07,5,0.175987,200
fuseki,100M,S4,rdf,B,08,5,0.608763,200
fuseki,100M,S4,rdf,B,09,5,0.369453,200
