engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,S4,wikidata,P,00,1,1.595697,200
fuseki,100M,S4,wikidata,P,01,1,1.682442,200
fuseki,100M,S4,wikidata,P,02,1,1.750226,200
fuseki,100M,S4,wikidata,P,03,1,1.982640,200
fuseki,100M,S4,wikidata,P,04,1,1.902427,200
fuseki,100M,S4,wikidata,P,05,1,1.199359,200
fuseki,100M,S4,wikidata,P,06,1,1.179403,200
fuseki,100M,S4,wikidata,P,07,1,0.538636,200
fuseki,100M,S4,wikidata,P,08,1,1.820570,200
fuseki,100M,S4,wikidata,P,09,1,1.541087,200
fuseki,100M,S4,wikidata,P,00,2,1.903566,200
fuseki,100M,S4,wikidata,P,01,2,1.898610,200
fuseki,100M,S4,wikidata,P,02,2,2.614975,200
fuseki,100M,S4,wikidata,P,03,2,2.020469,200
fuseki,100M,S4,wikidata,P,04,2,1.838228,200
fuseki,100M,S4,wikidata,P,05,2,1.483764,200
fuseki,100M,S4,wikidata,P,06,2,1.164188,200
fuseki,100M,S4,wikidata,P,07,2,0.519902,200
fuseki,100M,S4,wikidata,P,08,2,1.531059,200
fuseki,100M,S4,wikidata,P,09,2,1.158815,200
fuseki,100M,S4,wikidata,P,00,3,1.818985,200
fuseki,100M,S4,wikidata,P,01,3,2.275766,200
fuseki,100M,S4,wikidata,P,02,3,2.039991,200
fuseki,100M,S4,wikidata,P,03,3,1.663053,200
fuseki,100M,S4,wikidata,P,04,3,1.770387,200
fuseki,100M,S4,wikidata,P,05,3,1.304616,200
fuseki,100M,S4,wikidata,P,06,3,1.318894,200
fuseki,100M,S4,wikidata,P,07,3,0.555185,200
fuseki,100M,S4,wikidata,P,08,3,1.520167,200
fuseki,100M,S4,wikidata,P,09,3,1.019812,200
fuseki,100M,S4,wikidata,P,00,4,1.573999,200
fuseki,100M,S4,wikidata,P,01,4,1.688788,200
fuseki,100M,S4,wikidata,P,02,4,2.423070,200
fuseki,100M,S4,wikidata,P,03,4,1.715920,200
fuseki,100M,S4,wikidata,P,04,4,1.520814,200
fuseki,100M,S4,wikidata,P,05,4,1.700736,200
fuseki,100M,S4,wikidata,P,06,4,1.315902,200
fuseki,100M,S4,wikidata,P,07,4,0.500373,200
fuseki,100M,S4,wikidata,P,08,4,1.570978,200
fuseki,100M,S4,wikidata,P,09,4,1.040181,200
fuseki,100M,S4,wikidata,P,00,5,1.568630,200
fuseki,100M,S4,wikidata,P,01,5,1.551277,200
fuseki,100M,S4,wikidata,P,02,5,1.610838,200
fuseki,100M,S4,wikidata,P,03,5,1.536909,200
fuseki,100M,S4,wikidata,P,04,5,1.553063,200
fuseki,100M,S4,wikidata,P,05,5,1.241344,200
fuseki,100M,S4,wikidata,P,06,5,1.207660,200
fuseki,100M,S4,wikidata,P,07,5,0.655458,200
fuseki,100M,S4,wikidata,P,08,5,1.963378,200
fuseki,100M,S4,wikidata,P,09,5,1.043343,200
