engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,S4,wikidata,R,00,1,1.763662,200
fuseki,100M,S4,wikidata,R,01,1,1.714122,200
fuseki,100M,S4,wikidata,R,02,1,1.894839,200
fuseki,100M,S4,wikidata,R,03,1,1.688886,200
fuseki,100M,S4,wikidata,R,04,1,1.812082,200
fuseki,100M,S4,wikidata,R,05,1,1.538404,200
fuseki,100M,S4,wikidata,R,06,1,1.726776,200
fuseki,100M,S4,wikidata,R,07,1,0.615886,200
fuseki,100M,S4,wikidata,R,08,1,1.920759,200
fuseki,100M,S4,wikidata,R,09,1,1.402293,200
fuseki,100M,S4,wikidata,R,00,2,2.365367,200
fuseki,100M,S4,wikidata,R,01,2,1.881126,200
fuseki,100M,S4,wikidata,R,02,2,3.131155,200
fuseki,100M,S4,wikidata,R,03,2,2.109742,200
fuseki,100M,S4,wikidata,R,04,2,2.113059,200
fuseki,100M,S4,wikidata,R,05,2,1.425413,200
fuseki,100M,S4,wikidata,R,06,2,1.279574,200
fuseki,100M,S4,wikidata,R,07,2,0.580991,200
fuseki,100M,S4,wikidata,R,08,2,2.582011,200
fuseki,100M,S4,wikidata,R,09,2,1.335956,200
fuseki,100M,S4,wikidata,R,00,3,2.006409,200
fuseki,100M,S4,wikidata,R,01,3,1.653122,200
fuseki,100M,S4,wikidata,R,02,3,2.028666,200
fuseki,100M,S4,wikidata,R,03,3,1.975628,200
fuseki,100M,S4,wikidata,R,04,3,1.681516,200
fuseki,100M,S4,wikidata,R,05,3,1.297264,200
fuseki,100M,S4,wikidata,R,06,3,1.288727,200
fuseki,100M,S4,wikidata,R,07,3,0.555603,200
fuseki,100M,S4,wikidata,R,08,3,1.731609,200
fuseki,100M,S4,wikidata,R,09,3,1.206501,200
fuseki,100M,S4,wikidata,R,00,4,2.000636,200
fuseki,100M,S4,wikidata,R,01,4,1.607081,200
fuseki,100M,S4,wikidata,R,02,4,1.883531,200
fuseki,100M,S4,wikidata,R,03,4,1.698918,200
fuseki,100M,S4,wikidata,R,04,4,1.580243,200
fuseki,100M,S4,wikidata,R,05,4,1.388092,200
fuseki,100M,S4,wikidata,R,06,4,1.131720,200
fuseki,100M,S4,wikidata,R,07,4,0.603322,200
fuseki,100M,S4,wikidata,R,08,4,1.695909,200
fuseki,100M,S4,wikidata,R,09,4,1.120896,200
fuseki,100M,S4,wikidata,R,00,5,1.700335,200
fuseki,100M,S4,wikidata,R,01,5,1.674800,200
fuseki,100M,S4,wikidata,R,02,5,2.267829,200
fuseki,100M,S4,wikidata,R,03,5,1.613647,200
fuseki,100M,S4,wikidata,R,04,5,1.621616,200
fuseki,100M,S4,wikidata,R,05,5,1.341461,200
fuseki,100M,S4,wikidata,R,06,5,1.359666,200
fuseki,100M,S4,wikidata,R,07,5,0.646078,200
fuseki,100M,S4,wikidata,R,08,5,1.653919,200
fuseki,100M,S4,wikidata,R,09,5,1.055741,200
