engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,S6,wikidata,B,00,1,0.0216621839790605,200
fuseki,100M,S6,wikidata,B,01,1,0.06027453701244667,200
fuseki,100M,S6,wikidata,B,02,1,0.03327876701951027,200
fuseki,100M,S6,wikidata,B,03,1,0.06181240698788315,200
fuseki,100M,S6,wikidata,B,04,1,0.023678094963543117,200
fuseki,100M,S6,wikidata,B,05,1,0.04349317599553615,200
fuseki,100M,S6,wikidata,B,06,1,0.05672152800252661,200
fuseki,100M,S6,wikidata,B,07,1,0.09849031298654154,200
fuseki,100M,S6,wikidata,B,08,1,0.023668445996008813,200
fuseki,100M,S6,wikidata,B,09,1,0.06785523099824786,200
fuseki,100M,S6,wikidata,B,00,2,0.021769916987977922,200
fuseki,100M,S6,wikidata,B,01,2,0.03233496699249372,200
fuseki,100M,S6,wikidata,B,02,2,0.038748860999476165,200
fuseki,100M,S6,wikidata,B,03,2,0.07871759100817144,200
fuseki,100M,S6,wikidata,B,04,2,0.03457443002844229,200
fuseki,100M,S6,wikidata,B,05,2,0.056891739019192755,200
fuseki,100M,S6,wikidata,B,06,2,0.03804481303086504,200
fuseki,100M,S6,wikidata,B,07,2,0.06279438798082992,200
fuseki,100M,S6,wikidata,B,08,2,0.024506697023753077,200
fuseki,100M,S6,wikidata,B,09,2,0.057576860999688506,200
fuseki,100M,S6,wikidata,B,00,3,0.025551197002641857,200
fuseki,100M,S6,wikidata,B,01,3,0.03444452496478334,200
fuseki,100M,S6,wikidata,B,02,3,0.030477555003017187,200
fuseki,100M,S6,wikidata,B,03,3,0.061911794007755816,200
fuseki,100M,S6,wikidata,B,04,3,0.024833463015966117,200
fuseki,100M,S6,wikidata,B,05,3,0.04704070504521951,200
fuseki,100M,S6,wikidata,B,06,3,0.044967325986362994,200
fuseki,100M,S6,wikidata,B,07,3,0.0616548290126957,200
fuseki,100M,S6,wikidata,B,08,3,0.017952399037312716,200
fuseki,100M,S6,wikidata,B,09,3,0.043329868000000715,200
fuseki,100M,S6,wikidata,B,00,4,0.01788781804498285,200
fuseki,100M,S6,wikidata,B,01,4,0.030596919998060912,200
fuseki,100M,S6,wikidata,B,02,4,0.027702403021976352,200
fuseki,100M,S6,wikidata,B,03,4,0.04717876500217244,200
fuseki,100M,S6,wikidata,B,04,4,0.021560140943620354,200
fuseki,100M,S6,wikidata,B,05,4,0.03591991600114852,200
fuseki,100M,S6,wikidata,B,06,4,0.0347338899737224,200
fuseki,100M,S6,wikidata,B,07,4,0.06804517901036888,200
fuseki,100M,S6,wikidata,B,08,4,0.01919644500594586,200
fuseki,100M,S6,wikidata,B,09,4,0.04328744800295681,200
fuseki,100M,S6,wikidata,B,00,5,0.022806152002885938,200
fuseki,100M,S6,wikidata,B,01,5,0.024815710028633475,200
fuseki,100M,S6,wikidata,B,02,5,0.03390380600467324,200
fuseki,100M,S6,wikidata,B,03,5,0.08215845900122076,200
fuseki,100M,S6,wikidata,B,04,5,0.019082260027062148,200
fuseki,100M,S6,wikidata,B,05,5,0.03507413301849738,200
fuseki,100M,S6,wikidata,B,06,5,0.03341535397339612,200
fuseki,100M,S6,wikidata,B,07,5,0.05371995904715732,200
fuseki,100M,S6,wikidata,B,08,5,0.01828630903037265,200
fuseki,100M,S6,wikidata,B,09,5,0.04616463300772011,200
