engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,100M,S7,namedgraphs,P,00,1,5.323101,200
fuseki,100M,S7,namedgraphs,P,01,1,4.867457,200
fuseki,100M,S7,namedgraphs,P,02,1,5.266790,200
fuseki,100M,S7,namedgraphs,P,03,1,4.623176,200
fuseki,100M,S7,namedgraphs,P,04,1,4.089849,200
fuseki,100M,S7,namedgraphs,P,05,1,4.875221,200
fuseki,100M,S7,namedgraphs,P,06,1,4.361805,200
fuseki,100M,S7,namedgraphs,P,07,1,4.850347,200
fuseki,100M,S7,namedgraphs,P,08,1,4.082089,200
fuseki,100M,S7,namedgraphs,P,09,1,4.693499,200
fuseki,100M,S7,namedgraphs,P,00,2,4.175551,200
fuseki,100M,S7,namedgraphs,P,01,2,3.924749,200
fuseki,100M,S7,namedgraphs,P,02,2,4.381278,200
fuseki,100M,S7,namedgraphs,P,03,2,3.966940,200
fuseki,100M,S7,namedgraphs,P,04,2,4.428990,200
fuseki,100M,S7,namedgraphs,P,05,2,4.825965,200
fuseki,100M,S7,namedgraphs,P,06,2,3.897977,200
fuseki,100M,S7,namedgraphs,P,07,2,3.788411,200
fuseki,100M,S7,namedgraphs,P,08,2,3.767398,200
fuseki,100M,S7,namedgraphs,P,09,2,3.812112,200
fuseki,100M,S7,namedgraphs,P,00,3,4.277480,200
fuseki,100M,S7,namedgraphs,P,01,3,3.824077,200
fuseki,100M,S7,namedgraphs,P,02,3,3.785984,200
fuseki,100M,S7,namedgraphs,P,03,3,3.933148,200
fuseki,100M,S7,namedgraphs,P,04,3,4.016008,200
fuseki,100M,S7,namedgraphs,P,05,3,3.805426,200
fuseki,100M,S7,namedgraphs,P,06,3,3.786989,200
fuseki,100M,S7,namedgraphs,P,07,3,3.855504,200
fuseki,100M,S7,namedgraphs,P,08,3,3.792991,200
fuseki,100M,S7,namedgraphs,P,09,3,3.833847,200
fuseki,100M,S7,namedgraphs,P,00,4,4.581736,200
fuseki,100M,S7,namedgraphs,P,01,4,3.795387,200
fuseki,100M,S7,namedgraphs,P,02,4,3.835125,200
fuseki,100M,S7,namedgraphs,P,03,4,4.078752,200
fuseki,100M,S7,namedgraphs,P,04,4,3.835883,200
fuseki,100M,S7,namedgraphs,P,05,4,3.774061,200
fuseki,100M,S7,namedgraphs,P,06,4,3.795826,200
fuseki,100M,S7,namedgraphs,P,07,4,3.820318,200
fuseki,100M,S7,namedgraphs,P,08,4,3.822067,200
fuseki,100M,S7,namedgraphs,P,09,4,3.818846,200
fuseki,100M,S7,namedgraphs,P,00,5,4.073746,200
fuseki,100M,S7,namedgraphs,P,01,5,4.041506,200
fuseki,100M,S7,namedgraphs,P,02,5,3.808556,200
fuseki,100M,S7,namedgraphs,P,03,5,3.854189,200
fuseki,100M,S7,namedgraphs,P,04,5,3.858834,200
fuseki,100M,S7,namedgraphs,P,05,5,3.894996,200
fuseki,100M,S7,namedgraphs,P,06,5,3.841183,200
fuseki,100M,S7,namedgraphs,P,07,5,3.827576,200
fuseki,100M,S7,namedgraphs,P,08,5,4.034239,200
fuseki,100M,S7,namedgraphs,P,09,5,3.954301,200
