engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,L3,rdf,R,00,1,27.27042924053967,200
fuseki,10M,L3,rdf,R,01,1,26.830011716112494,200
fuseki,10M,L3,rdf,R,02,1,27.77390954270959,200
fuseki,10M,L3,rdf,R,03,1,27.334389867261052,200
fuseki,10M,L3,rdf,R,04,1,26.44527706131339,200
fuseki,10M,L3,rdf,R,05,1,26.8010219540447,200
fuseki,10M,L3,rdf,R,06,1,26.150388211011887,200
fuseki,10M,L3,rdf,R,07,1,26.474541371688247,200
fuseki,10M,L3,rdf,R,08,1,26.615628879517317,200
fuseki,10M,L3,rdf,R,09,1,26.109922159463167,200
fuseki,10M,L3,rdf,R,00,2,27.478371243923903,200
fuseki,10M,L3,rdf,R,01,2,27.316704785451293,200
fuseki,10M,L3,rdf,R,02,2,25.956855742260814,200
fuseki,10M,L3,rdf,R,03,2,26.48380151204765,200
fuseki,10M,L3,rdf,R,04,2,26.028492173179984,200
fuseki,10M,L3,rdf,R,05,2,26.052740151062608,200
fuseki,10M,L3,rdf,R,06,2,25.945840975269675,200
fuseki,10M,L3,rdf,R,07,2,26.395505789667368,200
fuseki,10M,L3,rdf,R,08,2,26.610479528084397,200
fuseki,10M,L3,rdf,R,09,2,26.16747466661036,200
fuseki,10M,L3,rdf,R,00,3,25.980700056999922,200
fuseki,10M,L3,rdf,R,01,3,26.01674707978964,200
fuseki,10M,L3,rdf,R,02,3,26.562274623662233,200
fuseki,10M,L3,rdf,R,03,3,25.858599277213216,200
fuseki,10M,L3,rdf,R,04,3,26.67566333897412,200
fuseki,10M,L3,rdf,R,05,3,25.843864385038614,200
fuseki,10M,L3,rdf,R,06,3,26.150060357525945,200
fuseki,10M,L3,rdf,R,07,3,26.383015774190426,200
fuseki,10M,L3,rdf,R,08,3,25.824022023007274,200
fuseki,10M,L3,rdf,R,09,3,26.62027123197913,200
fuseki,10M,L3,rdf,R,00,4,25.95078280940652,200
fuseki,10M,L3,rdf,R,01,4,26.107147773727775,200
fuseki,10M,L3,rdf,R,02,4,25.990474089980125,200
fuseki,10M,L3,rdf,R,03,4,26.091291710734367,200
fuseki,10M,L3,rdf,R,04,4,26.77033427543938,200
fuseki,10M,L3,rdf,R,05,4,25.850118312984705,200
fuseki,10M,L3,rdf,R,06,4,26.301470700651407,200
fuseki,10M,L3,rdf,R,07,4,25.746173446998,200
fuseki,10M,L3,rdf,R,08,4,26.10319410264492,200
fuseki,10M,L3,rdf,R,09,4,26.169901499524713,200
fuseki,10M,L3,rdf,R,00,5,26.07879596017301,200
fuseki,10M,L3,rdf,R,01,5,26.530947916209698,200
fuseki,10M,L3,rdf,R,02,5,25.814324049279094,200
fuseki,10M,L3,rdf,R,03,5,26.36109560355544,200
fuseki,10M,L3,rdf,R,04,5,25.977598877623677,200
fuseki,10M,L3,rdf,R,05,5,26.256160454824567,200
fuseki,10M,L3,rdf,R,06,5,25.88421997614205,200
fuseki,10M,L3,rdf,R,07,5,25.94952885620296,200
fuseki,10M,L3,rdf,R,08,5,26.480473335832357,200
fuseki,10M,L3,rdf,R,09,5,26.017175905406475,200
