engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,L3,wikidata,P,00,1,0.03296126797795296,200
fuseki,10M,L3,wikidata,P,01,1,0.0329178050160408,200
fuseki,10M,L3,wikidata,P,02,1,0.03187875635921955,200
fuseki,10M,L3,wikidata,P,03,1,0.02172372303903103,200
fuseki,10M,L3,wikidata,P,04,1,0.02307461015880108,200
fuseki,10M,L3,wikidata,P,05,1,0.02257659286260605,200
fuseki,10M,L3,wikidata,P,06,1,0.030701424926519394,200
fuseki,10M,L3,wikidata,P,07,1,0.024216797202825546,200
fuseki,10M,L3,wikidata,P,08,1,0.02798433229327202,200
fuseki,10M,L3,wikidata,P,09,1,0.021206006407737732,200
fuseki,10M,L3,wikidata,P,00,2,0.030676741153001785,200
fuseki,10M,L3,wikidata,P,01,2,0.06552543677389622,200
fuseki,10M,L3,wikidata,P,02,2,0.03186196647584438,200
fuseki,10M,L3,wikidata,P,03,2,0.022408928722143173,200
fuseki,10M,L3,wikidata,P,04,2,0.02606632374227047,200
fuseki,10M,L3,wikidata,P,05,2,0.028114717453718185,200
fuseki,10M,L3,wikidata,P,06,2,0.025108879432082176,200
fuseki,10M,L3,wikidata,P,07,2,0.020986542105674744,200
fuseki,10M,L3,wikidata,P,08,2,0.022337650880217552,200
fuseki,10M,L3,wikidata,P,09,2,0.020529039204120636,200
fuseki,10M,L3,wikidata,P,00,3,0.023582449182868004,200
fuseki,10M,L3,wikidata,P,01,3,0.023543767631053925,200
fuseki,10M,L3,wikidata,P,02,3,0.027775587514042854,200
fuseki,10M,L3,wikidata,P,03,3,0.01997414417564869,200
fuseki,10M,L3,wikidata,P,04,3,0.02201511152088642,200
fuseki,10M,L3,wikidata,P,05,3,0.020383073017001152,200
fuseki,10M,L3,wikidata,P,06,3,0.022597623988986015,200
fuseki,10M,L3,wikidata,P,07,3,0.025346815586090088,200
fuseki,10M,L3,wikidata,P,08,3,0.02125518023967743,200
fuseki,10M,L3,wikidata,P,09,3,0.022896386682987213,200
fuseki,10M,L3,wikidata,P,00,4,0.022647233679890633,200
fuseki,10M,L3,wikidata,P,01,4,0.022906415164470673,200
fuseki,10M,L3,wikidata,P,02,4,0.0233979020267725,200
fuseki,10M,L3,wikidata,P,03,4,0.024312185123562813,200
fuseki,10M,L3,wikidata,P,04,4,0.023031707853078842,200
fuseki,10M,L3,wikidata,P,05,4,0.02366807870566845,200
fuseki,10M,L3,wikidata,P,06,4,0.021298840641975403,200
fuseki,10M,L3,wikidata,P,07,4,0.0245128832757473,200
fuseki,10M,L3,wikidata,P,08,4,0.021764839068055153,200
fuseki,10M,L3,wikidata,P,09,4,0.01999397948384285,200
fuseki,10M,L3,wikidata,P,00,5,0.02294335328042507,200
fuseki,10M,L3,wikidata,P,01,5,0.022871628403663635,200
fuseki,10M,L3,wikidata,P,02,5,0.02548140101134777,200
fuseki,10M,L3,wikidata,P,03,5,0.022314921021461487,200
fuseki,10M,L3,wikidata,P,04,5,0.024409379810094833,200
fuseki,10M,L3,wikidata,P,05,5,0.021876351907849312,200
fuseki,10M,L3,wikidata,P,06,5,0.024938706308603287,200
fuseki,10M,L3,wikidata,P,07,5,0.0224118921905756,200
fuseki,10M,L3,wikidata,P,08,5,0.020215509459376335,200
fuseki,10M,L3,wikidata,P,09,5,0.018843865022063255,200
