engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,L3,wikidata,R,00,1,0.02247890830039978,200
fuseki,10M,L3,wikidata,R,01,1,0.022642647847533226,200
fuseki,10M,L3,wikidata,R,02,1,0.021349268034100533,200
fuseki,10M,L3,wikidata,R,03,1,0.019810376688838005,200
fuseki,10M,L3,wikidata,R,04,1,0.022503262385725975,200
fuseki,10M,L3,wikidata,R,05,1,0.020236309617757797,200
fuseki,10M,L3,wikidata,R,06,1,0.024782394990324974,200
fuseki,10M,L3,wikidata,R,07,1,0.02474786899983883,200
fuseki,10M,L3,wikidata,R,08,1,0.022614052519202232,200
fuseki,10M,L3,wikidata,R,09,1,0.019792985171079636,200
fuseki,10M,L3,wikidata,R,00,2,0.020209629088640213,200
fuseki,10M,L3,wikidata,R,01,2,0.019826676696538925,200
fuseki,10M,L3,wikidata,R,02,2,0.020605333149433136,200
fuseki,10M,L3,wikidata,R,03,2,0.0194301288574934,200
fuseki,10M,L3,wikidata,R,04,2,0.020150819793343544,200
fuseki,10M,L3,wikidata,R,05,2,0.019372528418898582,200
fuseki,10M,L3,wikidata,R,06,2,0.020459847524762154,200
fuseki,10M,L3,wikidata,R,07,2,0.019182559102773666,200
fuseki,10M,L3,wikidata,R,08,2,0.022277241572737694,200
fuseki,10M,L3,wikidata,R,09,2,0.020819256082177162,200
fuseki,10M,L3,wikidata,R,00,3,0.019472939893603325,200
fuseki,10M,L3,wikidata,R,01,3,0.01906581036746502,200
fuseki,10M,L3,wikidata,R,02,3,0.01969185099005699,200
fuseki,10M,L3,wikidata,R,03,3,0.02115585282444954,200
fuseki,10M,L3,wikidata,R,04,3,0.018660355359315872,200
fuseki,10M,L3,wikidata,R,05,3,0.018122762441635132,200
fuseki,10M,L3,wikidata,R,06,3,0.0222767386585474,200
fuseki,10M,L3,wikidata,R,07,3,0.01992708444595337,200
fuseki,10M,L3,wikidata,R,08,3,0.02294149249792099,200
fuseki,10M,L3,wikidata,R,09,3,0.021479114890098572,200
fuseki,10M,L3,wikidata,R,00,4,0.019474932923913002,200
fuseki,10M,L3,wikidata,R,01,4,0.01967804506421089,200
fuseki,10M,L3,wikidata,R,02,4,0.019591383635997772,200
fuseki,10M,L3,wikidata,R,03,4,0.0224562156945467,200
fuseki,10M,L3,wikidata,R,04,4,0.018541332334280014,200
fuseki,10M,L3,wikidata,R,05,4,0.021894877776503563,200
fuseki,10M,L3,wikidata,R,06,4,0.019591359421610832,200
fuseki,10M,L3,wikidata,R,07,4,0.0191937405616045,200
fuseki,10M,L3,wikidata,R,08,4,0.018277393653988838,200
fuseki,10M,L3,wikidata,R,09,4,0.018424158915877342,200
fuseki,10M,L3,wikidata,R,00,5,0.019037045538425446,200
fuseki,10M,L3,wikidata,R,01,5,0.02267889492213726,200
fuseki,10M,L3,wikidata,R,02,5,0.021697062999010086,200
fuseki,10M,L3,wikidata,R,03,5,0.022058242931962013,200
fuseki,10M,L3,wikidata,R,04,5,0.019772004336118698,200
fuseki,10M,L3,wikidata,R,05,5,0.0656562689691782,200
fuseki,10M,L3,wikidata,R,06,5,0.021856674924492836,200
fuseki,10M,L3,wikidata,R,07,5,0.01852891780436039,200
fuseki,10M,L3,wikidata,R,08,5,0.02182662859559059,200
fuseki,10M,L3,wikidata,R,09,5,0.018458615988492966,200
