engine,size,template,scheme,mode,query_id,repetition,time,status
fuseki,10M,S6,rdf,P,00,1,0.10066749528050423,200
fuseki,10M,S6,rdf,P,01,1,0.08612026460468769,200
fuseki,10M,S6,rdf,P,02,1,0.08769704587757587,200
fuseki,10M,S6,rdf,P,03,1,0.08356274664402008,200
fuseki,10M,S6,rdf,P,04,1,0.08941899426281452,200
fuseki,10M,S6,rdf,P,05,1,0.10457697696983814,200
fuseki,10M,S6,rdf,P,06,1,0.08209184743463993,200
fuseki,10M,S6,rdf,P,07,1,0.09168620966374874,200
fuseki,10M,S6,rdf,P,08,1,0.07419325970113277,200
fuseki,10M,S6,rdf,P,09,1,0.08039576932787895,200
fuseki,10M,S6,rdf,P,00,2,0.0860623437911272,200
fuseki,10M,S6,rdf,P,01,2,0.09455758333206177,200
fuseki,10M,S6,rdf,P,02,2,0.10512027330696583,200
fuseki,10M,S6,rdf,P,03,2,0.07518216595053673,200
fuseki,10M,S6,rdf,P,04,2,0.07956083491444588,200
fuseki,10M,S6,rdf,P,05,2,0.07792695425450802,200
fuseki,10M,S6,rdf,P,06,2,0.07171688228845596,200
fuseki,10M,S6,rdf,P,07,2,0.07483412139117718,200
fuseki,10M,S6,rdf,P,08,2,0.08918080478906631,200
fuseki,10M,S6,rdf,P,09,2,0.07934792526066303,200
fuseki,10M,S6,rdf,P,00,3,0.09832127206027508,200
fuseki,10M,S6,rdf,P,01,3,0.10069514065980911,200
fuseki,10M,S6,rdf,P,02,3,0.10116972401738167,200
fuseki,10M,S6,rdf,P,03,3,0.07344778627157211,200
fuseki,10M,S6,rdf,P,04,3,0.0794497448951006,200
fuseki,10M,S6,rdf,P,05,3,0.07418805174529552,200
fuseki,10M,S6,rdf,P,06,3,0.07394819147884846,200
fuseki,10M,S6,rdf,P,07,3,0.07362141460180283,200
fuseki,10M,S6,rdf,P,08,3,0.09503939189016819,200
fuseki,10M,S6,rdf,P,09,3,0.09166964702308178,200
fuseki,10M,S6,rdf,P,00,4,0.11961974389851093,200
fuseki,10M,S6,rdf,P,01,4,0.09935079328715801,200
fuseki,10M,S6,rdf,P,02,4,0.09590837173163891,200
fuseki,10M,S6,rdf,P,03,4,0.09992042742669582,200
fuseki,10M,S6,rdf,P,04,4,0.0985786784440279,200
fuseki,10M,S6,rdf,P,05,4,0.09218509122729301,200
fuseki,10M,S6,rdf,P,06,4,0.07619076780974865,200
fuseki,10M,S6,rdf,P,07,4,0.08915761299431324,200
fuseki,10M,S6,rdf,P,08,4,0.09175654128193855,200
fuseki,10M,S6,rdf,P,09,4,0.09166781418025494,200
fuseki,10M,S6,rdf,P,00,5,0.09430545754730701,200
fuseki,10M,S6,rdf,P,01,5,0.07405455969274044,200
fuseki,10M,S6,rdf,P,02,5,0.07312503643333912,200
fuseki,10M,S6,rdf,P,03,5,0.07576965540647507,200
fuseki,10M,S6,rdf,P,04,5,0.07353319600224495,200
fuseki,10M,S6,rdf,P,05,5,0.08395549096167088,200
fuseki,10M,S6,rdf,P,06,5,0.07190746255218983,200
fuseki,10M,S6,rdf,P,07,5,0.07820235192775726,200
fuseki,10M,S6,rdf,P,08,5,0.09099012613296509,200
fuseki,10M,S6,rdf,P,09,5,0.09693132154643536,200
