engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,F1,pso,P,00,1,56.230628,200
sqlite,100M,F1,pso,P,00,2,46.620657,200
sqlite,100M,F1,pso,P,00,3,47.997666,200
sqlite,100M,F1,pso,P,00,4,41.670063,200
sqlite,100M,F1,pso,P,00,5,41.507569,200
sqlite,100M,F1,pso,P,01,1,58.033522,200
sqlite,100M,F1,pso,P,01,2,41.024847,200
sqlite,100M,F1,pso,P,01,3,45.960798,200
sqlite,100M,F1,pso,P,01,4,41.157559,200
sqlite,100M,F1,pso,P,01,5,40.811000,200
sqlite,100M,F1,pso,P,02,1,55.774555,200
sqlite,100M,F1,pso,P,02,2,47.277712,200
sqlite,100M,F1,pso,P,02,3,47.491667,200
sqlite,100M,F1,pso,P,02,4,46.781191,200
sqlite,100M,F1,pso,P,02,5,41.390010,200
sqlite,100M,F1,pso,P,03,1,49.786165,200
sqlite,100M,F1,pso,P,03,2,46.449057,200
sqlite,100M,F1,pso,P,03,3,47.035785,200
sqlite,100M,F1,pso,P,03,4,45.910132,200
sqlite,100M,F1,pso,P,03,5,40.551678,200
sqlite,100M,F1,pso,P,04,1,55.840414,200
sqlite,100M,F1,pso,P,04,2,47.854453,200
sqlite,100M,F1,pso,P,04,3,47.582613,200
sqlite,100M,F1,pso,P,04,4,47.905584,200
sqlite,100M,F1,pso,P,04,5,47.638691,200
sqlite,100M,F1,pso,P,05,1,56.238384,200
sqlite,100M,F1,pso,P,05,2,40.640174,200
sqlite,100M,F1,pso,P,05,3,40.438712,200
sqlite,100M,F1,pso,P,05,4,45.987809,200
sqlite,100M,F1,pso,P,05,5,46.113049,200
sqlite,100M,F1,pso,P,06,1,60.864822,200
sqlite,100M,F1,pso,P,06,2,40.548181,200
sqlite,100M,F1,pso,P,06,3,40.564095,200
sqlite,100M,F1,pso,P,06,4,45.987719,200
sqlite,100M,F1,pso,P,06,5,46.493276,200
sqlite,100M,F1,pso,P,07,1,48.340114,200
sqlite,100M,F1,pso,P,07,2,47.194864,200
sqlite,100M,F1,pso,P,07,3,46.134210,200
sqlite,100M,F1,pso,P,07,4,46.751925,200
sqlite,100M,F1,pso,P,07,5,46.605182,200
sqlite,100M,F1,pso,P,08,1,57.743333,200
sqlite,100M,F1,pso,P,08,2,46.421386,200
sqlite,100M,F1,pso,P,08,3,46.117999,200
sqlite,100M,F1,pso,P,08,4,45.685079,200
sqlite,100M,F1,pso,P,08,5,46.188180,200
sqlite,100M,F1,pso,P,09,1,56.286838,200
sqlite,100M,F1,pso,P,09,2,46.649118,200
sqlite,100M,F1,pso,P,09,3,47.327579,200
sqlite,100M,F1,pso,P,09,4,46.856436,200
sqlite,100M,F1,pso,P,09,5,46.074893,200
