engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,F1,vp,B,00,1,28.012833,200
sqlite,100M,F1,vp,B,00,2,31.377081,200
sqlite,100M,F1,vp,B,00,3,26.650735,200
sqlite,100M,F1,vp,B,00,4,26.626459,200
sqlite,100M,F1,vp,B,00,5,26.609499,200
sqlite,100M,F1,vp,B,01,1,26.776975,200
sqlite,100M,F1,vp,B,01,2,26.408064,200
sqlite,100M,F1,vp,B,01,3,26.410631,200
sqlite,100M,F1,vp,B,01,4,26.474349,200
sqlite,100M,F1,vp,B,01,5,30.929194,200
sqlite,100M,F1,vp,B,02,1,31.098298,200
sqlite,100M,F1,vp,B,02,2,26.668777,200
sqlite,100M,F1,vp,B,02,3,31.135422,200
sqlite,100M,F1,vp,B,02,4,30.951134,200
sqlite,100M,F1,vp,B,02,5,30.887727,200
sqlite,100M,F1,vp,B,03,1,30.629504,200
sqlite,100M,F1,vp,B,03,2,30.424981,200
sqlite,100M,F1,vp,B,03,3,30.828174,200
sqlite,100M,F1,vp,B,03,4,26.061491,200
sqlite,100M,F1,vp,B,03,5,30.219204,200
sqlite,100M,F1,vp,B,04,1,27.029808,200
sqlite,100M,F1,vp,B,04,2,27.046320,200
sqlite,100M,F1,vp,B,04,3,31.870693,200
sqlite,100M,F1,vp,B,04,4,31.110890,200
sqlite,100M,F1,vp,B,04,5,31.389677,200
sqlite,100M,F1,vp,B,05,1,30.826176,200
sqlite,100M,F1,vp,B,05,2,30.757829,200
sqlite,100M,F1,vp,B,05,3,30.613655,200
sqlite,100M,F1,vp,B,05,4,30.663507,200
sqlite,100M,F1,vp,B,05,5,30.305700,200
sqlite,100M,F1,vp,B,06,1,30.578689,200
sqlite,100M,F1,vp,B,06,2,26.386794,200
sqlite,100M,F1,vp,B,06,3,30.499395,200
sqlite,100M,F1,vp,B,06,4,30.739706,200
sqlite,100M,F1,vp,B,06,5,30.192550,200
sqlite,100M,F1,vp,B,07,1,31.300342,200
sqlite,100M,F1,vp,B,07,2,30.830404,200
sqlite,100M,F1,vp,B,07,3,26.440289,200
sqlite,100M,F1,vp,B,07,4,31.178278,200
sqlite,100M,F1,vp,B,07,5,31.110915,200
sqlite,100M,F1,vp,B,08,1,30.388987,200
sqlite,100M,F1,vp,B,08,2,26.272825,200
sqlite,100M,F1,vp,B,08,3,26.050501,200
sqlite,100M,F1,vp,B,08,4,26.337683,200
sqlite,100M,F1,vp,B,08,5,26.090740,200
sqlite,100M,F1,vp,B,09,1,31.147852,200
sqlite,100M,F1,vp,B,09,2,26.646624,200
sqlite,100M,F1,vp,B,09,3,30.411980,200
sqlite,100M,F1,vp,B,09,4,30.693663,200
sqlite,100M,F1,vp,B,09,5,26.644003,200
