engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,F1,vp,P,00,1,31.133327,200
sqlite,100M,F1,vp,P,00,2,31.603548,200
sqlite,100M,F1,vp,P,00,3,27.024389,200
sqlite,100M,F1,vp,P,00,4,31.425787,200
sqlite,100M,F1,vp,P,00,5,31.622310,200
sqlite,100M,F1,vp,P,01,1,31.409230,200
sqlite,100M,F1,vp,P,01,2,31.175663,200
sqlite,100M,F1,vp,P,01,3,31.671548,200
sqlite,100M,F1,vp,P,01,4,26.623035,200
sqlite,100M,F1,vp,P,01,5,30.681903,200
sqlite,100M,F1,vp,P,02,1,31.364113,200
sqlite,100M,F1,vp,P,02,2,30.676357,200
sqlite,100M,F1,vp,P,02,3,26.690228,200
sqlite,100M,F1,vp,P,02,4,31.315264,200
sqlite,100M,F1,vp,P,02,5,31.231660,200
sqlite,100M,F1,vp,P,03,1,26.530973,200
sqlite,100M,F1,vp,P,03,2,30.645718,200
sqlite,100M,F1,vp,P,03,3,30.706930,200
sqlite,100M,F1,vp,P,03,4,30.562681,200
sqlite,100M,F1,vp,P,03,5,30.434621,200
sqlite,100M,F1,vp,P,04,1,27.017115,200
sqlite,100M,F1,vp,P,04,2,31.311016,200
sqlite,100M,F1,vp,P,04,3,31.475016,200
sqlite,100M,F1,vp,P,04,4,27.173087,200
sqlite,100M,F1,vp,P,04,5,26.941449,200
sqlite,100M,F1,vp,P,05,1,30.996250,200
sqlite,100M,F1,vp,P,05,2,26.484196,200
sqlite,100M,F1,vp,P,05,3,30.762782,200
sqlite,100M,F1,vp,P,05,4,30.755815,200
sqlite,100M,F1,vp,P,05,5,30.679718,200
sqlite,100M,F1,vp,P,06,1,30.915288,200
sqlite,100M,F1,vp,P,06,2,30.805065,200
sqlite,100M,F1,vp,P,06,3,26.152669,200
sqlite,100M,F1,vp,P,06,4,31.279511,200
sqlite,100M,F1,vp,P,06,5,26.589564,200
sqlite,100M,F1,vp,P,07,1,26.654406,200
sqlite,100M,F1,vp,P,07,2,31.056461,200
sqlite,100M,F1,vp,P,07,3,31.296583,200
sqlite,100M,F1,vp,P,07,4,31.189170,200
sqlite,100M,F1,vp,P,07,5,26.543396,200
sqlite,100M,F1,vp,P,08,1,30.423009,200
sqlite,100M,F1,vp,P,08,2,30.716795,200
sqlite,100M,F1,vp,P,08,3,31.065259,200
sqlite,100M,F1,vp,P,08,4,26.175419,200
sqlite,100M,F1,vp,P,08,5,30.681069,200
sqlite,100M,F1,vp,P,09,1,26.906948,200
sqlite,100M,F1,vp,P,09,2,30.970112,200
sqlite,100M,F1,vp,P,09,3,31.625682,200
sqlite,100M,F1,vp,P,09,4,31.575129,200
sqlite,100M,F1,vp,P,09,5,30.956197,200
