engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,F2,6idx,P,00,1,1.232716,200
sqlite,100M,F2,6idx,P,00,2,1.148248,200
sqlite,100M,F2,6idx,P,00,3,1.184909,200
sqlite,100M,F2,6idx,P,00,4,1.189567,200
sqlite,100M,F2,6idx,P,00,5,1.189468,200
sqlite,100M,F2,6idx,P,01,1,5.029376,200
sqlite,100M,F2,6idx,P,01,2,1.158000,200
sqlite,100M,F2,6idx,P,01,3,1.201277,200
sqlite,100M,F2,6idx,P,01,4,1.198421,200
sqlite,100M,F2,6idx,P,01,5,1.192673,200
sqlite,100M,F2,6idx,P,02,1,3.361202,200
sqlite,100M,F2,6idx,P,02,2,1.186410,200
sqlite,100M,F2,6idx,P,02,3,1.178777,200
sqlite,100M,F2,6idx,P,02,4,1.162688,200
sqlite,100M,F2,6idx,P,02,5,1.193524,200
sqlite,100M,F2,6idx,P,03,1,1.220543,200
sqlite,100M,F2,6idx,P,03,2,1.180818,200
sqlite,100M,F2,6idx,P,03,3,1.187829,200
sqlite,100M,F2,6idx,P,03,4,1.196369,200
sqlite,100M,F2,6idx,P,03,5,1.185188,200
sqlite,100M,F2,6idx,P,04,1,3.018918,200
sqlite,100M,F2,6idx,P,04,2,1.178454,200
sqlite,100M,F2,6idx,P,04,3,1.187052,200
sqlite,100M,F2,6idx,P,04,4,1.192763,200
sqlite,100M,F2,6idx,P,04,5,1.186804,200
sqlite,100M,F2,6idx,P,05,1,4.030223,200
sqlite,100M,F2,6idx,P,05,2,1.189740,200
sqlite,100M,F2,6idx,P,05,3,1.191955,200
sqlite,100M,F2,6idx,P,05,4,1.200705,200
sqlite,100M,F2,6idx,P,05,5,1.195100,200
sqlite,100M,F2,6idx,P,06,1,3.555922,200
sqlite,100M,F2,6idx,P,06,2,1.152367,200
sqlite,100M,F2,6idx,P,06,3,1.217050,200
sqlite,100M,F2,6idx,P,06,4,1.201385,200
sqlite,100M,F2,6idx,P,06,5,1.190487,200
sqlite,100M,F2,6idx,P,07,1,3.409334,200
sqlite,100M,F2,6idx,P,07,2,1.180803,200
sqlite,100M,F2,6idx,P,07,3,1.188824,200
sqlite,100M,F2,6idx,P,07,4,1.191893,200
sqlite,100M,F2,6idx,P,07,5,1.190789,200
sqlite,100M,F2,6idx,P,08,1,3.112776,200
sqlite,100M,F2,6idx,P,08,2,1.179534,200
sqlite,100M,F2,6idx,P,08,3,1.206440,200
sqlite,100M,F2,6idx,P,08,4,1.201165,200
sqlite,100M,F2,6idx,P,08,5,1.191643,200
sqlite,100M,F2,6idx,P,09,1,2.268782,200
sqlite,100M,F2,6idx,P,09,2,1.180175,200
sqlite,100M,F2,6idx,P,09,3,1.184060,200
sqlite,100M,F2,6idx,P,09,4,1.178716,200
sqlite,100M,F2,6idx,P,09,5,1.159813,200
