engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,F2,pso,B,00,1,4.572144,200
sqlite,100M,F2,pso,B,00,2,0.492887,200
sqlite,100M,F2,pso,B,00,3,0.489480,200
sqlite,100M,F2,pso,B,00,4,0.469655,200
sqlite,100M,F2,pso,B,00,5,0.486868,200
sqlite,100M,F2,pso,B,01,1,0.637408,200
sqlite,100M,F2,pso,B,01,2,0.469681,200
sqlite,100M,F2,pso,B,01,3,0.482607,200
sqlite,100M,F2,pso,B,01,4,0.468942,200
sqlite,100M,F2,pso,B,01,5,0.484106,200
sqlite,100M,F2,pso,B,02,1,0.650874,200
sqlite,100M,F2,pso,B,02,2,0.490236,200
sqlite,100M,F2,pso,B,02,3,0.487964,200
sqlite,100M,F2,pso,B,02,4,0.469269,200
sqlite,100M,F2,pso,B,02,5,0.469967,200
sqlite,100M,F2,pso,B,03,1,0.628461,200
sqlite,100M,F2,pso,B,03,2,0.490582,200
sqlite,100M,F2,pso,B,03,3,0.488915,200
sqlite,100M,F2,pso,B,03,4,0.471461,200
sqlite,100M,F2,pso,B,03,5,0.471449,200
sqlite,100M,F2,pso,B,04,1,0.554974,200
sqlite,100M,F2,pso,B,04,2,0.481562,200
sqlite,100M,F2,pso,B,04,3,0.490528,200
sqlite,100M,F2,pso,B,04,4,0.469649,200
sqlite,100M,F2,pso,B,04,5,0.487087,200
sqlite,100M,F2,pso,B,05,1,0.492559,200
sqlite,100M,F2,pso,B,05,2,0.487358,200
sqlite,100M,F2,pso,B,05,3,0.483519,200
sqlite,100M,F2,pso,B,05,4,0.481638,200
sqlite,100M,F2,pso,B,05,5,0.483085,200
sqlite,100M,F2,pso,B,06,1,0.469329,200
sqlite,100M,F2,pso,B,06,2,0.496907,200
sqlite,100M,F2,pso,B,06,3,0.489019,200
sqlite,100M,F2,pso,B,06,4,0.467019,200
sqlite,100M,F2,pso,B,06,5,0.482810,200
sqlite,100M,F2,pso,B,07,1,0.484248,200
sqlite,100M,F2,pso,B,07,2,0.490835,200
sqlite,100M,F2,pso,B,07,3,0.486070,200
sqlite,100M,F2,pso,B,07,4,0.467836,200
sqlite,100M,F2,pso,B,07,5,0.484352,200
sqlite,100M,F2,pso,B,08,1,0.482047,200
sqlite,100M,F2,pso,B,08,2,0.472401,200
sqlite,100M,F2,pso,B,08,3,0.492760,200
sqlite,100M,F2,pso,B,08,4,0.472445,200
sqlite,100M,F2,pso,B,08,5,0.484145,200
sqlite,100M,F2,pso,B,09,1,0.482750,200
sqlite,100M,F2,pso,B,09,2,0.481170,200
sqlite,100M,F2,pso,B,09,3,0.495363,200
sqlite,100M,F2,pso,B,09,4,0.468172,200
sqlite,100M,F2,pso,B,09,5,0.493938,200
