engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,F2,spo,B,00,1,0.857527,200
sqlite,100M,F2,spo,B,00,2,0.914746,200
sqlite,100M,F2,spo,B,00,3,0.856525,200
sqlite,100M,F2,spo,B,00,4,0.921886,200
sqlite,100M,F2,spo,B,00,5,0.929894,200
sqlite,100M,F2,spo,B,01,1,0.905702,200
sqlite,100M,F2,spo,B,01,2,0.909688,200
sqlite,100M,F2,spo,B,01,3,0.892036,200
sqlite,100M,F2,spo,B,01,4,0.904948,200
sqlite,100M,F2,spo,B,01,5,0.923503,200
sqlite,100M,F2,spo,B,02,1,0.910815,200
sqlite,100M,F2,spo,B,02,2,0.901886,200
sqlite,100M,F2,spo,B,02,3,0.856912,200
sqlite,100M,F2,spo,B,02,4,0.909499,200
sqlite,100M,F2,spo,B,02,5,0.937464,200
sqlite,100M,F2,spo,B,03,1,0.888783,200
sqlite,100M,F2,spo,B,03,2,0.898512,200
sqlite,100M,F2,spo,B,03,3,0.907841,200
sqlite,100M,F2,spo,B,03,4,0.911655,200
sqlite,100M,F2,spo,B,03,5,0.923548,200
sqlite,100M,F2,spo,B,04,1,0.893358,200
sqlite,100M,F2,spo,B,04,2,0.911510,200
sqlite,100M,F2,spo,B,04,3,0.925466,200
sqlite,100M,F2,spo,B,04,4,0.911774,200
sqlite,100M,F2,spo,B,04,5,0.925522,200
sqlite,100M,F2,spo,B,05,1,0.925106,200
sqlite,100M,F2,spo,B,05,2,0.908587,200
sqlite,100M,F2,spo,B,05,3,0.899746,200
sqlite,100M,F2,spo,B,05,4,0.858464,200
sqlite,100M,F2,spo,B,05,5,0.923830,200
sqlite,100M,F2,spo,B,06,1,0.885748,200
sqlite,100M,F2,spo,B,06,2,0.852929,200
sqlite,100M,F2,spo,B,06,3,0.893666,200
sqlite,100M,F2,spo,B,06,4,0.919867,200
sqlite,100M,F2,spo,B,06,5,0.877747,200
sqlite,100M,F2,spo,B,07,1,0.925961,200
sqlite,100M,F2,spo,B,07,2,0.901804,200
sqlite,100M,F2,spo,B,07,3,0.920107,200
sqlite,100M,F2,spo,B,07,4,0.859048,200
sqlite,100M,F2,spo,B,07,5,0.913733,200
sqlite,100M,F2,spo,B,08,1,0.853964,200
sqlite,100M,F2,spo,B,08,2,0.872846,200
sqlite,100M,F2,spo,B,08,3,0.898796,200
sqlite,100M,F2,spo,B,08,4,0.908763,200
sqlite,100M,F2,spo,B,08,5,0.913144,200
sqlite,100M,F2,spo,B,09,1,0.854543,200
sqlite,100M,F2,spo,B,09,2,0.871998,200
sqlite,100M,F2,spo,B,09,3,0.895443,200
sqlite,100M,F2,spo,B,09,4,0.905224,200
sqlite,100M,F2,spo,B,09,5,0.920580,200
