engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,F5,6idx,B,00,1,2.030368,200
sqlite,100M,F5,6idx,B,00,2,1.187134,200
sqlite,100M,F5,6idx,B,00,3,1.186435,200
sqlite,100M,F5,6idx,B,00,4,1.184762,200
sqlite,100M,F5,6idx,B,00,5,1.195465,200
sqlite,100M,F5,6idx,B,01,1,1.489477,200
sqlite,100M,F5,6idx,B,01,2,1.270928,200
sqlite,100M,F5,6idx,B,01,3,1.276000,200
sqlite,100M,F5,6idx,B,01,4,1.262681,200
sqlite,100M,F5,6idx,B,01,5,1.277658,200
sqlite,100M,F5,6idx,B,02,1,1.581324,200
sqlite,100M,F5,6idx,B,02,2,1.271969,200
sqlite,100M,F5,6idx,B,02,3,1.281226,200
sqlite,100M,F5,6idx,B,02,4,1.278733,200
sqlite,100M,F5,6idx,B,02,5,1.268742,200
sqlite,100M,F5,6idx,B,03,1,1.442158,200
sqlite,100M,F5,6idx,B,03,2,1.250774,200
sqlite,100M,F5,6idx,B,03,3,1.262907,200
sqlite,100M,F5,6idx,B,03,4,1.247100,200
sqlite,100M,F5,6idx,B,03,5,1.259113,200
sqlite,100M,F5,6idx,B,04,1,1.322924,200
sqlite,100M,F5,6idx,B,04,2,1.230660,200
sqlite,100M,F5,6idx,B,04,3,1.221464,200
sqlite,100M,F5,6idx,B,04,4,1.236827,200
sqlite,100M,F5,6idx,B,04,5,1.232481,200
sqlite,100M,F5,6idx,B,05,1,1.798858,200
sqlite,100M,F5,6idx,B,05,2,1.250788,200
sqlite,100M,F5,6idx,B,05,3,1.276607,200
sqlite,100M,F5,6idx,B,05,4,1.263267,200
sqlite,100M,F5,6idx,B,05,5,1.253508,200
sqlite,100M,F5,6idx,B,06,1,1.516099,200
sqlite,100M,F5,6idx,B,06,2,1.290372,200
sqlite,100M,F5,6idx,B,06,3,1.289551,200
sqlite,100M,F5,6idx,B,06,4,1.291240,200
sqlite,100M,F5,6idx,B,06,5,1.290490,200
sqlite,100M,F5,6idx,B,07,1,1.370375,200
sqlite,100M,F5,6idx,B,07,2,1.209018,200
sqlite,100M,F5,6idx,B,07,3,1.211218,200
sqlite,100M,F5,6idx,B,07,4,1.210007,200
sqlite,100M,F5,6idx,B,07,5,1.217417,200
sqlite,100M,F5,6idx,B,08,1,1.393567,200
sqlite,100M,F5,6idx,B,08,2,1.250066,200
sqlite,100M,F5,6idx,B,08,3,1.252735,200
sqlite,100M,F5,6idx,B,08,4,1.250228,200
sqlite,100M,F5,6idx,B,08,5,1.248623,200
sqlite,100M,F5,6idx,B,09,1,1.325007,200
sqlite,100M,F5,6idx,B,09,2,1.180541,200
sqlite,100M,F5,6idx,B,09,3,1.187235,200
sqlite,100M,F5,6idx,B,09,4,1.187226,200
sqlite,100M,F5,6idx,B,09,5,1.190596,200
