engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,F5,spo,P,00,1,1.723567,200
sqlite,100M,F5,spo,P,00,2,1.731876,200
sqlite,100M,F5,spo,P,00,3,1.726365,200
sqlite,100M,F5,spo,P,00,4,1.711713,200
sqlite,100M,F5,spo,P,00,5,1.627242,200
sqlite,100M,F5,spo,P,01,1,1.828976,200
sqlite,100M,F5,spo,P,01,2,1.790407,200
sqlite,100M,F5,spo,P,01,3,1.796611,200
sqlite,100M,F5,spo,P,01,4,1.818860,200
sqlite,100M,F5,spo,P,01,5,1.703041,200
sqlite,100M,F5,spo,P,02,1,1.817076,200
sqlite,100M,F5,spo,P,02,2,1.800531,200
sqlite,100M,F5,spo,P,02,3,1.730734,200
sqlite,100M,F5,spo,P,02,4,1.823648,200
sqlite,100M,F5,spo,P,02,5,1.826077,200
sqlite,100M,F5,spo,P,03,1,1.788245,200
sqlite,100M,F5,spo,P,03,2,1.758977,200
sqlite,100M,F5,spo,P,03,3,1.761480,200
sqlite,100M,F5,spo,P,03,4,1.809692,200
sqlite,100M,F5,spo,P,03,5,1.677182,200
sqlite,100M,F5,spo,P,04,1,1.776083,200
sqlite,100M,F5,spo,P,04,2,1.807054,200
sqlite,100M,F5,spo,P,04,3,1.768040,200
sqlite,100M,F5,spo,P,04,4,1.746142,200
sqlite,100M,F5,spo,P,04,5,1.759799,200
sqlite,100M,F5,spo,P,05,1,1.791041,200
sqlite,100M,F5,spo,P,05,2,1.708315,200
sqlite,100M,F5,spo,P,05,3,1.796350,200
sqlite,100M,F5,spo,P,05,4,1.706663,200
sqlite,100M,F5,spo,P,05,5,1.778260,200
sqlite,100M,F5,spo,P,06,1,1.836283,200
sqlite,100M,F5,spo,P,06,2,1.772039,200
sqlite,100M,F5,spo,P,06,3,1.766871,200
sqlite,100M,F5,spo,P,06,4,1.694100,200
sqlite,100M,F5,spo,P,06,5,1.765650,200
sqlite,100M,F5,spo,P,07,1,1.903610,200
sqlite,100M,F5,spo,P,07,2,1.788183,200
sqlite,100M,F5,spo,P,07,3,1.793558,200
sqlite,100M,F5,spo,P,07,4,1.720071,200
sqlite,100M,F5,spo,P,07,5,1.769943,200
sqlite,100M,F5,spo,P,08,1,1.815061,200
sqlite,100M,F5,spo,P,08,2,1.834376,200
sqlite,100M,F5,spo,P,08,3,1.845984,200
sqlite,100M,F5,spo,P,08,4,1.815275,200
sqlite,100M,F5,spo,P,08,5,1.760471,200
sqlite,100M,F5,spo,P,09,1,1.822442,200
sqlite,100M,F5,spo,P,09,2,1.738803,200
sqlite,100M,F5,spo,P,09,3,1.750754,200
sqlite,100M,F5,spo,P,09,4,1.654036,200
sqlite,100M,F5,spo,P,09,5,1.756619,200
