engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,L1,spo,P,00,1,2.616224,200
sqlite,100M,L1,spo,P,00,2,2.640387,200
sqlite,100M,L1,spo,P,00,3,2.610760,200
sqlite,100M,L1,spo,P,00,4,2.374111,200
sqlite,100M,L1,spo,P,00,5,2.427831,200
sqlite,100M,L1,spo,P,01,1,3.240232,200
sqlite,100M,L1,spo,P,01,2,3.024616,200
sqlite,100M,L1,spo,P,01,3,3.295884,200
sqlite,100M,L1,spo,P,01,4,3.005686,200
sqlite,100M,L1,spo,P,01,5,3.260337,200
sqlite,100M,L1,spo,P,02,1,2.440411,200
sqlite,100M,L1,spo,P,02,2,2.438490,200
sqlite,100M,L1,spo,P,02,3,2.445910,200
sqlite,100M,L1,spo,P,02,4,2.424050,200
sqlite,100M,L1,spo,P,02,5,2.439979,200
sqlite,100M,L1,spo,P,03,1,2.514131,200
sqlite,100M,L1,spo,P,03,2,2.516827,200
sqlite,100M,L1,spo,P,03,3,2.358719,200
sqlite,100M,L1,spo,P,03,4,2.476006,200
sqlite,100M,L1,spo,P,03,5,2.330244,200
sqlite,100M,L1,spo,P,04,1,2.710213,200
sqlite,100M,L1,spo,P,04,2,2.925935,200
sqlite,100M,L1,spo,P,04,3,2.711051,200
sqlite,100M,L1,spo,P,04,4,2.719886,200
sqlite,100M,L1,spo,P,04,5,2.966538,200
sqlite,100M,L1,spo,P,05,1,2.500385,200
sqlite,100M,L1,spo,P,05,2,2.546379,200
sqlite,100M,L1,spo,P,05,3,2.560000,200
sqlite,100M,L1,spo,P,05,4,2.511452,200
sqlite,100M,L1,spo,P,05,5,2.309023,200
sqlite,100M,L1,spo,P,06,1,3.252957,200
sqlite,100M,L1,spo,P,06,2,3.351993,200
sqlite,100M,L1,spo,P,06,3,2.993199,200
sqlite,100M,L1,spo,P,06,4,3.337764,200
sqlite,100M,L1,spo,P,06,5,3.324709,200
sqlite,100M,L1,spo,P,07,1,2.785739,200
sqlite,100M,L1,spo,P,07,2,2.749510,200
sqlite,100M,L1,spo,P,07,3,2.758644,200
sqlite,100M,L1,spo,P,07,4,2.812671,200
sqlite,100M,L1,spo,P,07,5,2.553543,200
sqlite,100M,L1,spo,P,08,1,2.453080,200
sqlite,100M,L1,spo,P,08,2,2.212798,200
sqlite,100M,L1,spo,P,08,3,2.450109,200
sqlite,100M,L1,spo,P,08,4,2.457594,200
sqlite,100M,L1,spo,P,08,5,2.413960,200
sqlite,100M,L1,spo,P,09,1,1.856879,200
sqlite,100M,L1,spo,P,09,2,1.694167,200
sqlite,100M,L1,spo,P,09,3,1.874427,200
sqlite,100M,L1,spo,P,09,4,1.870411,200
sqlite,100M,L1,spo,P,09,5,1.710872,200
