engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,L2,6idx,B,00,1,0.058390,200
sqlite,100M,L2,6idx,B,00,2,0.057272,200
sqlite,100M,L2,6idx,B,00,3,0.057447,200
sqlite,100M,L2,6idx,B,00,4,0.059060,200
sqlite,100M,L2,6idx,B,00,5,0.057997,200
sqlite,100M,L2,6idx,B,01,1,0.089485,200
sqlite,100M,L2,6idx,B,01,2,0.073611,200
sqlite,100M,L2,6idx,B,01,3,0.075041,200
sqlite,100M,L2,6idx,B,01,4,0.074107,200
sqlite,100M,L2,6idx,B,01,5,0.073955,200
sqlite,100M,L2,6idx,B,02,1,0.089991,200
sqlite,100M,L2,6idx,B,02,2,0.074245,200
sqlite,100M,L2,6idx,B,02,3,0.076023,200
sqlite,100M,L2,6idx,B,02,4,0.075611,200
sqlite,100M,L2,6idx,B,02,5,0.075876,200
sqlite,100M,L2,6idx,B,03,1,0.072157,200
sqlite,100M,L2,6idx,B,03,2,0.071898,200
sqlite,100M,L2,6idx,B,03,3,0.074748,200
sqlite,100M,L2,6idx,B,03,4,0.072292,200
sqlite,100M,L2,6idx,B,03,5,0.072785,200
sqlite,100M,L2,6idx,B,04,1,0.073738,200
sqlite,100M,L2,6idx,B,04,2,0.074223,200
sqlite,100M,L2,6idx,B,04,3,0.072665,200
sqlite,100M,L2,6idx,B,04,4,0.074120,200
sqlite,100M,L2,6idx,B,04,5,0.073033,200
sqlite,100M,L2,6idx,B,05,1,0.071928,200
sqlite,100M,L2,6idx,B,05,2,0.072379,200
sqlite,100M,L2,6idx,B,05,3,0.075195,200
sqlite,100M,L2,6idx,B,05,4,0.073760,200
sqlite,100M,L2,6idx,B,05,5,0.074425,200
sqlite,100M,L2,6idx,B,06,1,0.074107,200
sqlite,100M,L2,6idx,B,06,2,0.075174,200
sqlite,100M,L2,6idx,B,06,3,0.075846,200
sqlite,100M,L2,6idx,B,06,4,0.075180,200
sqlite,100M,L2,6idx,B,06,5,0.075216,200
sqlite,100M,L2,6idx,B,07,1,0.057723,200
sqlite,100M,L2,6idx,B,07,2,0.057896,200
sqlite,100M,L2,6idx,B,07,3,0.058328,200
sqlite,100M,L2,6idx,B,07,4,0.057197,200
sqlite,100M,L2,6idx,B,07,5,0.056454,200
sqlite,100M,L2,6idx,B,08,1,0.075691,200
sqlite,100M,L2,6idx,B,08,2,0.075021,200
sqlite,100M,L2,6idx,B,08,3,0.073135,200
sqlite,100M,L2,6idx,B,08,4,0.075192,200
sqlite,100M,L2,6idx,B,08,5,0.073885,200
sqlite,100M,L2,6idx,B,09,1,0.058291,200
sqlite,100M,L2,6idx,B,09,2,0.057559,200
sqlite,100M,L2,6idx,B,09,3,0.058858,200
sqlite,100M,L2,6idx,B,09,4,0.059490,200
sqlite,100M,L2,6idx,B,09,5,0.056351,200
