engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,L2,spo,B,00,1,0.443184,200
sqlite,100M,L2,spo,B,00,2,0.439038,200
sqlite,100M,L2,spo,B,00,3,0.424865,200
sqlite,100M,L2,spo,B,00,4,0.421989,200
sqlite,100M,L2,spo,B,00,5,0.448302,200
sqlite,100M,L2,spo,B,01,1,0.497400,200
sqlite,100M,L2,spo,B,01,2,0.440123,200
sqlite,100M,L2,spo,B,01,3,0.468302,200
sqlite,100M,L2,spo,B,01,4,0.456431,200
sqlite,100M,L2,spo,B,01,5,0.446988,200
sqlite,100M,L2,spo,B,02,1,0.477131,200
sqlite,100M,L2,spo,B,02,2,0.443662,200
sqlite,100M,L2,spo,B,02,3,0.469229,200
sqlite,100M,L2,spo,B,02,4,0.443794,200
sqlite,100M,L2,spo,B,02,5,0.463293,200
sqlite,100M,L2,spo,B,03,1,0.461779,200
sqlite,100M,L2,spo,B,03,2,0.444563,200
sqlite,100M,L2,spo,B,03,3,0.468595,200
sqlite,100M,L2,spo,B,03,4,0.462214,200
sqlite,100M,L2,spo,B,03,5,0.449557,200
sqlite,100M,L2,spo,B,04,1,0.465608,200
sqlite,100M,L2,spo,B,04,2,0.464533,200
sqlite,100M,L2,spo,B,04,3,0.467641,200
sqlite,100M,L2,spo,B,04,4,0.472176,200
sqlite,100M,L2,spo,B,04,5,0.472912,200
sqlite,100M,L2,spo,B,05,1,0.460042,200
sqlite,100M,L2,spo,B,05,2,0.465622,200
sqlite,100M,L2,spo,B,05,3,0.449530,200
sqlite,100M,L2,spo,B,05,4,0.469028,200
sqlite,100M,L2,spo,B,05,5,0.464861,200
sqlite,100M,L2,spo,B,06,1,0.459393,200
sqlite,100M,L2,spo,B,06,2,0.467882,200
sqlite,100M,L2,spo,B,06,3,0.467850,200
sqlite,100M,L2,spo,B,06,4,0.466114,200
sqlite,100M,L2,spo,B,06,5,0.467312,200
sqlite,100M,L2,spo,B,07,1,0.423567,200
sqlite,100M,L2,spo,B,07,2,0.424600,200
sqlite,100M,L2,spo,B,07,3,0.424504,200
sqlite,100M,L2,spo,B,07,4,0.442794,200
sqlite,100M,L2,spo,B,07,5,0.445394,200
sqlite,100M,L2,spo,B,08,1,0.464056,200
sqlite,100M,L2,spo,B,08,2,0.463443,200
sqlite,100M,L2,spo,B,08,3,0.461724,200
sqlite,100M,L2,spo,B,08,4,0.455017,200
sqlite,100M,L2,spo,B,08,5,0.469401,200
sqlite,100M,L2,spo,B,09,1,0.437790,200
sqlite,100M,L2,spo,B,09,2,0.444036,200
sqlite,100M,L2,spo,B,09,3,0.440878,200
sqlite,100M,L2,spo,B,09,4,0.419958,200
sqlite,100M,L2,spo,B,09,5,0.427111,200
