engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,L3,pso,P,00,1,1.645078,200
sqlite,100M,L3,pso,P,00,2,1.599940,200
sqlite,100M,L3,pso,P,00,3,1.586328,200
sqlite,100M,L3,pso,P,00,4,1.578161,200
sqlite,100M,L3,pso,P,00,5,1.583487,200
sqlite,100M,L3,pso,P,01,1,1.665339,200
sqlite,100M,L3,pso,P,01,2,1.617353,200
sqlite,100M,L3,pso,P,01,3,1.625844,200
sqlite,100M,L3,pso,P,01,4,1.570958,200
sqlite,100M,L3,pso,P,01,5,1.613092,200
sqlite,100M,L3,pso,P,02,1,1.627781,200
sqlite,100M,L3,pso,P,02,2,1.574575,200
sqlite,100M,L3,pso,P,02,3,1.599962,200
sqlite,100M,L3,pso,P,02,4,1.612401,200
sqlite,100M,L3,pso,P,02,5,1.567225,200
sqlite,100M,L3,pso,P,03,1,1.616786,200
sqlite,100M,L3,pso,P,03,2,1.614408,200
sqlite,100M,L3,pso,P,03,3,1.578554,200
sqlite,100M,L3,pso,P,03,4,1.611538,200
sqlite,100M,L3,pso,P,03,5,1.577971,200
sqlite,100M,L3,pso,P,04,1,1.653933,200
sqlite,100M,L3,pso,P,04,2,1.619474,200
sqlite,100M,L3,pso,P,04,3,1.621867,200
sqlite,100M,L3,pso,P,04,4,1.604568,200
sqlite,100M,L3,pso,P,04,5,1.564458,200
sqlite,100M,L3,pso,P,05,1,1.701187,200
sqlite,100M,L3,pso,P,05,2,1.597641,200
sqlite,100M,L3,pso,P,05,3,1.587595,200
sqlite,100M,L3,pso,P,05,4,1.603452,200
sqlite,100M,L3,pso,P,05,5,1.590733,200
sqlite,100M,L3,pso,P,06,1,1.644047,200
sqlite,100M,L3,pso,P,06,2,1.584780,200
sqlite,100M,L3,pso,P,06,3,1.620664,200
sqlite,100M,L3,pso,P,06,4,1.599497,200
sqlite,100M,L3,pso,P,06,5,1.579817,200
sqlite,100M,L3,pso,P,07,1,1.584588,200
sqlite,100M,L3,pso,P,07,2,1.598383,200
sqlite,100M,L3,pso,P,07,3,1.565874,200
sqlite,100M,L3,pso,P,07,4,1.561641,200
sqlite,100M,L3,pso,P,07,5,1.583866,200
sqlite,100M,L3,pso,P,08,1,1.642820,200
sqlite,100M,L3,pso,P,08,2,1.606732,200
sqlite,100M,L3,pso,P,08,3,1.577169,200
sqlite,100M,L3,pso,P,08,4,1.578917,200
sqlite,100M,L3,pso,P,08,5,1.557551,200
sqlite,100M,L3,pso,P,09,1,1.690965,200
sqlite,100M,L3,pso,P,09,2,1.603124,200
sqlite,100M,L3,pso,P,09,3,1.622056,200
sqlite,100M,L3,pso,P,09,4,1.568335,200
sqlite,100M,L3,pso,P,09,5,1.566983,200
