engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,L4,pso,B,00,1,0.272344,200
sqlite,100M,L4,pso,B,00,2,0.249800,200
sqlite,100M,L4,pso,B,00,3,0.252872,200
sqlite,100M,L4,pso,B,00,4,0.250567,200
sqlite,100M,L4,pso,B,00,5,0.287587,200
sqlite,100M,L4,pso,B,01,1,0.249888,200
sqlite,100M,L4,pso,B,01,2,0.270592,200
sqlite,100M,L4,pso,B,01,3,0.271047,200
sqlite,100M,L4,pso,B,01,4,0.269733,200
sqlite,100M,L4,pso,B,01,5,0.272384,200
sqlite,100M,L4,pso,B,02,1,0.265065,200
sqlite,100M,L4,pso,B,02,2,0.264083,200
sqlite,100M,L4,pso,B,02,3,0.270646,200
sqlite,100M,L4,pso,B,02,4,0.267522,200
sqlite,100M,L4,pso,B,02,5,0.247803,200
sqlite,100M,L4,pso,B,03,1,0.271121,200
sqlite,100M,L4,pso,B,03,2,0.286241,200
sqlite,100M,L4,pso,B,03,3,0.276167,200
sqlite,100M,L4,pso,B,03,4,0.275718,200
sqlite,100M,L4,pso,B,03,5,0.272462,200
sqlite,100M,L4,pso,B,04,1,0.257270,200
sqlite,100M,L4,pso,B,04,2,0.241788,200
sqlite,100M,L4,pso,B,04,3,0.259429,200
sqlite,100M,L4,pso,B,04,4,0.285609,200
sqlite,100M,L4,pso,B,04,5,0.271087,200
sqlite,100M,L4,pso,B,05,1,0.268320,200
sqlite,100M,L4,pso,B,05,2,0.252854,200
sqlite,100M,L4,pso,B,05,3,0.268222,200
sqlite,100M,L4,pso,B,05,4,0.248302,200
sqlite,100M,L4,pso,B,05,5,0.268026,200
sqlite,100M,L4,pso,B,06,1,0.270355,200
sqlite,100M,L4,pso,B,06,2,0.249445,200
sqlite,100M,L4,pso,B,06,3,0.280227,200
sqlite,100M,L4,pso,B,06,4,0.263921,200
sqlite,100M,L4,pso,B,06,5,0.248387,200
sqlite,100M,L4,pso,B,07,1,0.265896,200
sqlite,100M,L4,pso,B,07,2,0.253931,200
sqlite,100M,L4,pso,B,07,3,0.270624,200
sqlite,100M,L4,pso,B,07,4,0.273835,200
sqlite,100M,L4,pso,B,07,5,0.264825,200
sqlite,100M,L4,pso,B,08,1,0.272432,200
sqlite,100M,L4,pso,B,08,2,0.273634,200
sqlite,100M,L4,pso,B,08,3,0.252991,200
sqlite,100M,L4,pso,B,08,4,0.274969,200
sqlite,100M,L4,pso,B,08,5,0.251333,200
sqlite,100M,L4,pso,B,09,1,0.275640,200
sqlite,100M,L4,pso,B,09,2,0.276366,200
sqlite,100M,L4,pso,B,09,3,0.308339,200
sqlite,100M,L4,pso,B,09,4,0.284079,200
sqlite,100M,L4,pso,B,09,5,0.277296,200
