engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,L4,vp,B,00,1,0.012774,200
sqlite,100M,L4,vp,B,00,2,0.012771,200
sqlite,100M,L4,vp,B,00,3,0.012694,200
sqlite,100M,L4,vp,B,00,4,0.012024,200
sqlite,100M,L4,vp,B,00,5,0.012770,200
sqlite,100M,L4,vp,B,01,1,0.012750,200
sqlite,100M,L4,vp,B,01,2,0.012272,200
sqlite,100M,L4,vp,B,01,3,0.012847,200
sqlite,100M,L4,vp,B,01,4,0.012780,200
sqlite,100M,L4,vp,B,01,5,0.012807,200
sqlite,100M,L4,vp,B,02,1,0.013162,200
sqlite,100M,L4,vp,B,02,2,0.012514,200
sqlite,100M,L4,vp,B,02,3,0.012848,200
sqlite,100M,L4,vp,B,02,4,0.012517,200
sqlite,100M,L4,vp,B,02,5,0.013009,200
sqlite,100M,L4,vp,B,03,1,0.012393,200
sqlite,100M,L4,vp,B,03,2,0.012365,200
sqlite,100M,L4,vp,B,03,3,0.012478,200
sqlite,100M,L4,vp,B,03,4,0.011569,200
sqlite,100M,L4,vp,B,03,5,0.012414,200
sqlite,100M,L4,vp,B,04,1,0.014569,200
sqlite,100M,L4,vp,B,04,2,0.012656,200
sqlite,100M,L4,vp,B,04,3,0.012517,200
sqlite,100M,L4,vp,B,04,4,0.011998,200
sqlite,100M,L4,vp,B,04,5,0.012596,200
sqlite,100M,L4,vp,B,05,1,0.013292,200
sqlite,100M,L4,vp,B,05,2,0.011815,200
sqlite,100M,L4,vp,B,05,3,0.012614,200
sqlite,100M,L4,vp,B,05,4,0.012272,200
sqlite,100M,L4,vp,B,05,5,0.012511,200
sqlite,100M,L4,vp,B,06,1,0.012448,200
sqlite,100M,L4,vp,B,06,2,0.012487,200
sqlite,100M,L4,vp,B,06,3,0.012530,200
sqlite,100M,L4,vp,B,06,4,0.012574,200
sqlite,100M,L4,vp,B,06,5,0.011753,200
sqlite,100M,L4,vp,B,07,1,0.012691,200
sqlite,100M,L4,vp,B,07,2,0.012215,200
sqlite,100M,L4,vp,B,07,3,0.012109,200
sqlite,100M,L4,vp,B,07,4,0.012239,200
sqlite,100M,L4,vp,B,07,5,0.011464,200
sqlite,100M,L4,vp,B,08,1,0.012924,200
sqlite,100M,L4,vp,B,08,2,0.012322,200
sqlite,100M,L4,vp,B,08,3,0.012863,200
sqlite,100M,L4,vp,B,08,4,0.012734,200
sqlite,100M,L4,vp,B,08,5,0.012705,200
sqlite,100M,L4,vp,B,09,1,0.013139,200
sqlite,100M,L4,vp,B,09,2,0.011968,200
sqlite,100M,L4,vp,B,09,3,0.012571,200
sqlite,100M,L4,vp,B,09,4,0.012397,200
sqlite,100M,L4,vp,B,09,5,0.012382,200
