engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,L4,vp,P,00,1,0.015978,200
sqlite,100M,L4,vp,P,00,2,0.016139,200
sqlite,100M,L4,vp,P,00,3,0.015867,200
sqlite,100M,L4,vp,P,00,4,0.016229,200
sqlite,100M,L4,vp,P,00,5,0.016093,200
sqlite,100M,L4,vp,P,01,1,0.016039,200
sqlite,100M,L4,vp,P,01,2,0.016198,200
sqlite,100M,L4,vp,P,01,3,0.015447,200
sqlite,100M,L4,vp,P,01,4,0.016295,200
sqlite,100M,L4,vp,P,01,5,0.016027,200
sqlite,100M,L4,vp,P,02,1,0.015787,200
sqlite,100M,L4,vp,P,02,2,0.016286,200
sqlite,100M,L4,vp,P,02,3,0.016421,200
sqlite,100M,L4,vp,P,02,4,0.016240,200
sqlite,100M,L4,vp,P,02,5,0.016235,200
sqlite,100M,L4,vp,P,03,1,0.015546,200
sqlite,100M,L4,vp,P,03,2,0.015672,200
sqlite,100M,L4,vp,P,03,3,0.015525,200
sqlite,100M,L4,vp,P,03,4,0.015546,200
sqlite,100M,L4,vp,P,03,5,0.015553,200
sqlite,100M,L4,vp,P,04,1,0.015513,200
sqlite,100M,L4,vp,P,04,2,0.015620,200
sqlite,100M,L4,vp,P,04,3,0.015660,200
sqlite,100M,L4,vp,P,04,4,0.015546,200
sqlite,100M,L4,vp,P,04,5,0.015813,200
sqlite,100M,L4,vp,P,05,1,0.015495,200
sqlite,100M,L4,vp,P,05,2,0.015606,200
sqlite,100M,L4,vp,P,05,3,0.015868,200
sqlite,100M,L4,vp,P,05,4,0.015393,200
sqlite,100M,L4,vp,P,05,5,0.015647,200
sqlite,100M,L4,vp,P,06,1,0.015649,200
sqlite,100M,L4,vp,P,06,2,0.015717,200
sqlite,100M,L4,vp,P,06,3,0.014825,200
sqlite,100M,L4,vp,P,06,4,0.015627,200
sqlite,100M,L4,vp,P,06,5,0.015535,200
sqlite,100M,L4,vp,P,07,1,0.014862,200
sqlite,100M,L4,vp,P,07,2,0.015130,200
sqlite,100M,L4,vp,P,07,3,0.015137,200
sqlite,100M,L4,vp,P,07,4,0.015114,200
sqlite,100M,L4,vp,P,07,5,0.015217,200
sqlite,100M,L4,vp,P,08,1,0.015571,200
sqlite,100M,L4,vp,P,08,2,0.016046,200
sqlite,100M,L4,vp,P,08,3,0.015673,200
sqlite,100M,L4,vp,P,08,4,0.016406,200
sqlite,100M,L4,vp,P,08,5,0.016209,200
sqlite,100M,L4,vp,P,09,1,0.016114,200
sqlite,100M,L4,vp,P,09,2,0.015880,200
sqlite,100M,L4,vp,P,09,3,0.015326,200
sqlite,100M,L4,vp,P,09,4,0.015809,200
sqlite,100M,L4,vp,P,09,5,0.015807,200
